miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	99409	13582.631764	N
hsa-let-7a-2	99135	13545.194097	Y
hsa-let-7a-3	99287	13565.962438	N
hsa-let-7b	58617	8009.064834	N
hsa-let-7c	142518	19472.779263	Y
hsa-let-7d	5955	813.654419	N
hsa-let-7e	42951	5868.559355	N
hsa-let-7f-1	74894	10233.053580	N
hsa-let-7f-2	77256	10555.782671	N
hsa-let-7g	7393	1010.133857	N
hsa-let-7i	3850	526.040221	N
hsa-mir-1-1	8	1.093071	N
hsa-mir-1-2	8	1.093071	N
hsa-mir-100	75887	10368.730967	Y
hsa-mir-101-1	17706	2419.238480	N
hsa-mir-101-2	18157	2480.860334	N
hsa-mir-103a-1	171446	23425.322510	Y
hsa-mir-103a-2	171490	23431.334399	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.136634	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	111	15.166354	Y
hsa-mir-106b	7381	1008.494252	N
hsa-mir-107	890	121.604103	Y
hsa-mir-10a	266585	36424.527848	N
hsa-mir-10b	2528637	345497.341652	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.136634	N
hsa-mir-1180	635	86.762478	N
hsa-mir-1181	2	0.273268	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.093071	N
hsa-mir-1185-2	2	0.273268	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.273268	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.136634	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	1.639606	N
hsa-mir-1227	1	0.136634	N
hsa-mir-1228	6	0.819803	N
hsa-mir-1229	4	0.546535	N
hsa-mir-1231	1	0.136634	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	3	0.409901	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.136634	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.136634	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	2.459409	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	6	0.819803	N
hsa-mir-1247	9	1.229704	N
hsa-mir-1248	31	4.235649	N
hsa-mir-1249	7	0.956437	N
hsa-mir-1250	3	0.409901	N
hsa-mir-1251	3	0.409901	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	12	1.639606	N
hsa-mir-1254-2	9	1.229704	N
