miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	277051	32633.214709	N
hsa-let-7a-2	266498	31390.200554	Y
hsa-let-7a-3	267443	31501.509980	N
hsa-let-7b	111376	13118.728759	N
hsa-let-7c	35868	4224.811119	Y
hsa-let-7d	59754	7038.289383	N
hsa-let-7e	30880	3637.285807	N
hsa-let-7f-1	160126	18860.881710	N
hsa-let-7f-2	170960	20136.994224	N
hsa-let-7g	149586	17619.398795	N
hsa-let-7i	47400	5583.139484	N
hsa-mir-1-1	493	58.069362	N
hsa-mir-1-2	484	57.009272	N
hsa-mir-100	95352	11231.297808	Y
hsa-mir-101-1	21302	2509.114711	N
hsa-mir-101-2	23281	2742.216674	N
hsa-mir-103a-1	89503	10542.357242	Y
hsa-mir-103a-2	92945	10947.782687	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	339	39.930048	Y
hsa-mir-106b	16072	1893.084763	N
hsa-mir-107	10440	1229.704140	Y
hsa-mir-10a	44543	5246.619874	N
hsa-mir-10b	378342	44564.053981	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.235576	N
hsa-mir-1180	2388	281.277154	N
hsa-mir-1181	4	0.471151	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.235576	N
hsa-mir-1185-2	4	0.471151	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3768	443.824253	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	69	8.127355	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	26	3.062482	N
hsa-mir-1229	50	5.889388	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.353363	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	27	3.180269	N
hsa-mir-124-2	16	1.884604	N
hsa-mir-124-3	36	4.240359	N
hsa-mir-1243	1	0.117788	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	61	7.185053	N
hsa-mir-1248	46	5.418237	N
hsa-mir-1249	268	31.567118	N
hsa-mir-1250	32	3.769208	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	2.120180	N
hsa-mir-1254-2	21	2.473543	N
hsa-mir-1255a	12	1.413453	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	325547	38345.449571	N
hsa-mir-125b-1	62513	7363.265793	N
hsa-mir-125b-2	62923	7411.558771	N
hsa-mir-126	117158	13799.777546	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	2.120180	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	32	3.769208	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	0.942302	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	2	0.235576	N
hsa-mir-127	708	83.393729	N
hsa-mir-1270	461	54.300154	N
hsa-mir-1271	3184	375.036205	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	5	0.588939	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	9	1.060090	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	2	0.235576	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4801	565.499001	N
hsa-mir-128-2	3455	406.956686	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	11	1.295665	N
hsa-mir-1285-1	2	0.235576	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	79	9.305232	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	0.588939	N
hsa-mir-129-2	19	2.237967	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	46	5.418237	N
hsa-mir-1292	94	11.072049	N
hsa-mir-1293	1	0.117788	N
hsa-mir-1294	6	0.706727	N
hsa-mir-1295a	70	8.245143	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	256	30.153665	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	5	0.588939	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2108	248.296583	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.471151	N
hsa-mir-1304	40	4.711510	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	216	25.442155	N
hsa-mir-1307	2296	270.440680	N
hsa-mir-130a	980	115.431998	N
hsa-mir-130b	1070	126.032896	N
hsa-mir-132	1827	215.198224	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	180	21.201796	Y
hsa-mir-133a-2	177	20.848432	N
hsa-mir-133b	1	0.117788	Y
hsa-mir-134	47	5.536024	N
hsa-mir-1343	19	2.237967	N
hsa-mir-135a-1	31	3.651420	N
hsa-mir-135a-2	68	8.009567	N
hsa-mir-135b	672	79.153370	N
hsa-mir-136	24	2.826906	N
hsa-mir-137	1	0.117788	N
hsa-mir-138-1	32	3.769208	N
hsa-mir-138-2	4	0.471151	N
hsa-mir-139	3998	470.915436	N
hsa-mir-140	78730	9273.429780	N
hsa-mir-141	6	0.706727	N
hsa-mir-142	4235	498.831133	N
hsa-mir-143	169687	19987.050414	N
hsa-mir-144	1365	160.780283	N
hsa-mir-145	31747	3739.407789	N
hsa-mir-1468	195	22.968612	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	3687	434.283445	N
hsa-mir-146b	171860	20243.003201	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	0.824514	N
hsa-mir-148a	10267	1209.326858	N
hsa-mir-148b	4300	506.487337	N
hsa-mir-149	320	37.692081	N
hsa-mir-150	10231	1205.086499	N
hsa-mir-151a	28388	3343.758727	N
hsa-mir-151b	330	38.869958	N
hsa-mir-152	3890	458.194359	N
hsa-mir-153-1	1	0.117788	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	10	1.177878	N
hsa-mir-1539	1	0.117788	N
hsa-mir-154	34	4.004784	N
hsa-mir-155	23581	2777.552999	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1358	159.955768	N
hsa-mir-15b	14455	1702.621967	N
hsa-mir-16-1	29907	3522.678324	N
hsa-mir-16-2	31611	3723.388655	N
hsa-mir-17	2210	260.310934	Y
hsa-mir-181a-1	44644	5258.516437	N
hsa-mir-181a-2	46010	5419.414508	N
hsa-mir-181b-1	14089	1659.511650	N
hsa-mir-181b-2	17144	2019.353235	N
hsa-mir-181c	395	46.526162	N
hsa-mir-181d	361	42.521379	N
hsa-mir-182	3423	403.187478	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	2215	260.899873	N
hsa-mir-184	3	0.353363	N
hsa-mir-185	4150	488.819174	N
hsa-mir-186	12327	1451.969629	N
hsa-mir-187	82	9.658596	N
hsa-mir-188	18	2.120180	N
hsa-mir-18a	188	22.144098	N
hsa-mir-18b	2	0.235576	N
hsa-mir-1908	29	3.415845	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	799	94.112415	N
hsa-mir-190b	41	4.829298	N
hsa-mir-191	79203	9329.143387	N
hsa-mir-1910	18	2.120180	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	2	0.235576	N
hsa-mir-1913	1	0.117788	N
hsa-mir-1914	7	0.824514	N
hsa-mir-1915	2	0.235576	N
hsa-mir-192	55703	6561.131196	Y
hsa-mir-193a	5709	672.450281	N
hsa-mir-193b	851	100.237378	N
hsa-mir-194-1	12902	1519.697587	N
hsa-mir-194-2	49084	5781.494060	N
hsa-mir-195	7568	891.417713	N
hsa-mir-196a-1	4975	585.994070	N
hsa-mir-196a-2	12674	1492.841979	N
hsa-mir-196b	359	42.285803	N
hsa-mir-197	4263	502.129190	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	62	7.302841	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	4251	500.715737	Y
hsa-mir-199a-2	7837	923.102619	Y
hsa-mir-199b	10428	1228.290687	Y
hsa-mir-19a	338	39.812260	N
hsa-mir-19b-1	1302	153.359654	N
hsa-mir-19b-2	1324	155.950985	N
hsa-mir-200a	8923	1051.020119	N
hsa-mir-200b	51757	6096.340723	N
hsa-mir-200c	617	72.675043	N
hsa-mir-202	7	0.824514	N
hsa-mir-203a	413	48.646342	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	54166	6380.091420	N
hsa-mir-205	51	6.007175	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.117788	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	7012	825.927723	N
hsa-mir-20b	218	25.677730	N
hsa-mir-21	1042729	122820.705721	N
hsa-mir-210	4610	543.001541	N
hsa-mir-211	325	38.281020	N
hsa-mir-2110	529	62.309721	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.117788	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	75	8.834081	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	147	17.314800	N
hsa-mir-214	1526	179.744111	N
hsa-mir-215	68	8.009567	Y
hsa-mir-216a	6	0.706727	N
hsa-mir-216b	1	0.117788	N
hsa-mir-217	1	0.117788	N
hsa-mir-218-1	181	21.319583	N
hsa-mir-218-2	165	19.434979	N
hsa-mir-219a-1	8	0.942302	N
hsa-mir-219a-2	8	0.942302	N
hsa-mir-219b	10	1.177878	N
hsa-mir-22	12919	1521.699979	N
hsa-mir-221	24493	2884.975430	N
hsa-mir-222	14942	1759.984603	N
hsa-mir-223	14732	1735.249175	N
hsa-mir-224	4982	586.818585	N
hsa-mir-2276	10	1.177878	N
