miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	235934	18358.979547	N
hsa-let-7a-2	233097	18138.221093	Y
hsa-let-7a-3	233311	18154.873299	N
hsa-let-7b	73681	5733.416854	N
hsa-let-7c	32693	2543.974664	Y
hsa-let-7d	40376	3141.819993	N
hsa-let-7e	22164	1724.670555	N
hsa-let-7f-1	270895	21079.436471	N
hsa-let-7f-2	284374	22128.292021	N
hsa-let-7g	256809	19983.347794	N
hsa-let-7i	98068	7631.068037	N
hsa-mir-1-1	4765	370.783938	N
hsa-mir-1-2	5096	396.540387	N
hsa-mir-100	91359	7109.013590	Y
hsa-mir-101-1	34054	2649.879583	N
hsa-mir-101-2	35842	2789.011100	N
hsa-mir-103a-1	92865	7226.201546	Y
hsa-mir-103a-2	97582	7593.250409	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	536	41.708330	Y
hsa-mir-106b	24561	1911.190827	N
hsa-mir-107	9338	726.627578	Y
hsa-mir-10a	120737	9395.034686	N
hsa-mir-10b	484635	37711.411041	N
hsa-mir-1178	6	0.466884	N
hsa-mir-1179	3	0.233442	N
hsa-mir-1180	794	61.784354	N
hsa-mir-1181	6	0.466884	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	1	0.077814	N
hsa-mir-1184-2	2	0.155628	N
hsa-mir-1184-3	1	0.077814	N
hsa-mir-1185-1	11	0.855955	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.389070	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2484	193.290095	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	42	3.268190	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	70	5.446983	N
hsa-mir-1229	11	0.855955	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.155628	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	10	0.778140	N
hsa-mir-124-2	15	1.167211	N
hsa-mir-124-3	9	0.700326	N
hsa-mir-1243	4	0.311256	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.389070	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	39	3.034748	N
hsa-mir-1248	62	4.824471	N
hsa-mir-1249	318	24.744867	N
hsa-mir-1250	41	3.190376	N
hsa-mir-1251	2	0.155628	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	27	2.100979	N
hsa-mir-1254-2	18	1.400653	N
hsa-mir-1255a	22	1.711909	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.389070	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	201780	15701.318559	N
hsa-mir-125b-1	63836	4967.337553	N
hsa-mir-125b-2	66179	5149.655867	N
hsa-mir-126	128058	9964.711329	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	1.245025	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.167211	N
hsa-mir-1263	2	0.155628	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.233442	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
