miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	44308	6265.529308	N
hsa-let-7a-2	42237	5972.672235	Y
hsa-let-7a-3	42982	6078.021593	N
hsa-let-7b	20171	2852.351532	N
hsa-let-7c	13613	1924.994368	Y
hsa-let-7d	15409	2178.964095	N
hsa-let-7e	4889	691.346321	N
hsa-let-7f-1	103275	14603.966311	N
hsa-let-7f-2	110068	15564.554480	N
hsa-let-7g	120090	16981.750805	N
hsa-let-7i	38100	5387.665132	N
hsa-mir-1-1	485	68.583139	N
hsa-mir-1-2	514	72.683986	N
hsa-mir-100	44083	6233.712388	Y
hsa-mir-101-1	14818	2095.391651	N
hsa-mir-101-2	15719	2222.800740	N
hsa-mir-103a-1	80591	11396.255134	Y
hsa-mir-103a-2	83292	11778.199584	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	311	43.978054	Y
hsa-mir-106b	7034	994.667626	N
hsa-mir-107	10541	1490.587353	Y
hsa-mir-10a	22697	3209.549488	N
hsa-mir-10b	140324	19843.011074	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.989860	N
hsa-mir-1180	825	116.662040	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.131268	N
hsa-mir-1185-2	1	0.141409	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.141409	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.707043	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.141409	N
hsa-mir-1226	102	14.423670	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	2.545354	N
hsa-mir-1229	32	4.525073	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.282817	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.282817	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	10	1.414085	N
hsa-mir-124-2	9	1.272677	N
hsa-mir-124-3	12	1.696902	N
hsa-mir-1243	0	0.000000	N
