miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	66621	17785.600501	N
hsa-let-7a-2	66353	17714.053377	Y
hsa-let-7a-3	66993	17884.912180	N
hsa-let-7b	13358	3566.143581	N
hsa-let-7c	161042	42992.880260	Y
hsa-let-7d	1429	381.495671	N
hsa-let-7e	21658	5781.968683	N
hsa-let-7f-1	24370	6505.982861	N
hsa-let-7f-2	24813	6624.249189	N
hsa-let-7g	3467	925.574172	N
hsa-let-7i	1987	530.463190	N
hsa-mir-1-1	6	1.601801	N
hsa-mir-1-2	6	1.601801	N
hsa-mir-100	49438	13198.308605	Y
hsa-mir-101-1	11937	3186.783644	N
hsa-mir-101-2	12061	3219.887538	N
hsa-mir-103a-1	145664	38887.463582	Y
hsa-mir-103a-2	146622	39143.217853	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.266967	N
hsa-mir-106a	44	11.746543	Y
hsa-mir-106b	6044	1613.547822	N
hsa-mir-107	702	187.410750	Y
hsa-mir-10a	189316	50541.101820	N
hsa-mir-10b	200777	53600.809230	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.266967	N
hsa-mir-1180	621	165.786432	N
hsa-mir-1181	6	1.601801	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	38	10.144741	N
hsa-mir-1185-2	19	5.072371	N
hsa-mir-1193	1	0.266967	N
hsa-mir-1197	37	9.877775	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.266967	N
hsa-mir-1225	1	0.266967	N
hsa-mir-1226	14	3.737536	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	1.067868	N
hsa-mir-1229	2	0.533934	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	6	1.601801	N
hsa-mir-124-2	6	1.601801	N
hsa-mir-124-3	11	2.936636	N
hsa-mir-1243	43	11.479576	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	105	28.031522	N
hsa-mir-1245b	1	0.266967	N
hsa-mir-1246	6	1.601801	N
hsa-mir-1247	138	36.841429	N
hsa-mir-1248	72	19.221615	N
hsa-mir-1249	8	2.135735	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.266967	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	2.936636	N
hsa-mir-1254-2	15	4.004503	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.533934	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	9033	2411.511825	N
hsa-mir-125b-1	15790	4215.407032	N
hsa-mir-125b-2	18067	4823.290618	N
hsa-mir-126	8160	2178.449739	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.266967	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.533934	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	1.601801	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	49453	13202.313108	N
hsa-mir-1270	20	5.339338	N
hsa-mir-1271	32	8.542940	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.533934	N
hsa-mir-1276	5	1.334834	N
hsa-mir-1277	9	2.402702	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1615	431.151511	N
hsa-mir-128-2	1145	305.677077	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.266967	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	5	1.334834	N
hsa-mir-1288	13	3.470569	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	20	5.339338	N
hsa-mir-129-2	20	5.339338	N
