miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	81720	8664.949864	N
hsa-let-7a-2	80190	8502.720627	N
hsa-let-7a-3	81140	8603.451199	N
hsa-let-7b	36917	3914.390041	N
hsa-let-7c	2570	272.502706	N
hsa-let-7d	17951	1903.383688	N
hsa-let-7e	10222	1083.860958	N
hsa-let-7f-1	102510	10869.358916	N
hsa-let-7f-2	107646	11413.940199	N
hsa-let-7g	126749	13439.472961	N
hsa-let-7i	124418	13192.311946	N
hsa-mir-1-1	360	38.171585	N
hsa-mir-1-2	379	40.186197	N
hsa-mir-100	8770	929.902231	Y
hsa-mir-101-1	11115	1178.547696	N
hsa-mir-101-2	11246	1192.437912	N
hsa-mir-103a-1	48217	5112.553691	Y
hsa-mir-103a-2	51103	5418.562566	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.106032	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	452	47.926546	Y
hsa-mir-106b	21704	2301.322465	N
hsa-mir-107	7859	833.306914	Y
hsa-mir-10a	181393	19233.495481	N
hsa-mir-10b	96347	10215.882582	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.848257	N
hsa-mir-1180	1107	117.377625	N
hsa-mir-1181	1	0.106032	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	1.590483	N
hsa-mir-1185-2	23	2.438740	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.742225	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1406	149.081247	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	60	6.361931	N
hsa-mir-1227	1	0.106032	N
hsa-mir-1228	25	2.650805	N
hsa-mir-1229	18	1.908579	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.212064	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	0.424129	N
hsa-mir-124-2	1	0.106032	N
hsa-mir-124-3	2	0.212064	N
hsa-mir-1243	2	0.212064	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.212064	N
hsa-mir-1245b	2	0.212064	N
hsa-mir-1246	1	0.106032	N
hsa-mir-1247	20	2.120644	N
hsa-mir-1248	82	8.694639	N
hsa-mir-1249	386	40.928422	N
hsa-mir-1250	14	1.484451	N
hsa-mir-1251	1	0.106032	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	40	4.241287	N
hsa-mir-1254-2	41	4.347319	N
hsa-mir-1255a	3	0.318097	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.212064	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	92393	9796.631336	N
hsa-mir-125b-1	12105	1283.519556	N
hsa-mir-125b-2	11812	1252.452127	N
hsa-mir-126	53120	5632.429476	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	12	1.272386	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	23	2.438740	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	18	1.908579	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	432	45.805902	N
hsa-mir-1270	138	14.632441	N
hsa-mir-1271	411	43.579227	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.424129	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	33	3.499062	N
hsa-mir-1277	9	0.954290	N
hsa-mir-1278	16	1.696515	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6464	685.392021	N
hsa-mir-128-2	5435	576.284906	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	25	2.650805	N
hsa-mir-1285-1	2	0.212064	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.318097	N
hsa-mir-1287	78	8.270510	N
hsa-mir-1288	3	0.318097	N
hsa-mir-1289-1	1	0.106032	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	17	1.802547	N
hsa-mir-1292	32	3.393030	N
hsa-mir-1293	43	4.559384	N
hsa-mir-1294	3	0.318097	N
hsa-mir-1295a	7	0.742225	N
hsa-mir-1295b	1	0.106032	N
hsa-mir-1296	250	26.508045	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.212064	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	880	93.308320	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
