miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	132185	9695.565763	N
hsa-let-7a-2	129937	9530.678432	N
hsa-let-7a-3	130169	9547.695274	N
hsa-let-7b	8753	642.019042	N
hsa-let-7c	1361	99.827250	N
hsa-let-7d	44807	3286.524304	N
hsa-let-7e	137503	10085.632856	N
hsa-let-7f-1	95963	7038.737961	N
hsa-let-7f-2	99097	7268.612024	N
hsa-let-7g	180839	13264.261581	N
hsa-let-7i	62738	4601.735483	N
hsa-mir-1-1	212	15.549873	N
hsa-mir-1-2	211	15.476524	N
hsa-mir-100	17660	1295.333747	N
hsa-mir-101-1	26241	1924.736855	N
hsa-mir-101-2	26993	1979.894895	N
hsa-mir-103a-1	283877	20821.939873	Y
hsa-mir-103a-2	288791	21182.374190	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	10	0.733485	N
hsa-mir-105-2	7	0.513439	N
hsa-mir-106a	3827	280.704544	Y
hsa-mir-106b	90098	6608.549261	N
hsa-mir-107	25088	1840.166084	Y
hsa-mir-10a	1880184	137908.594913	N
hsa-mir-10b	1377031	101003.098826	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.293394	N
hsa-mir-1180	9160	671.871864	N
hsa-mir-1181	1	0.073348	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	429	31.466488	N
hsa-mir-1185-2	168	12.322541	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	807	59.192205	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	36	2.640544	N
hsa-mir-1224	7	0.513439	N
hsa-mir-1225	3	0.220045	N
hsa-mir-1226	1117	81.930226	N
hsa-mir-1227	3	0.220045	N
hsa-mir-1228	102	7.481543	N
hsa-mir-1229	112	8.215027	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	15	1.100227	N
hsa-mir-1236	1	0.073348	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	12	0.880181	N
hsa-mir-124-1	7	0.513439	N
hsa-mir-124-2	5	0.366742	N
hsa-mir-124-3	3	0.220045	N
hsa-mir-1243	7	0.513439	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	38	2.787241	N
hsa-mir-1247	132	9.681996	N
hsa-mir-1248	102	7.481543	N
hsa-mir-1249	70	5.134392	N
hsa-mir-1250	180	13.202722	N
hsa-mir-1251	6	0.440091	N
hsa-mir-1252	8	0.586788	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	146	10.708875	N
hsa-mir-1254-2	146	10.708875	N
hsa-mir-1255a	11	0.806833	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.366742	N
hsa-mir-1257	1	0.073348	N
hsa-mir-1258	1	0.073348	N
hsa-mir-125a	456211	33462.372828	N
