miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	201167	17324.082203	N
hsa-let-7a-2	192662	16591.649353	Y
hsa-let-7a-3	194386	16740.116635	N
hsa-let-7b	44954	3871.344661	N
hsa-let-7c	28748	2475.717763	Y
hsa-let-7d	40129	3455.825730	N
hsa-let-7e	20292	1747.504690	N
hsa-let-7f-1	235350	20267.850822	N
hsa-let-7f-2	253018	21789.382109	N
hsa-let-7g	192079	16541.442609	N
hsa-let-7i	68607	5908.291657	N
hsa-mir-1-1	1081	93.093464	N
hsa-mir-1-2	1180	101.619137	N
hsa-mir-100	22423	1931.021963	Y
hsa-mir-101-1	90318	7777.997666	N
hsa-mir-101-2	95030	8183.785272	N
hsa-mir-103a-1	83830	7219.264646	Y
hsa-mir-103a-2	87702	7552.713205	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	852	73.372462	Y
hsa-mir-106b	24600	2118.500660	N
hsa-mir-107	14928	1285.568205	Y
hsa-mir-10a	138434	11921.647167	N
hsa-mir-10b	387661	33384.556268	N
hsa-mir-1178	1	0.086118	N
hsa-mir-1179	16	1.377887	N
hsa-mir-1180	1770	152.428706	N
hsa-mir-1181	3	0.258354	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.172236	N
hsa-mir-1185-2	1	0.086118	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.086118	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6674	574.750951	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	32	2.755773	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	38	3.272481	N
hsa-mir-1229	23	1.980712	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.172236	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	37	3.186363	N
hsa-mir-124-2	44	3.789188	N
hsa-mir-124-3	27	2.325184	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.430590	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	10	0.861179	N
hsa-mir-1248	20	1.722358	N
hsa-mir-1249	138	11.884272	N
hsa-mir-1250	20	1.722358	N
hsa-mir-1251	13	1.119533	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.602825	N
hsa-mir-1254-2	12	1.033415	N
hsa-mir-1255a	4	0.344472	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	212361	18288.086121	N
hsa-mir-125b-1	32660	2812.611038	N
hsa-mir-125b-2	33069	2847.833265	N
hsa-mir-126	278424	23977.293807	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	15	1.291769	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	26	2.239066	N
hsa-mir-1263	6	0.516707	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.258354	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.258354	N
hsa-mir-1269b	2	0.172236	N
hsa-mir-127	152	13.089923	N
hsa-mir-1270	1542	132.793822	N
hsa-mir-1271	1871	161.126615	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.258354	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.086118	N
hsa-mir-1276	1	0.086118	N
hsa-mir-1277	10	0.861179	N
hsa-mir-1278	15	1.291769	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3983	343.007647	N
hsa-mir-128-2	2687	231.398832	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	12	1.033415	N
hsa-mir-1285-1	3	0.258354	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.086118	N
hsa-mir-1287	74	6.372726	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.086118	N
hsa-mir-129-1	7	0.602825	N
hsa-mir-129-2	3	0.258354	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	78	6.717197	N
hsa-mir-1292	38	3.272481	N
hsa-mir-1293	1	0.086118	N
hsa-mir-1294	2	0.172236	N
hsa-mir-1295a	60	5.167075	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	157	13.520512	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.172236	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1310	112.814466	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	13	1.119533	N
hsa-mir-1304	21	1.808476	N
hsa-mir-1305	6	0.516707	N
hsa-mir-1306	89	7.664494	N
hsa-mir-1307	1588	136.755246	N
hsa-mir-130a	835	71.908457	N
hsa-mir-130b	773	66.569147	N
hsa-mir-132	1483	127.712865	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	157	13.520512	Y
hsa-mir-133a-2	161	13.864984	N
hsa-mir-133b	1	0.086118	Y
hsa-mir-134	8	0.688943	N
hsa-mir-1343	15	1.291769	N
hsa-mir-135a-1	3997	344.213298	N
hsa-mir-135a-2	5368	462.280957	N
hsa-mir-135b	984	84.740026	N
hsa-mir-136	43	3.703070	N
hsa-mir-137	2	0.172236	N
hsa-mir-138-1	5	0.430590	N
hsa-mir-138-2	4	0.344472	N
hsa-mir-139	6972	600.414089	N
hsa-mir-140	43179	3718.485365	N
hsa-mir-141	31	2.669655	N
hsa-mir-142	3324	286.255943	N
hsa-mir-143	587752	50615.975596	N
hsa-mir-144	3523	303.393407	N
hsa-mir-145	45707	3936.191449	N
hsa-mir-1468	185	15.931814	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2857	246.038877	N
hsa-mir-146b	61842	5325.703975	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	26	2.239066	N
hsa-mir-148a	47064	4053.053457	N
hsa-mir-148b	9858	848.950386	N
hsa-mir-149	62	5.339311	N
hsa-mir-150	2053	176.800075	N
hsa-mir-151a	39176	3373.755359	N
hsa-mir-151b	300	25.835374	N
hsa-mir-152	10927	941.010435	N
hsa-mir-153-1	7	0.602825	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.258354	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	9	0.775061	N
hsa-mir-155	5515	474.940290	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3190	274.716142	N
hsa-mir-15b	18928	1630.039857	N
hsa-mir-16-1	37023	3188.343493	N
hsa-mir-16-2	39586	3409.063704	N
hsa-mir-17	3580	308.302129	Y
hsa-mir-181a-1	31786	2737.343982	N
hsa-mir-181a-2	32699	2815.969637	N
hsa-mir-181b-1	7378	635.377962	N
hsa-mir-181b-2	8575	738.461104	N
hsa-mir-181c	833	71.736222	N
hsa-mir-181d	387	33.327632	N
hsa-mir-182	4220	363.417593	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3146	270.926954	N
hsa-mir-184	10	0.861179	N
hsa-mir-185	4054	349.122019	N
hsa-mir-186	15647	1347.486985	N
hsa-mir-187	83	7.147787	N
hsa-mir-188	23	1.980712	N
hsa-mir-18a	342	29.452326	Y
hsa-mir-18b	31	2.669655	Y
hsa-mir-1908	3	0.258354	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1573	135.463477	N
hsa-mir-190b	37	3.186363	N
hsa-mir-191	52148	4490.876927	N
hsa-mir-1910	9	0.775061	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.086118	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	62559	5387.450519	Y
hsa-mir-193a	1816	156.390130	N
hsa-mir-193b	267	22.993483	N
hsa-mir-194-1	17229	1483.725523	N
hsa-mir-194-2	64528	5557.016689	N
hsa-mir-195	20253	1744.146092	N
hsa-mir-196a-1	5583	480.796308	N
hsa-mir-196a-2	13087	1127.025127	N
hsa-mir-196b	7055	607.561876	N
hsa-mir-197	2279	196.262724	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	16	1.377887	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	5739	494.230703	Y
hsa-mir-199a-2	9511	819.067470	Y
hsa-mir-199b	12151	1046.418761	Y
hsa-mir-19a	1308	112.642230	N
hsa-mir-19b-1	3744	322.425466	N
hsa-mir-19b-2	3738	321.908759	N
hsa-mir-200a	10770	927.489923	N
hsa-mir-200b	24416	2102.654964	N
hsa-mir-200c	1238	106.613976	N
hsa-mir-202	24	2.066830	N
hsa-mir-203a	3817	328.712074	N
hsa-mir-203b	1	0.086118	N
hsa-mir-204	72855	6274.120551	N
hsa-mir-205	94	8.095084	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	9	0.775061	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	11082	954.358712	N
hsa-mir-20b	810	69.755510	N
hsa-mir-21	2996116	258019.256999	N
hsa-mir-210	5366	462.108721	N
hsa-mir-211	288	24.801959	N
hsa-mir-2110	198	17.051347	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	6	0.516707	N
hsa-mir-2115	2	0.172236	N
hsa-mir-2116	30	2.583537	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	107	9.214617	N
hsa-mir-214	821	70.702807	N
hsa-mir-215	202	17.395818	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	2	0.172236	N
hsa-mir-218-1	464	39.958712	N
hsa-mir-218-2	403	34.705519	N
hsa-mir-219a-1	7	0.602825	N
hsa-mir-219a-2	7	0.602825	N
hsa-mir-219b	4	0.344472	N
hsa-mir-22	11580	997.245432	N
hsa-mir-221	11291	972.357356	N
hsa-mir-222	6823	587.582520	N
hsa-mir-223	5224	449.879977	N
hsa-mir-224	27088	2332.762027	N
hsa-mir-2276	2	0.172236	N
hsa-mir-2277	67	5.769900	N
hsa-mir-2278	2	0.172236	N
hsa-mir-2355	408	35.136109	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	131955	11363.689209	Y
hsa-mir-23b	76480	6586.297986	Y
hsa-mir-23c	1	0.086118	N
hsa-mir-24-1	28894	2488.290978	N
hsa-mir-24-2	29467	2537.636542	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	19561	1684.552496	N
hsa-mir-2681	12	1.033415	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	378271	32575.909065	N
hsa-mir-26a-2	388682	33472.482657	N
hsa-mir-26b	151609	13056.250671	N
hsa-mir-27a	45636	3930.077077	Y
hsa-mir-27b	236422	20360.169225	Y
hsa-mir-28	25415	2188.686759	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	153	13.176041	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	7	0.602825	N
hsa-mir-29a	66418	5719.779545	N
hsa-mir-29b-1	1148	98.863364	Y
hsa-mir-29b-2	1871	161.126615	Y
