miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	296100	28989.727102	N
hsa-let-7a-2	283626	27768.457747	Y
hsa-let-7a-3	283038	27710.889495	N
hsa-let-7b	82872	8113.599002	N
hsa-let-7c	19933	1951.544175	Y
hsa-let-7d	48143	4713.449618	N
hsa-let-7e	21244	2079.897881	N
hsa-let-7f-1	274200	26845.603416	N
hsa-let-7f-2	305072	29868.132477	N
hsa-let-7g	187373	18344.789383	N
hsa-let-7i	67519	6610.460602	N
hsa-mir-1-1	391	38.280930	N
hsa-mir-1-2	368	36.029110	N
hsa-mir-100	84071	8230.987326	Y
hsa-mir-101-1	102492	10034.498852	N
hsa-mir-101-2	116201	11376.681118	N
hsa-mir-103a-1	58006	5679.088518	Y
hsa-mir-103a-2	59841	5858.744544	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	339	33.189860	Y
hsa-mir-106b	13462	1317.999683	N
hsa-mir-107	6131	600.256727	Y
hsa-mir-10a	273976	26823.672653	N
hsa-mir-10b	369554	36181.255013	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.076957	N
hsa-mir-1180	604	59.134735	N
hsa-mir-1181	4	0.391621	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.097905	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.489526	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	1	0.097905	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	724	70.883358	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	37	3.622492	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	15	1.468578	N
hsa-mir-1229	8	0.783242	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.489526	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.195810	N
hsa-mir-124-2	2	0.195810	N
hsa-mir-124-3	2	0.195810	N
hsa-mir-1243	2	0.195810	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	185	18.112460	N
hsa-mir-1248	11	1.076957	N
hsa-mir-1249	260	25.455350	N
hsa-mir-1250	18	1.762293	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.293716	N
hsa-mir-1254-2	6	0.587431	N
hsa-mir-1255a	18	1.762293	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	278514	27267.966410	N
hsa-mir-125b-1	76669	7506.293101	N
hsa-mir-125b-2	76940	7532.825408	N
hsa-mir-126	140453	13751.077814	N
