miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	378727	27980.623451	N
hsa-let-7a-2	363845	26881.130576	Y
hsa-let-7a-3	365185	26980.130741	N
hsa-let-7b	126673	9358.692447	N
hsa-let-7c	70051	5175.418318	Y
hsa-let-7d	60662	4481.752238	N
hsa-let-7e	31874	2354.874070	N
hsa-let-7f-1	270560	19989.167609	N
hsa-let-7f-2	286648	21177.760633	N
hsa-let-7g	360250	26615.529387	N
hsa-let-7i	127661	9431.686599	N
hsa-mir-1-1	9184	678.520533	N
hsa-mir-1-2	9825	725.878074	N
hsa-mir-100	65302	4824.558779	Y
hsa-mir-101-1	14954	1104.812287	N
hsa-mir-101-2	16447	1215.116202	N
hsa-mir-103a-1	98650	7288.333030	Y
hsa-mir-103a-2	102487	7571.813353	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.073881	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	500	36.940360	Y
hsa-mir-106b	12544	926.759752	N
hsa-mir-107	10725	792.370722	Y
hsa-mir-10a	217208	16047.483434	N
hsa-mir-10b	492636	36396.302388	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	30	2.216422	N
hsa-mir-1180	948	70.038923	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.517165	N
hsa-mir-1185-2	2	0.147761	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.147761	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2281	168.521922	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	25	1.847018	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	34	2.511944	N
hsa-mir-1229	20	1.477614	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.147761	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.221642	N
hsa-mir-1238	1	0.073881	N
hsa-mir-124-1	6	0.443284	N
hsa-mir-124-2	7	0.517165	N
hsa-mir-124-3	11	0.812688	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	0.886569	N
hsa-mir-1245b	4	0.295523	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	226	16.697043	N
hsa-mir-1248	35	2.585825	N
hsa-mir-1249	290	21.425409	N
hsa-mir-1250	14	1.034330	N
hsa-mir-1251	1	0.073881	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	1.034330	N
hsa-mir-1254-2	8	0.591046	N
hsa-mir-1255a	33	2.438064	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.369404	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.295523	N
hsa-mir-125a	320033	23644.268470	N
hsa-mir-125b-1	126775	9366.228281	N
hsa-mir-125b-2	127539	9422.673151	N
hsa-mir-126	121994	9013.004558	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	12	0.886569	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	1.477614	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.073881	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.073881	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	1	0.073881	N
hsa-mir-1269a	4	0.295523	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1664	122.937518	N
hsa-mir-1270	266	19.652272	N
hsa-mir-1271	1515	111.929291	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.147761	N
hsa-mir-1276	5	0.369404	N
hsa-mir-1277	1	0.073881	N
hsa-mir-1278	9	0.664926	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5143	379.968543	N
hsa-mir-128-2	3412	252.081017	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	2	0.147761	N
hsa-mir-1284	19	1.403734	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	83	6.132100	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.073881	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	33	2.438064	N
hsa-mir-129-2	65	4.802247	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	46	3.398513	N
hsa-mir-1292	59	4.358962	N
hsa-mir-1293	6	0.443284	N
hsa-mir-1294	10	0.738807	N
hsa-mir-1295a	30	2.216422	N
hsa-mir-1295b	16	1.182092	N
hsa-mir-1296	381	28.148554	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1179	87.105369	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	10	0.738807	N
hsa-mir-1304	19	1.403734	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	90	6.649265	N
hsa-mir-1307	1423	105.132265	N
hsa-mir-130a	1327	98.039715	N
hsa-mir-130b	905	66.862052	N
hsa-mir-132	2790	206.127209	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	15	1.108211	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2461	181.820452	Y
hsa-mir-133a-2	2470	182.485378	Y
hsa-mir-133b	29	2.142541	Y
hsa-mir-134	97	7.166430	N
hsa-mir-1343	25	1.847018	N
hsa-mir-135a-1	3542	261.685510	N
hsa-mir-135a-2	4234	312.810969	N
hsa-mir-135b	1007	74.397885	N
hsa-mir-136	107	7.905237	N
hsa-mir-137	33	2.438064	N
hsa-mir-138-1	255	18.839584	N
hsa-mir-138-2	71	5.245531	N
hsa-mir-139	7539	556.986748	N
hsa-mir-140	103417	7640.522422	N
hsa-mir-141	42	3.102990	N
hsa-mir-142	8654	639.363751	N
hsa-mir-143	840629	62106.275790	N
hsa-mir-144	1676	123.824087	N
hsa-mir-145	175187	12942.941698	N
hsa-mir-1468	84	6.205980	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	30697	2267.916462	N
hsa-mir-146b	95285	7039.724407	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	14	1.034330	N
hsa-mir-148a	17240	1273.703613	N
hsa-mir-148b	5669	418.829802	N
hsa-mir-149	418	30.882141	N
hsa-mir-150	39766	2937.940712	N
hsa-mir-151a	31650	2338.324789	N
hsa-mir-151b	281	20.760482	N
hsa-mir-152	4097	302.689310	N
hsa-mir-153-1	1	0.073881	N
hsa-mir-153-2	2	0.147761	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	5	0.369404	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	123	9.087329	N
hsa-mir-155	31542	2330.345671	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2779	205.314521	N
hsa-mir-15b	22963	1696.522974	N
hsa-mir-16-1	35104	2593.508796	N
hsa-mir-16-2	37599	2777.841192	N
hsa-mir-17	3120	230.507846	Y
hsa-mir-181a-1	78701	5814.486546	N
hsa-mir-181a-2	79630	5883.121735	N
hsa-mir-181b-1	11162	824.656597	N
hsa-mir-181b-2	13482	996.059867	N
hsa-mir-181c	1275	94.197918	N
hsa-mir-181d	439	32.433636	N
hsa-mir-182	2896	213.958565	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1618	119.539005	N
hsa-mir-184	154	11.377631	N
hsa-mir-185	5676	419.346967	N
hsa-mir-186	14393	1063.365203	N
hsa-mir-187	7	0.517165	N
hsa-mir-188	42	3.102990	N
hsa-mir-18a	212	15.662713	N
hsa-mir-18b	11	0.812688	N
hsa-mir-1908	24	1.773137	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	395	29.182884	N
hsa-mir-190b	73	5.393293	N
hsa-mir-191	106312	7854.407107	N
hsa-mir-1910	4	0.295523	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	11180	825.986450	Y
