miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	193226	13014.283814	N
hsa-let-7a-2	191941	12927.735654	Y
hsa-let-7a-3	193565	13037.116363	N
hsa-let-7b	42095	2835.209947	N
hsa-let-7c	18575	1251.075538	Y
hsa-let-7d	63545	4279.924363	N
hsa-let-7e	56164	3782.794428	N
hsa-let-7f-1	383669	25841.125193	N
hsa-let-7f-2	399425	26902.333601	N
hsa-let-7g	434379	29256.578249	N
hsa-let-7i	285315	19216.722317	N
hsa-mir-1-1	413	27.816646	N
hsa-mir-1-2	447	30.106636	N
hsa-mir-100	50722	3416.261288	Y
hsa-mir-101-1	68382	4605.709148	N
hsa-mir-101-2	69068	4651.913068	N
hsa-mir-103a-1	152414	10265.487322	Y
hsa-mir-103a-2	155124	10448.013013	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	2297	154.709045	Y
hsa-mir-106b	115084	7751.212769	N
hsa-mir-107	11694	787.621929	Y
hsa-mir-10a	3112488	209634.325606	N
hsa-mir-10b	752816	50704.155154	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	97	6.533207	N
hsa-mir-1180	2423	163.195479	N
hsa-mir-1181	1	0.067353	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	589	39.670713	N
hsa-mir-1185-2	212	14.278763	N
hsa-mir-1193	2	0.134705	N
hsa-mir-1197	175	11.786714	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	30	2.020580	N
hsa-mir-1224	0	0.000000	N
