miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	121468	16587.225018	N
hsa-let-7a-2	119271	16287.210748	Y
hsa-let-7a-3	119618	16334.595797	N
hsa-let-7b	27740	3788.072760	N
hsa-let-7c	5503	751.469517	Y
hsa-let-7d	23009	3142.024734	N
hsa-let-7e	32881	4490.108883	N
hsa-let-7f-1	89586	12233.535915	N
hsa-let-7f-2	94977	12969.711122	N
hsa-let-7g	77792	10622.990488	N
hsa-let-7i	48146	6574.641352	N
hsa-mir-1-1	1041	142.155146	N
hsa-mir-1-2	1087	148.436737	N
hsa-mir-100	6643	907.143740	Y
hsa-mir-101-1	37176	5076.618346	N
hsa-mir-101-2	38173	5212.765013	N
hsa-mir-103a-1	102629	14014.640205	Y
hsa-mir-103a-2	107149	14631.874843	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	8	1.092451	N
hsa-mir-105-2	11	1.502120	N
hsa-mir-106a	3393	463.335648	Y
hsa-mir-106b	35506	4848.569265	N
hsa-mir-107	14715	2009.426484	Y
hsa-mir-10a	118463	16176.873229	N
hsa-mir-10b	462135	63107.462326	N
hsa-mir-1178	4	0.546225	N
hsa-mir-1179	4	0.546225	N
hsa-mir-1180	267	36.460542	N
hsa-mir-1181	9	1.229007	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	54	7.374042	N
hsa-mir-1185-2	29	3.960134	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	89	12.153514	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	61	8.329936	N
hsa-mir-1224	15	2.048345	N
hsa-mir-1225	1	0.136556	N
hsa-mir-1226	1718	234.603785	N
hsa-mir-1227	15	2.048345	N
hsa-mir-1228	426	58.172999	N
hsa-mir-1229	366	49.979619	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	26	3.550465	N
hsa-mir-1236	13	1.775232	N
hsa-mir-1237	6	0.819338	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	6	0.819338	N
hsa-mir-124-2	8	1.092451	N
hsa-mir-124-3	6	0.819338	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.682782	N
hsa-mir-1245b	8	1.092451	N
hsa-mir-1246	1	0.136556	N
hsa-mir-1247	3	0.409669	N
hsa-mir-1248	92	12.563183	N
hsa-mir-1249	41	5.598810	N
hsa-mir-1250	28	3.823577	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	103	14.065303	N
hsa-mir-1254-2	83	11.334176	N
hsa-mir-1255a	4	0.546225	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.136556	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	682162	93153.543261	N
hsa-mir-125b-1	15112	2063.639349	N
hsa-mir-125b-2	15293	2088.356046	N
hsa-mir-126	149271	20383.900827	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	125	17.069542	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.638676	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8	1.092451	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2699	368.565551	N
hsa-mir-1270	26	3.550465	N
hsa-mir-1271	597	81.524133	N
hsa-mir-1272	1	0.136556	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.273113	N
hsa-mir-1276	2	0.273113	N
hsa-mir-1277	3	0.409669	N
hsa-mir-1278	3	0.409669	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	11190	1528.065400	N
hsa-mir-128-2	10229	1396.834761	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
