miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	200902	13660.519811	N
hsa-let-7a-2	196553	13364.805480	Y
hsa-let-7a-3	197425	13424.097937	N
hsa-let-7b	35783	2433.098627	N
hsa-let-7c	14242	968.398140	Y
hsa-let-7d	26024	1769.526274	N
hsa-let-7e	60687	4126.469452	N
hsa-let-7f-1	150836	10256.235210	N
hsa-let-7f-2	159923	10874.114293	N
hsa-let-7g	238887	16243.345493	N
hsa-let-7i	67119	4563.819321	N
hsa-mir-1-1	3741	254.372802	N
hsa-mir-1-2	3763	255.868712	N
hsa-mir-100	47624	3238.238522	Y
hsa-mir-101-1	72908	4957.447802	N
hsa-mir-101-2	77026	5237.455073	N
hsa-mir-103a-1	167218	11370.144657	Y
hsa-mir-103a-2	172671	11740.926503	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	12	0.815951	N
hsa-mir-105-2	8	0.543967	N
hsa-mir-106a	2739	186.240872	Y
hsa-mir-106b	80739	5489.923988	N
hsa-mir-107	20700	1407.515904	Y
hsa-mir-10a	1433700	97485.775420	N
hsa-mir-10b	2728024	185494.549072	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.475972	N
hsa-mir-1180	2184	148.503127	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	19	1.291923	N
hsa-mir-1185-2	10	0.679959	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	17	1.155931	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	118	8.023521	N
hsa-mir-1224	2	0.135992	N
hsa-mir-1225	1	0.067996	N
hsa-mir-1226	128	8.703480	N
hsa-mir-1227	2	0.135992	N
hsa-mir-1228	21	1.427915	N
hsa-mir-1229	5	0.339980	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.067996	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	8	0.543967	N
hsa-mir-124-2	8	0.543967	N
hsa-mir-124-3	3	0.203988	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.203988	N
hsa-mir-1245b	3	0.203988	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	29	1.971882	N
hsa-mir-1248	52	3.535789	N
hsa-mir-1249	148	10.063399	N
hsa-mir-1250	68	4.623724	N
hsa-mir-1251	11	0.747955	N
hsa-mir-1252	24	1.631902	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	0.883947	N
hsa-mir-1254-2	16	1.087935	N
hsa-mir-1255a	34	2.311862	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.067996	N
hsa-mir-1257	1	0.067996	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	460186	31290.778439	N
hsa-mir-125b-1	30433	2069.320362	N
hsa-mir-125b-2	30344	2063.268724	N
hsa-mir-126	109968	7477.377242	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	5	0.339980	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	22	1.495911	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.203988	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	21	1.427915	N
hsa-mir-1269b	42	2.855829	N
hsa-mir-127	1389	94.446357	N
hsa-mir-1270	54	3.671781	N
hsa-mir-1271	1259	85.606885	N
hsa-mir-1272	7	0.475972	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.135992	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.135992	N
hsa-mir-1276	44	2.991821	N
hsa-mir-1277	5	0.339980	N
hsa-mir-1278	32	2.175870	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	33035	2246.245791	N
