miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	140628	10332.175003	N
hsa-let-7a-2	139047	10216.016282	Y
hsa-let-7a-3	141481	10394.846344	N
hsa-let-7b	26121	1919.153677	N
hsa-let-7c	18034	1324.988224	Y
hsa-let-7d	22268	1636.067305	N
hsa-let-7e	61769	4538.272021	N
hsa-let-7f-1	152224	11184.152571	N
hsa-let-7f-2	159016	11683.172201	N
hsa-let-7g	257111	18890.376364	N
hsa-let-7i	103999	7640.980944	N
hsa-mir-1-1	3136	230.407179	N
hsa-mir-1-2	3232	237.460460	N
hsa-mir-100	65625	4821.578808	Y
hsa-mir-101-1	102362	7520.707809	N
hsa-mir-101-2	104484	7676.614707	N
hsa-mir-103a-1	149203	10962.194634	Y
hsa-mir-103a-2	152502	11204.577697	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	184	13.518789	N
hsa-mir-105-2	205	15.061694	N
hsa-mir-106a	1435	105.431857	Y
hsa-mir-106b	103651	7615.412800	N
hsa-mir-107	11638	855.063378	Y
hsa-mir-10a	1171859	86098.446023	N
hsa-mir-10b	916975	67371.691084	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	48	3.526640	N
hsa-mir-1180	1982	145.620864	N
hsa-mir-1181	1	0.073472	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	131	9.624790	N
hsa-mir-1185-2	38	2.791924	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	30	2.204150	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.220415	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.073472	N
hsa-mir-1226	140	10.286035	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	16	1.175547	N
hsa-mir-1229	6	0.440830	N
hsa-mir-1231	1	0.073472	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.073472	N
hsa-mir-1236	3	0.220415	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9	0.661245	N
hsa-mir-124-2	12	0.881660	N
hsa-mir-124-3	13	0.955132	N
hsa-mir-1243	3	0.220415	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	1.322490	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	72	5.289961	N
hsa-mir-1248	40	2.938867	N
hsa-mir-1249	48	3.526640	N
hsa-mir-1250	104	7.641054	N
hsa-mir-1251	38	2.791924	N
hsa-mir-1252	22	1.616377	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	47	3.453169	N
hsa-mir-1254-2	29	2.130679	N
hsa-mir-1255a	15	1.102075	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.220415	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	252925	18582.823924	N
hsa-mir-125b-1	83487	6133.929904	N
hsa-mir-125b-2	81054	5955.173313	N
hsa-mir-126	248885	18285.998348	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	29	2.130679	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.028603	N
hsa-mir-1263	1	0.073472	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	2	0.146943	N
hsa-mir-1266	1	0.073472	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3931	288.817163	N
hsa-mir-1269b	2	0.146943	N
hsa-mir-127	1977	145.253506	N
hsa-mir-1270	413	30.343803	N
hsa-mir-1271	1353	99.407179	N
hsa-mir-1272	5	0.367358	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.073472	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.073472	N
hsa-mir-1276	70	5.143017	N
hsa-mir-1277	168	12.343242	N
hsa-mir-1278	51	3.747056	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	15958	1172.461023	N
hsa-mir-128-2	11367	835.152553	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.146943	N
hsa-mir-1283-2	2	0.146943	N
hsa-mir-1284	33	2.424565	N
hsa-mir-1285-1	3	0.220415	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	23	1.689849	N
hsa-mir-1287	239	17.559731	N
hsa-mir-1288	5	0.367358	N
hsa-mir-1289-1	14	1.028603	N
hsa-mir-1289-2	3	0.220415	N
hsa-mir-129-1	11	0.808188	N
hsa-mir-129-2	8	0.587773	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	30	2.204150	N
hsa-mir-1292	99	7.273696	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	30	2.204150	N
hsa-mir-1295a	163	11.975883	N
hsa-mir-1295b	1	0.073472	N
hsa-mir-1296	1301	95.586652	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	12	0.881660	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1603	117.775098	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	12	0.881660	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	2	0.146943	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	17	1.249019	N
hsa-mir-1304	43	3.159282	N
hsa-mir-1305	39	2.865395	N
hsa-mir-1306	439	32.254066	N
hsa-mir-1307	2523	185.369041	N
hsa-mir-130a	9031	663.522716	N
hsa-mir-130b	32760	2406.932141	N
hsa-mir-132	3250	238.782950	N
hsa-mir-1321	0	0.000000	N
