miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	407665	42878.898941	N
hsa-let-7a-2	398991	41966.552850	Y
hsa-let-7a-3	402110	42294.614581	N
hsa-let-7b	115907	12191.295646	N
hsa-let-7c	191571	20149.764020	Y
hsa-let-7d	43791	4606.011955	N
hsa-let-7e	27930	2937.724964	N
hsa-let-7f-1	188089	19783.521330	N
hsa-let-7f-2	203505	21405.002463	N
hsa-let-7g	293362	30856.314747	N
hsa-let-7i	115656	12164.895039	N
hsa-mir-1-1	59574	6266.094773	N
hsa-mir-1-2	60773	6392.207635	N
hsa-mir-100	408200	42935.171152	Y
hsa-mir-101-1	30566	3214.983933	N
hsa-mir-101-2	32789	3448.802859	N
hsa-mir-103a-1	70503	7415.625604	Y
hsa-mir-103a-2	72732	7650.075620	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	10	1.051817	N
hsa-mir-105-2	16	1.682907	N
hsa-mir-106a	1209	127.164679	Y
hsa-mir-106b	18945	1992.667363	N
hsa-mir-107	6253	657.701189	Y
hsa-mir-10a	13718	1442.882601	N
hsa-mir-10b	577753	60769.044436	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	18	1.893271	N
hsa-mir-1180	696	73.206465	N
hsa-mir-1181	1	0.105182	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	133	13.989166	N
hsa-mir-1185-2	78	8.204173	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	245	25.769517	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.210363	N
hsa-mir-1224	1	0.105182	N
hsa-mir-1225	4	0.420727	N
hsa-mir-1226	97	10.202625	N
hsa-mir-1227	1	0.105182	N
hsa-mir-1228	37	3.891723	N
hsa-mir-1229	3	0.315545	N
hsa-mir-1231	2	0.210363	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.105182	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	94	9.887080	N
hsa-mir-124-2	113	11.885532	N
hsa-mir-124-3	101	10.623352	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.210363	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.210363	N
hsa-mir-1247	282	29.661240	N
hsa-mir-1248	59	6.205720	N
hsa-mir-1249	37	3.891723	N
hsa-mir-1250	32	3.365814	N
hsa-mir-1251	15	1.577726	N
hsa-mir-1252	13	1.367362	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	1.472544	N
hsa-mir-1254-2	9	0.946635	N
hsa-mir-1255a	5	0.525909	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	207156	21789.020860	N
hsa-mir-125b-1	326178	34307.957511	N
hsa-mir-125b-2	324181	34097.909650	N
hsa-mir-126	25738	2707.166671	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.631090	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	3	0.315545	N
hsa-mir-1266	1	0.105182	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	1	0.105182	N
hsa-mir-1269a	48	5.048722	N
hsa-mir-1269b	115	12.095896	N
hsa-mir-127	11317	1190.341333	N
hsa-mir-1270	2	0.210363	N
hsa-mir-1271	1363	143.362661	N
hsa-mir-1272	5	0.525909	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.105182	N
hsa-mir-1276	22	2.313997	N
hsa-mir-1277	10	1.051817	N
hsa-mir-1278	8	0.841454	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	21616	2273.607691	N
hsa-mir-128-2	17022	1790.402948	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	4	0.420727	N
hsa-mir-1283-2	3	0.315545	N
hsa-mir-1284	16	1.682907	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	101	10.623352	N
hsa-mir-1288	1	0.105182	N
hsa-mir-1289-1	1	0.105182	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	111	11.675169	N
hsa-mir-129-2	129	13.568440	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	17	1.788089	N
hsa-mir-1292	102	10.728534	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	16	1.682907	N
hsa-mir-1295a	261	27.452424	N
hsa-mir-1295b	1	0.105182	N
hsa-mir-1296	1604	168.711452	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.420727	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	981	103.183251	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.210363	N
hsa-mir-1304	28	2.945088	N
hsa-mir-1305	24	2.524361	N
hsa-mir-1306	209	21.982976	N
hsa-mir-1307	2221	233.608562	N
hsa-mir-130a	1135	119.381233	N
hsa-mir-130b	2716	285.673505	N
hsa-mir-132	3170	333.425998	N
hsa-mir-1321	0	0.000000	N
