miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	99073	7283.581905	N
hsa-let-7a-2	98587	7247.852485	N
hsa-let-7a-3	98868	7268.510854	N
hsa-let-7b	17093	1256.631630	N
hsa-let-7c	10933	803.764910	N
hsa-let-7d	27182	1998.347919	N
hsa-let-7e	48442	3561.326241	N
hsa-let-7f-1	91929	6758.374138	N
hsa-let-7f-2	96426	7088.981547	N
hsa-let-7g	164310	12079.631614	N
hsa-let-7i	111657	8208.723919	N
hsa-mir-1-1	3829	281.497836	N
hsa-mir-1-2	4154	305.390967	N
hsa-mir-100	50218	3691.893009	Y
hsa-mir-101-1	57544	4230.480930	N
hsa-mir-101-2	58602	4308.262259	N
hsa-mir-103a-1	156762	11524.722847	Y
hsa-mir-103a-2	160583	11805.632545	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	821	60.357724	Y
hsa-mir-106b	126398	9292.442801	N
hsa-mir-107	20484	1505.928878	Y
hsa-mir-10a	1189644	87459.444168	N
hsa-mir-10b	1103787	81147.467225	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.514621	N
hsa-mir-1180	2811	206.657200	N
hsa-mir-1181	4	0.294069	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	465	34.185556	N
hsa-mir-1185-2	200	14.703465	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	80	5.881386	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	33	2.426072	N
hsa-mir-1224	3	0.220552	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	320	23.525544	N
hsa-mir-1227	3	0.220552	N
hsa-mir-1228	13	0.955725	N
hsa-mir-1229	11	0.808691	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	28	2.058485	N
hsa-mir-1236	1	0.073517	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.073517	N
hsa-mir-124-1	40	2.940693	N
hsa-mir-124-2	31	2.279037	N
hsa-mir-124-3	43	3.161245	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	0.808691	N
hsa-mir-1245b	9	0.661656	N
hsa-mir-1246	1	0.073517	N
hsa-mir-1247	175	12.865532	N
hsa-mir-1248	67	4.925661	N
hsa-mir-1249	39	2.867176	N
