miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	94552	7879.885582	N
hsa-let-7a-2	92294	7691.705727	N
hsa-let-7a-3	92531	7711.457111	N
hsa-let-7b	17257	1438.184126	N
hsa-let-7c	2443	203.597602	N
hsa-let-7d	35663	2972.124963	N
hsa-let-7e	78539	6545.375388	N
hsa-let-7f-1	103559	8630.521522	N
hsa-let-7f-2	109449	9121.389257	N
hsa-let-7g	180665	15056.471874	N
hsa-let-7i	41090	3424.406661	N
hsa-mir-1-1	382	31.835564	N
hsa-mir-1-2	390	32.502278	N
hsa-mir-100	18725	1560.526034	Y
hsa-mir-101-1	22610	1884.298725	N
hsa-mir-101-2	23816	1984.805768	N
hsa-mir-103a-1	50868	4239.297104	Y
hsa-mir-103a-2	52095	4341.554271	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.083339	N
hsa-mir-105-2	1	0.083339	N
hsa-mir-106a	3898	324.856100	Y
hsa-mir-106b	79569	6631.214738	N
hsa-mir-107	4723	393.610919	Y
hsa-mir-10a	1092406	91040.213735	N
hsa-mir-10b	2015578	167976.605694	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.833392	N
hsa-mir-1180	2260	188.346533	N
hsa-mir-1181	2	0.166678	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	65	5.417046	N
hsa-mir-1185-2	38	3.166889	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	72	6.000421	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.666713	N
hsa-mir-1224	22	1.833462	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	529	44.086423	N
hsa-mir-1227	18	1.500105	N
hsa-mir-1228	103	8.583935	N
hsa-mir-1229	54	4.500315	N
hsa-mir-1231	10	0.833392	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	13	1.083409	N
hsa-mir-1236	9	0.750053	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	61	5.083690	N
hsa-mir-124-2	62	5.167029	N
hsa-mir-124-3	51	4.250298	N
