miRNA_ID	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped
hsa-let-7a-1	12903.869701	7790.805879	6002.9106	13528.571052	8181.079363	11174.243761	6936.284442	5063.168646	7548.913219	4364.403255	12606.375302	7554.445703	8511.685394	7973.147309	13421.744148	5095.949154	4735.6436	4021.217424	13067.236484	7290.262112	6230.515986	6363.420164	13392.8765	13841.10646	8992.730954	9514.255936	7499.795548	5715.337968	7677.66956	10782.096966	8332.352932	8524.060401	7697.838975	5807.989425	12162.984154	7439.801081	9599.746533	9988.235825	17581.814705	7682.642754	8806.769763	9497.491349	7391.3475	6125.399007	6449.790508	6804.781731	12939.185107	14192.107864	4604.048074	10871.983779	5232.171515	4574.805292	5844.99155	8391.71873	8896.691757	12125.992884	7012.031488	10911.177703	6845.055396	4958.000366	8174.3806	6324.290933	6862.481981	8001.968266	7801.506708	5916.78847
hsa-let-7a-2	12841.040622	7835.656398	6002.101201	13492.450358	8168.714905	11277.530345	6945.955556	5051.192185	7502.180297	4362.505164	12601.893354	7680.583818	8538.668263	7932.107247	13353.852431	5098.473776	4728.724915	4001.306045	13068.642899	7315.519083	6169.954211	6364.390197	13454.044622	13775.047131	9111.620784	9503.80058	7446.295344	5702.756676	7681.148947	10777.437395	8354.762116	8507.712888	7706.920185	5847.666387	12185.728013	7542.397703	9541.251254	10135.237207	17615.954151	7631.153422	8832.966629	9453.541198	7405.128028	6159.921541	6476.062916	6772.194019	12933.283742	14168.297267	4562.118072	10903.51776	5241.291431	4530.374758	5814.521874	8519.78295	8879.216243	12117.732927	6973.708865	10940.034018	6882.361193	4955.884211	8230.288473	6279.643537	6920.979087	7973.127042	7783.726943	5898.156625
hsa-let-7a-3	12888.440436	7786.097163	6138.484999	13633.71446	8090.755955	11229.533846	6956.110226	5065.923232	7488.778944	4376.136914	12584.264358	7591.268631	8493.562572	8016.640853	13476.986229	5110.195234	4736.949012	4008.178114	13096.067992	7305.516323	6159.628925	6319.445309	13486.719239	13820.544947	9029.965681	9536.22393	7461.310388	5712.0701	7667.231398	10683.64474	8432.421531	8503.33409	7629.454712	5797.820957	12172.944968	7433.898261	9632.542247	10041.346002	17684.47178	7608.922296	8933.90161	9527.983896	7344.288462	6144.876701	6537.021773	6745.931349	12951.430439	14256.594898	4622.559724	10954.840925	5253.831314	4533.894009	5847.714372	8431.705026	8831.388523	12164.414201	6970.885093	10967.144991	6802.164898	4967.371911	8176.00448	6344.470546	6904.265628	7946.247806	7776.742036	5909.721218
hsa-let-7b	11864.409842	7157.01272	11712.41392	10375.341701	13660.210464	17748.352473	8138.242778	1439.211317	15449.010602	3681.435316	14790.428591	6273.739037	6578.584382	4721.168464	11228.553463	5707.989617	3972.760748	2254.390944	17995.549165	7190.234505	10429.531907	4904.328015	12380.427935	11295.270327	11122.949287	13880.482835	7058.673979	5976.604025	8900.005085	8298.545628	9827.779623	9130.815865	8213.404031	10023.716455	16547.900559	5865.997006	11545.62555	16090.080279	16922.660785	17436.485417	14129.97282	17433.389543	10192.752938	7390.508829	5175.836252	12372.880424	19384.065695	17449.199099	2247.492731	11877.692556	1907.96232	5834.916813	2452.095834	8648.657703	8406.825531	10843.822228	12875.59448	20068.752497	9042.746636	5472.67953	7172.214576	6625.976157	10264.635124	11280.4503	4342.707503	6611.306531
hsa-let-7c	2055.011307	835.914789	585.195761	4407.797635	1245.037976	1496.831996	926.976316	562.055314	2107.620421	609.977682	2305.663479	846.927349	507.841745	1101.836454	872.184395	729.255047	718.62938	778.834451	1781.224641	1149.81735	159.64481	980.542258	826.776214	1464.533869	1474.582291	1136.226937	680.779155	662.723657	710.330301	277.620246	1469.347037	1209.861929	731.450184	762.635069	2738.891866	724.360261	1158.590099	1370.567722	1072.169595	1502.389718	6381.55642	1542.343671	928.133227	197.866507	840.201937	3118.245269	1977.399838	901.968088	909.747231	1556.10547	1056.13688	612.12958	627.934651	1347.376088	1442.373668	2522.540923	1051.65345	459.373916	270.969656	179.268572	451.670659	135.707902	1798.303905	1766.181644	1232.391683	3220.096693
hsa-let-7d	475.110163	506.422394	857.963357	497.2258	377.011163	334.328555	524.657957	763.978446	453.927868	297.655304	283.707312	610.581604	474.012477	560.286067	849.286953	481.842108	619.156975	460.428602	480.056332	420.366021	371.114615	651.862553	516.444779	305.651995	533.697755	377.332602	370.711219	314.695701	412.441218	479.334577	512.706684	553.334126	372.05442	415.511499	559.299715	592.811715	736.465151	516.062916	608.780331	326.950871	401.274339	511.729665	678.324505	713.017937	775.980493	398.065087	334.312321	403.36285	568.954446	537.203904	813.952457	480.157698	766.15029	584.934676	410.950488	353.300904	414.086025	503.705593	605.381507	750.932771	523.121385	609.424334	1301.721326	417.314858	326.893672	814.018857
hsa-let-7e	1008.879334	1016.376325	1171.200922	2400.655275	920.418581	1238.027344	1285.12992	2173.368375	472.827211	1267.752766	1255.991244	1429.304156	1550.306739	1641.379446	2119.054211	1487.903906	816.274208	1267.632363	1888.580988	1696.218156	1160.800448	907.143052	1408.570227	1152.319689	1431.468396	1912.742658	845.653079	1140.649371	1289.24682	1725.394046	1615.393101	1165.198188	843.726962	1076.461892	1768.37654	1659.254412	725.149671	2119.800571	1169.335711	737.332347	1941.804126	1376.593683	818.915211	1582.394744	1334.913112	1152.394991	1474.898618	1906.690239	1759.05281	1818.835022	2069.714154	523.048559	1559.528801	1516.777494	1930.03246	1742.600705	764.233778	1159.255907	918.571496	1450.473203	1206.542938	781.45554	1446.999854	1349.455382	2073.24755	2100.686915
hsa-let-7f-1	5979.604736	3507.287032	2325.809157	7619.08236	3190.239539	4237.337982	4087.818877	3235.081641	2287.164184	1877.385341	4513.620491	4282.950514	4889.336008	5516.31967	7520.128533	2549.507383	3018.635019	1968.230955	5127.320409	3900.076421	2207.029931	4113.427318	4683.619889	7024.891972	3963.647584	3622.721907	3336.255193	3169.832087	3711.435675	6497.245667	5176.907954	3935.663778	3492.000417	2653.970039	4960.817477	4042.869085	3945.458618	4210.336351	6742.421222	2331.457401	3229.457112	3817.700906	3398.952592	4380.063277	4640.256886	3162.108054	5085.796256	6852.491368	2177.683738	5871.595235	3361.448851	2175.336523	3381.356137	3392.891301	3803.039562	7430.582567	2325.376414	2666.416579	2740.747492	3452.204822	4551.04006	3624.510865	1763.912749	4149.604728	4149.162065	3505.570814
hsa-let-7f-2	6067.454245	3583.332794	2380.443616	7750.690436	3249.756588	4174.048481	4184.20765	3245.261633	2325.65012	1862.37316	4557.244785	4259.968828	4941.086733	5684.717751	7597.627569	2579.622515	3053.489523	1985.146816	5190.843488	3930.334772	2316.041126	4168.395886	4762.28674	7109.908724	3958.639404	3674.998684	3370.075485	3216.399208	3798.955649	6608.774754	5243.169594	4001.199791	3538.50722	2738.90665	4987.213635	4017.852374	4039.626428	4208.575044	6873.965521	2361.098902	3242.555544	3813.78287	3392.648733	4397.929024	4770.588639	3232.23351	5196.151779	6832.365744	2180.360121	5919.539758	3401.475146	2227.465416	3432.052492	3442.063639	3860.616779	7489.028023	2341.713953	2697.250947	2721.312735	3519.619479	4697.421255	3688.328893	1802.803683	4208.071972	4210.248256	3660.193707
hsa-let-7g	838.184401	431.789247	644.686617	507.954719	732.856051	666.774894	717.113134	611.877392	642.921302	427.760869	817.806122	757.873317	753.305301	782.660752	775.470723	825.551337	604.536359	835.220656	1190.764729	504.889349	738.456529	714.914735	739.282571	509.663036	707.895308	490.461896	666.930329	614.849389	723.980205	738.466848	496.479343	457.292487	788.689325	487.687681	423.334602	773.550422	906.772718	964.383259	498.48366	419.069502	603.914798	573.225807	580.541396	783.94361	607.52799	625.904068	746.227589	865.543543	845.737068	685.542329	696.40688	542.184482	657.237404	629.784171	767.818861	994.198506	504.446735	358.609526	759.742621	721.760061	624.497902	1038.745615	312.413118	673.942896	624.323734	561.95356
