miRNA_ID	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped
hsa-let-7a-1	8843.408562	3257.668386	4492.234205	3845.558991	2882.312279	3399.99407	5527.378284	5407.921617	2007.356153	2005.279812	2344.224665	4131.932433	8783.511995	1233.471647	2141.373077	1712.089537	6800.369491	950.247044	7795.183382	2753.41104	1908.60057	8220.131577	2299.492881	5374.346842	5476.340167	12003.12381	2774.881208	4225.856972	2280.944388	3615.590634	3288.721736	10487.113496	5335.123128	3715.802735	4093.338757	5226.053687	2395.629066	1636.372097	7280.257088	878.433498	9363.631114	6387.624056	3315.67906	3420.235351	2288.393372	3488.32431	2441.365886	1909.614929	5505.927772	1952.931338	3425.316033	4841.335546	2823.62955	942.398695	1849.563167	5839.973502	413.540454	2371.402104	2912.255285	5978.033451	7893.720872	6728.29867	6064.029375	14395.030282	5891.011026	4964.529669	3756.136279	1297.741841	10517.184528	9780.523732	3191.46568	3551.701295	1748.343892	4112.509918	5199.576328	4343.656595	19046.519267	4397.975305	869.253873	2802.496402	1723.445006	2814.749937	2615.026673	3346.206049	8225.253253	13468.205929	6130.486894	7350.318808	8583.677876	1446.908171	6487.254017	265.104758	12098.31338	7463.972456	6934.094487	6944.710574	4138.58582	2571.373597	5126.288507	4055.499204	1067.8911	7604.128777	5642.928613	2963.091855	12130.304872	4121.816588	3857.72096	2398.307806	3099.662903	1252.423251	5942.778161	3129.162548	7372.441189	4995.02908	3473.871774	4786.217361	3095.838481	3879.070447	2298.858903	3124.118305	3205.411917	7279.867502	4482.825413	3320.005453	3535.114466	2301.455888
hsa-let-7a-2	8852.785519	3280.147634	4435.099271	3803.893491	2882.818392	3364.906132	5494.325884	5402.248641	2018.459985	2014.210091	2364.719552	4090.818381	8748.06701	1217.63083	2095.381218	1676.522708	6735.509033	962.145083	7684.173589	2703.927699	1883.142579	8173.000102	2325.600661	5368.204439	5386.596702	12023.481089	2761.2425	4205.576914	2291.798076	3544.951104	3282.868511	10548.922775	5357.259806	3692.022741	4054.717622	5248.432751	2398.989868	1629.658064	7297.714243	877.022133	9346.525327	6479.947615	3283.671838	3411.228033	2278.880859	3557.876397	2383.134822	1874.805336	5516.73915	1929.337276	3345.892371	4784.39444	2854.318028	924.558064	1831.882059	5823.938839	395.457192	2331.256405	2915.370164	5950.789385	7849.694259	6744.49289	6169.593511	14337.794203	5824.506897	4949.118845	3716.503852	1316.128662	10489.619284	9770.430963	3176.872448	3533.822432	1747.455581	4104.07606	5169.777697	4355.323056	19075.837253	4432.053243	882.768185	2784.024941	1729.744614	2836.006094	2585.039238	3353.541066	8229.693455	13453.692913	6156.794882	7377.63744	8578.159537	1453.90911	6508.627194	249.023035	12177.669432	7449.894538	6957.329517	6869.405192	4093.586095	2568.009025	5155.715465	3953.108777	1069.731811	7572.899861	5690.042426	2959.632522	12096.130239	4094.858063	3835.678542	2386.058848	3072.581053	1156.35839	5980.090639	3116.567421	7349.563453	4959.141284	3468.937297	4749.109854	3057.203811	3860.523892	2307.915471	3140.907896	3216.068207	7248.093502	4443.745453	3312.210311	3521.753561	2267.994129
hsa-let-7a-3	9042.82519	3375.836327	4470.562333	3844.559019	2915.918168	3422.388698	5465.632042	5419.582734	2069.375117	2054.252311	2386.988888	4167.215548	8766.818909	1252.480628	2135.280139	1737.195535	6747.269446	959.678416	7786.662375	2752.597933	2008.935006	8329.338653	2411.957162	5455.989617	5602.130177	12049.591512	2777.661915	4283.655136	2320.602096	3609.535818	3333.016415	10614.490726	5342.838817	3700.085486	4209.703736	5229.997134	2495.208368	1662.765196	7374.790699	875.328495	9453.457771	6639.327231	3328.65496	3443.145269	2327.923145	3597.182898	2423.782388	1992.849155	5629.524512	1999.820805	3446.331916	4840.888365	2903.5354	917.269513	1845.192556	5904.857953	393.265282	2319.169528	2964.585238	5997.446888	8041.265754	6881.643941	6103.22203	14491.779064	5965.294883	4995.201698	3823.989462	1311.348089	10611.052535	9897.131257	3217.024448	3584.805127	1782.543862	4129.538279	5278.058708	4348.789838	19080.623863	4498.388933	911.632085	2842.570082	1778.224208	2882.62471	2610.436759	3380.723776	8384.434515	13532.114121	6180.381353	7514.123465	8624.277085	1448.765563	6482.900221	274.363931	12252.07978	7579.620806	7054.383376	7082.725776	4171.918949	2630.253594	5147.374703	4024.362934	1075.086605	7621.877586	5756.748121	2964.821522	12177.435823	4108.100848	3858.465636	2404.240896	3159.871661	1220.202739	5957.378696	3132.31133	7501.355415	4974.968722	3491.397675	4881.047656	3137.0645	3898.95369	2292.368362	3152.486924	3268.497152	7496.911964	4492.629445	3335.595737	3530.895233	2294.873247
hsa-let-7b	3137.529959	4686.619531	3170.003765	2957.25053	2455.051871	613.993596	2153.8542	4414.205383	989.053517	678.125079	288.791586	2725.486773	3217.647841	331.953129	488.024722	616.956637	7333.508195	211.117644	4538.50164	628.066718	699.345992	6657.033453	2375.807929	7716.138051	2911.814988	16322.997441	1199.2794	968.879745	500.835108	1773.773013	2185.784224	2121.144098	2007.548699	832.095685	3213.077819	2662.122764	2134.357872	663.531753	5470.090399	202.954269	8919.050864	4794.410984	2398.234816	935.194598	512.988649	1005.633847	1055.69493	1439.123989	4676.12115	3114.71493	1036.192217	1407.130994	2138.929059	320.043514	634.9306	6193.108992	247.320572	916.228445	2058.62294	2828.978225	5928.824293	8169.184418	2849.049982	15901.412991	3041.120883	4208.501568	1791.78665	1402.178985	2196.239892	11676.432322	1322.460139	1239.275243	1550.102511	460.890272	3202.973182	2596.95412	7211.92536	1555.450569	533.565045	571.832618	346.11326	1205.683027	896.563088	1987.789641	4380.481846	13791.184183	3203.76861	7715.638545	3857.910258	908.83607	3389.132828	1221.236256	14797.093545	7456.99167	1842.880619	3816.723315	5010.802712	907.382816	2578.326315	1061.627062	272.536741	8529.987511	2460.180665	1151.093123	14646.834739	3817.705508	5173.266062	1487.482904	3022.769791	1854.469492	7263.135164	1293.584187	10117.043223	1882.360909	1763.47997	2603.384552	878.232002	1434.601088	2193.19894	1360.342832	1589.350076	6095.000992	4272.311066	5028.954421	2955.974514	2105.348039
hsa-let-7c	781.100555	201.401915	54.179679	3235.909395	10.628368	621.337583	454.74291	653.337695	485.589528	131.649601	192.439002	141.489457	1126.004249	81.316196	323.122289	161.561742	1368.840751	139.294115	435.281468	208.852221	789.197725	324.747358	963.728512	2085.857744	1364.548149	1941.464857	839.243992	947.247684	73.575485	367.325556	96.815513	621.642644	162.580582	177.482448	404.76956	725.988669	956.085777	529.251077	1397.585535	119.401468	169.10049	1643.553707	68.147509	334.054017	52.424512	715.939832	25.347639	879.082565	20.154544	245.497715	1025.957209	761.699087	390.264804	20.669024	46.487409	1117.765186	73.976981	674.706742	1321.954268	593.822775	5299.773165	401.556684	761.401025	5379.878672	32.624667	660.271524	2269.843162	255.576815	137.408562	1934.567499	955.238352	664.078701	183.732303	1260.01842	1217.378447	260.862058	8556.514008	78.975874	329.682467	493.876789	482.513474	753.627375	1073.274755	997.274682	2751.371523	3599.1006	3383.388665	6912.792179	399.094165	254.605546	29.091269	186.645445	3948.019763	487.840577	550.022656	5865.780082	740.828806	33.119998	483.951624	317.949222	254.018076	3755.558017	242.09969	325.869188	97.078491	954.426377	314.849128	106.030047	115.339668	264.924213	3350.912858	33.909959	5902.092732	2076.707127	141.228133	499.106816	1462.816957	54.971321	735.544283	351.327015	414.31654	2099.186749	529.621963	229.322207	197.299369	493.698081
hsa-let-7d	435.40339	1005.490708	1312.872131	349.323552	407.11712	124.031784	612.014221	909.25193	130.537731	136.258778	91.029237	329.090911	896.474326	102.261277	368.131416	57.418346	595.148153	96.925489	430.429228	589.037605	135.151982	445.449916	738.046842	628.572591	363.945799	619.274331	116.789713	201.955572	98.518096	1072.855881	509.230616	363.129512	387.437793	135.229582	1040.764357	864.699432	149.86685	269.024388	339.245516	31.614573	602.787503	530.617505	633.320075	535.152185	43.070542	158.629806	567.695781	181.487108	615.18075	1259.146433	196.102755	268.457936	669.356251	57.873266	59.599243	520.753655	124.025604	335.626674	592.761304	471.958596	558.831467	1389.204193	159.72484	492.605599	309.18146	460.230049	55.362028	159.965345	88.229662	858.065573	144.283369	777.404619	147.903764	663.784804	765.748885	898.317463	1258.130506	404.890396	111.284517	292.099552	243.858749	162.56129	218.326882	866.97026	476.877756	567.280686	375.569205	851.269979	418.014184	267.178659	660.193694	142.298877	1194.162452	993.249464	160.816874	256.735075	1687.211911	244.982846	341.596373	176.638456	39.882065	590.428719	436.152621	202.198026	801.226156	1187.593971	432.954785	1195.613189	467.887333	1418.895899	593.21432	693.054966	791.279152	145.207544	292.495375	94.396289	164.315135	851.470667	205.13127	302.791588	150.608893	238.305007	573.740105	514.841951	933.856893	354.639788
hsa-let-7e	5241.094078	1856.36064	1803.93704	3025.58195	681.126579	2529.051589	3824.634862	2878.719975	1614.118008	510.466287	673.847034	2495.700279	3982.191149	1536.911305	2202.105916	1955.24577	1850.661292	1475.792134	3276.327398	1778.147832	953.925903	1453.028887	1773.320711	1126.235215	4403.396131	401.097405	1606.851663	2226.074306	2471.092662	1490.349919	1215.097968	3010.278925	3967.333611	5207.20642	3566.18534	4059.187597	821.653718	2267.491273	3528.449512	1389.912128	2050.864695	3302.462279	1527.984404	808.602615	1828.463403	3082.369835	1099.311138	1315.325358	1639.592173	1697.876534	2000.19351	3025.927879	1252.147832	1591.079685	966.501054	1827.951606	59.912221	1934.11616	1408.859367	4166.873988	2752.777891	2396.24478	998.920331	2965.954854	2588.641848	2323.892433	3029.181957	192.32615	2035.75588	4211.838565	2905.125028	3331.009081	1351.416974	1376.726953	2794.238463	3154.610935	1147.440151	3629.654318	1064.794284	2334.60489	1194.004015	3290.477218	1758.242834	1677.130093	3620.319166	4762.306083	3034.671751	1534.12863	2389.342274	1573.925192	3188.165593	48.245167	3116.692062	3320.410735	2543.207251	2560.115	2450.818356	2415.026175	3587.652224	4580.624378	387.943724	1886.990415	4015.869425	1968.360593	2748.52305	3283.73753	1618.330475	2730.178027	1162.585166	523.881665	2190.26047	2494.158202	1460.906852	2220.810431	3050.357528	3501.77682	3510.454447	1395.335859	1214.938628	1981.461204	1261.136355	2027.227982	3372.382655	966.597634	2909.362036	1819.277429
hsa-let-7f-1	2075.745812	1803.807802	3298.803639	1506.291157	1920.495553	635.300225	6458.656896	3250.93021	479.631374	915.785738	860.873966	1793.964933	7568.199739	483.848967	848.294282	683.208574	2212.739449	849.839202	3340.47165	1538.746036	720.311396	1556.775609	767.66913	1755.191706	1809.03933	3863.60505	941.33568	1130.951204	938.844057	2808.281721	3374.621775	5553.020772	3017.569082	1354.745262	3455.337667	4864.833903	428.066526	964.7372	1953.253012	386.996249	4262.532297	2548.518945	2092.868618	1858.150991	512.777259	1224.116733	2009.999301	586.148618	2980.203032	1321.566168	1079.179251	2318.933991	2107.082525	375.958662	405.473515	3136.827603	311.799274	1086.523909	1358.865574	3651.520651	3189.978874	2742.321266	1513.742442	4562.518271	5572.795043	3041.617903	611.758124	1586.414934	2169.092304	5134.605995	1131.01672	3731.793591	720.124032	5122.163232	3636.381926	4104.727483	12909.187838	2852.839127	225.071684	955.506789	1350.946429	1105.924018	1944.899313	2717.839581	4556.091858	4564.59807	3750.430453	3734.938997	7484.148817	550.502339	6340.016574	258.282209	8069.588738	3935.766998	1064.621415	2192.699773	2676.650309	1269.915371	2723.774208	2716.639582	261.436698	2836.664006	2648.169442	1640.069872	4758.911575	3709.398451	2414.98515	2516.969592	1617.898782	291.177964	3492.952628	3049.474145	3267.521713	1182.088788	1554.700549	1707.596319	1282.600358	4501.967355	898.411568	1436.281959	700.18927	1541.389491	2972.868364	2193.879327	2570.316531	1166.498855
hsa-let-7f-2	2172.641039	1875.498379	3460.11132	1535.623669	1998.841812	648.084203	6513.138874	3318.375588	506.172241	987.227972	868.592819	1857.331742	8086.241821	491.769375	856.156138	696.923888	2280.807292	890.176457	3469.706931	1604.607666	743.523094	1630.634079	793.023801	1843.616719	1857.515717	3957.130521	941.732924	1156.470276	964.830292	2859.026853	3455.459564	5700.861884	3098.76752	1433.84181	3453.331374	5176.070491	457.815843	997.844332	2059.710484	393.206254	4415.761	2573.980811	2168.128842	1897.019527	512.090245	1228.710999	1991.959089	586.850424	3018.243066	1334.408506	1120.938084	2410.45713	2081.026269	393.255371	430.306533	3203.110426	305.406201	1133.792232	1399.047501	3775.995041	3259.919885	2865.077454	1539.345684	4699.509542	5606.674505	3114.333054	617.618171	1632.749723	2235.499481	5263.378911	1160.285632	3795.719837	742.924012	5260.880119	3725.303317	4254.991495	13225.70242	2895.209026	236.417032	941.261848	1375.962265	1156.648938	1931.894559	2751.206718	4585.175185	4695.087904	3824.999991	3872.067814	7713.159889	561.21806	6563.940185	268.516032	8300.463143	4055.138434	1128.612971	2239.866133	2719.705602	1316.388511	2816.27232	2825.017754	270.472914	2974.161105	2678.490212	1706.835002	4880.024974	3770.40985	2476.346475	2616.683771	1639.660984	292.371316	3636.975187	3176.475015	3344.143971	1179.696268	1573.757839	1757.072995	1304.037888	4613.079599	919.996389	1472.948881	755.175724	1626.782118	3063.41949	2267.117407	2703.423285	1223.822688
hsa-let-7g	128.464317	639.74726	564.700018	234.326772	216.312602	185.957009	327.255082	433.352306	150.307969	130.209234	92.803686	316.29855	729.098324	109.125631	241.162438	97.169508	601.919299	104.760783	434.689732	256.477032	174.087733	554.082218	246.517687	355.363617	387.5625	697.900633	99.31098	311.974884	198.28854	292.937806	298.356304	251.204602	437.130502	295.361819	419.816755	631.345931	130.697834	183.362578	431.519049	66.616422	419.261984	243.345464	323.436341	294.989669	163.298128	204.189614	279.509105	220.647899	293.775836	164.262462	290.947163	313.772324	309.200898	83.002448	111.053256	397.790162	35.618546	203.318538	245.452395	450.261225	555.626998	393.35961	301.330463	653.679811	583.73058	349.062648	188.292581	170.997437	209.558499	658.823504	330.532587	469.599508	253.908864	337.274007	447.548859	377.526664	1029.121137	476.484403	108.94871	192.698043	288.686397	236.233196	129.741553	340.143441	499.300779	646.974966	522.168199	692.500521	628.203778	210.028144	581.726428	133.039704	986.442929	736.007509	268.764533	202.332966	745.828775	232.681132	447.683367	147.897284	37.985575	471.354434	194.519404	303.037589	675.793985	463.024491	347.317013	445.747257	415.658049	537.00854	544.365618	374.46283	775.66419	200.971657	310.021276	193.34964	271.502785	398.834474	125.886298	191.053966	225.629172	410.95932	499.324781	399.727641	446.334572	411.689344
