miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	225282	20059.640572	N
hsa-let-7a-2	221050	19682.813311	Y
hsa-let-7a-3	222470	19809.253460	N
hsa-let-7b	66708	5939.837640	N
hsa-let-7c	19485	1734.990352	Y
hsa-let-7d	36981	3292.875454	N
hsa-let-7e	14987	1334.477824	N
hsa-let-7f-1	235133	20936.796844	N
hsa-let-7f-2	244688	21787.596578	N
hsa-let-7g	277522	24711.213371	N
hsa-let-7i	76434	6805.863617	N
hsa-mir-1-1	6414	571.117686	N
hsa-mir-1-2	6847	609.673028	N
hsa-mir-100	58082	5171.758257	Y
hsa-mir-101-1	36791	3275.957406	N
hsa-mir-101-2	39958	3557.954555	N
hsa-mir-103a-1	72637	6467.769783	Y
hsa-mir-103a-2	75321	6706.759473	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	288	25.644199	Y
hsa-mir-106b	14476	1288.977179	N
hsa-mir-107	8871	789.894761	Y
hsa-mir-10a	99940	8898.893293	N
hsa-mir-10b	377759	33636.552244	N
hsa-mir-1178	8	0.712339	N
hsa-mir-1179	6	0.534254	N
hsa-mir-1180	547	48.706170	N
hsa-mir-1181	4	0.356169	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	11	0.979466	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1286	114.508473	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	4	0.356169	N
hsa-mir-1226	52	4.630203	N
