miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	174568	15224.142905	N
hsa-let-7a-2	171517	14958.064013	Y
hsa-let-7a-3	171230	14933.034632	N
hsa-let-7b	55821	4868.171034	N
hsa-let-7c	5883	513.058709	Y
hsa-let-7d	29386	2562.764444	N
hsa-let-7e	11037	962.541046	N
hsa-let-7f-1	197787	17249.080890	N
hsa-let-7f-2	206924	18045.922199	N
hsa-let-7g	236164	20595.953926	N
hsa-let-7i	65900	5747.164529	N
hsa-mir-1-1	1394	121.571280	N
hsa-mir-1-2	1474	128.548111	N
hsa-mir-100	24598	2145.201109	Y
hsa-mir-101-1	30485	2658.608659	N
hsa-mir-101-2	32023	2792.738235	N
hsa-mir-103a-1	82791	7220.235182	Y
hsa-mir-103a-2	86789	7568.902311	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.087210	N
hsa-mir-105-2	2	0.174421	N
hsa-mir-106a	232	20.232810	Y
hsa-mir-106b	20251	1766.097555	N
hsa-mir-107	12453	1086.030954	Y
hsa-mir-10a	67445	5881.904577	N
hsa-mir-10b	254165	22165.828110	N
hsa-mir-1178	1	0.087210	N
hsa-mir-1179	10	0.872104	N
hsa-mir-1180	402	35.058576	N
hsa-mir-1181	4	0.348842	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.348842	N
hsa-mir-1185-2	3	0.261631	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5023	438.057776	N
hsa-mir-1224	7	0.610473	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	38	3.313995	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	70	6.104727	N
hsa-mir-1229	50	4.360519	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.436052	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	5	0.436052	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	100	8.721039	N
hsa-mir-124-2	96	8.372197	N
hsa-mir-124-3	84	7.325673	N
hsa-mir-1243	2	0.174421	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.174421	N
hsa-mir-1245b	1	0.087210	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	16	1.395366	N
hsa-mir-1249	214	18.663023	N
hsa-mir-1250	39	3.401205	N
hsa-mir-1251	2	0.174421	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	22	1.918629	N
hsa-mir-1254-2	23	2.005839	N
hsa-mir-1255a	15	1.308156	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	9	0.784893	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	158429	13816.654463	N
hsa-mir-125b-1	21914	1911.128429	N
hsa-mir-125b-2	21718	1894.035193	N
hsa-mir-126	103306	9009.356279	N
hsa-mir-1260a	1	0.087210	N
hsa-mir-1260b	65	5.668675	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.087210	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	650	56.686752	N
hsa-mir-1269b	775	67.588050	N
hsa-mir-127	625	54.506492	N
hsa-mir-1270	581	50.669235	N
hsa-mir-1271	1513	131.949316	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.261631	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	5	0.436052	N
hsa-mir-1275	8	0.697683	N
hsa-mir-1276	13	1.133735	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	12	1.046525	N
hsa-mir-1279	0	0.000000	N
