miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	225156	18678.679770	N
hsa-let-7a-2	219151	18180.511957	Y
hsa-let-7a-3	220360	18280.809190	N
hsa-let-7b	83554	6931.542617	N
hsa-let-7c	33149	2750.002468	Y
hsa-let-7d	48635	4034.703009	N
hsa-let-7e	35295	2928.032131	N
hsa-let-7f-1	204141	16935.299823	N
hsa-let-7f-2	218090	18092.492632	N
hsa-let-7g	234577	19460.234968	N
hsa-let-7i	109735	9103.487913	N
hsa-mir-1-1	3056	253.522204	N
hsa-mir-1-2	3163	262.398800	N
hsa-mir-100	74513	6181.511777	Y
hsa-mir-101-1	56344	4674.232678	N
hsa-mir-101-2	57567	4775.691335	N
hsa-mir-103a-1	105450	8748.009299	Y
hsa-mir-103a-2	109701	9100.667313	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.082959	N
hsa-mir-106a	287	23.809186	Y
hsa-mir-106b	25032	2076.625593	N
hsa-mir-107	13052	1082.778733	Y
hsa-mir-10a	166334	13798.875095	N
hsa-mir-10b	318353	26410.194446	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1336	110.833005	N
hsa-mir-1181	3	0.248877	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.746630	N
hsa-mir-1185-2	10	0.829588	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.331835	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	10485	869.823400	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	112	9.291390	N
hsa-mir-1227	2	0.165918	N
hsa-mir-1228	107	8.876595	N
hsa-mir-1229	17	1.410300	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.331835	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	4	0.331835	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9	0.746630	N
hsa-mir-124-2	10	0.829588	N
hsa-mir-124-3	6	0.497753	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.497753	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	30	2.488765	N
hsa-mir-1248	5	0.414794	N
hsa-mir-1249	209	17.338397	N
hsa-mir-1250	33	2.737642	N
hsa-mir-1251	1	0.082959	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	0.663671	N
hsa-mir-1254-2	13	1.078465	N
hsa-mir-1255a	27	2.239889	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.165918	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	177906	14758.874750	N
hsa-mir-125b-1	69218	5742.244738	N
hsa-mir-125b-2	69417	5758.753547	N
hsa-mir-126	103379	8576.201549	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	39	3.235395	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	22	1.825094	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	15	1.244383	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.248877	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	849	70.432052	N
hsa-mir-1270	2242	185.993711	N
hsa-mir-1271	13549	1124.009274	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	5	0.414794	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	12	0.995506	N
hsa-mir-1276	12	0.995506	N
hsa-mir-1277	7	0.580712	N
hsa-mir-1278	13	1.078465	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6686	554.662780	N
hsa-mir-128-2	4551	377.545664	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.580712	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	66	5.475283	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	5	0.414794	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.248877	N
hsa-mir-129-2	16	1.327341	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	22	1.825094	N
hsa-mir-1292	75	6.221913	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.082959	N
hsa-mir-1295a	108	8.959554	N
hsa-mir-1295b	2	0.165918	N
hsa-mir-1296	521	43.221554	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.165918	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1212	100.546110	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.082959	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.331835	N
hsa-mir-1304	27	2.239889	N
hsa-mir-1305	8	0.663671	N
hsa-mir-1306	241	19.993080	N
hsa-mir-1307	1530	126.927020	N
hsa-mir-130a	1118	92.747979	N
hsa-mir-130b	1287	106.768022	N
hsa-mir-132	2406	199.598960	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	477	39.571365	Y
hsa-mir-133a-2	479	39.737283	Y
hsa-mir-133b	7	0.580712	Y
hsa-mir-134	91	7.549254	N
hsa-mir-1343	18	1.493259	N
hsa-mir-135a-1	647	53.674367	N
hsa-mir-135a-2	1364	113.155853	N
hsa-mir-135b	1107	91.835432	N
hsa-mir-136	153	12.692702	N
hsa-mir-137	7	0.580712	N
hsa-mir-138-1	24	1.991012	N
hsa-mir-138-2	26	2.156930	N
hsa-mir-139	2317	192.215624	N
hsa-mir-140	66038	5478.435639	N
hsa-mir-141	24	1.991012	N
hsa-mir-142	3875	321.465491	N
hsa-mir-143	473898	39314.026655	N
hsa-mir-144	2290	189.975735	N
hsa-mir-145	60513	5020.088067	N
hsa-mir-1468	115	9.540266	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	3423	283.968097	N
hsa-mir-146b	328380	27242.022699	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	21	1.742136	N
hsa-mir-148a	12323	1022.301741	N
hsa-mir-148b	3665	304.044135	N
hsa-mir-149	387	32.105070	N
hsa-mir-150	8531	707.721833	N
hsa-mir-151a	34899	2895.180432	N
hsa-mir-151b	355	29.450387	N
hsa-mir-152	1874	155.464859	N
hsa-mir-153-1	2	0.165918	N
hsa-mir-153-2	4	0.331835	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	121	10.038019	N
hsa-mir-155	26717	2216.411232	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	4116	341.458571	N
hsa-mir-15b	18597	1542.785481	N
hsa-mir-16-1	30981	2570.147711	N
hsa-mir-16-2	33944	2815.954743	N
hsa-mir-17	2843	235.851972	Y
hsa-mir-181a-1	58354	4840.979940	N
hsa-mir-181a-2	59180	4909.503939	N
hsa-mir-181b-1	13050	1082.612815	N
hsa-mir-181b-2	15013	1245.461011	N
hsa-mir-181c	1603	132.983015	N
hsa-mir-181d	285	23.643268	N
hsa-mir-182	2740	227.307212	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3326	275.921090	N
hsa-mir-184	5	0.414794	N
hsa-mir-185	6427	533.176442	N
hsa-mir-186	14733	1222.232537	N
hsa-mir-187	72	5.973036	N
hsa-mir-188	40	3.318353	N
hsa-mir-18a	825	68.441040	Y
hsa-mir-18b	5	0.414794	Y
hsa-mir-1908	8	0.663671	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1204	99.882439	N
hsa-mir-190b	120	9.955060	N
hsa-mir-191	90611	7516.983126	N
hsa-mir-1910	33	2.737642	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	3	0.248877	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	36623	3038.201466	Y
hsa-mir-193a	6043	501.320248	N
hsa-mir-193b	599	49.692343	N
hsa-mir-194-1	3983	330.425045	N
hsa-mir-194-2	12661	1050.341828	N
hsa-mir-195	21863	1813.729040	N
hsa-mir-196a-1	8674	719.584947	N
hsa-mir-196a-2	16679	1383.670432	N
hsa-mir-196b	2066	171.392956	N
hsa-mir-197	3863	320.469985	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	19	1.576218	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	13401	1111.731367	Y
hsa-mir-199a-2	22728	1885.488434	Y
hsa-mir-199b	30414	2523.110050	Y
hsa-mir-19a	823	68.275122	N
hsa-mir-19b-1	2812	233.280248	N
hsa-mir-19b-2	2851	236.515643	N
hsa-mir-200a	17795	1476.252494	N
hsa-mir-200b	41190	3417.074472	N
