miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	184395	25627.027964	N
hsa-let-7a-2	179695	24973.826785	Y
hsa-let-7a-3	179484	24944.502221	N
hsa-let-7b	60980	8474.937852	N
hsa-let-7c	10682	1484.573403	Y
hsa-let-7d	31325	4353.516370	N
hsa-let-7e	15096	2098.026596	N
hsa-let-7f-1	169818	23601.131456	N
hsa-let-7f-2	180468	25081.257532	N
hsa-let-7g	162925	22643.149386	N
hsa-let-7i	51170	7111.554114	N
hsa-mir-1-1	753	104.651168	N
hsa-mir-1-2	827	114.935612	N
hsa-mir-100	22586	3138.979113	Y
hsa-mir-101-1	13853	1925.275731	N
hsa-mir-101-2	15157	2106.504313	N
hsa-mir-103a-1	67539	9386.500944	Y
hsa-mir-103a-2	70534	9802.742972	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.416937	N
hsa-mir-105-2	1	0.138979	N
hsa-mir-106a	830	115.352549	Y
hsa-mir-106b	16138	2242.842687	N
hsa-mir-107	9481	1317.659655	Y
hsa-mir-10a	61344	8525.526199	N
hsa-mir-10b	223472	31057.909342	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.555916	N
hsa-mir-1180	348	48.364683	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.138979	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
