miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	275445	36929.476492	N
hsa-let-7a-2	268482	35995.932790	Y
hsa-let-7a-3	268824	36041.785432	N
hsa-let-7b	109788	14719.502496	N
hsa-let-7c	41472	5560.236160	Y
hsa-let-7d	57135	7660.206718	N
hsa-let-7e	25600	3432.244543	N
hsa-let-7f-1	217040	29098.998267	N
hsa-let-7f-2	233664	31327.812067	N
hsa-let-7g	151948	20371.980228	N
hsa-let-7i	52978	7102.869196	N
hsa-mir-1-1	1217	163.165688	N
hsa-mir-1-2	1353	181.399487	N
hsa-mir-100	51884	6956.194370	Y
hsa-mir-101-1	49579	6647.158289	N
hsa-mir-101-2	55435	7432.284228	N
hsa-mir-103a-1	78373	10507.628968	Y
hsa-mir-103a-2	81277	10896.974208	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.134072	N
hsa-mir-106a	409	54.835469	Y
hsa-mir-106b	12532	1680.190962	N
hsa-mir-107	12904	1730.065765	Y
hsa-mir-10a	93651	12555.981786	N
hsa-mir-10b	283986	38074.585892	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.134072	N
hsa-mir-1180	616	82.588384	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.134072	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	436	58.455415	N
hsa-mir-1224	2	0.268144	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	33	4.424378	N
hsa-mir-1227	1	0.134072	N
hsa-mir-1228	16	2.145153	N
hsa-mir-1229	25	3.351801	N
hsa-mir-1231	1	0.134072	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.402216	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	4	0.536288	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.268144	N
hsa-mir-124-2	4	0.536288	N
hsa-mir-124-3	5	0.670360	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	53	7.105819	N
hsa-mir-1248	54	7.239891	N
hsa-mir-1249	261	34.992806	N
hsa-mir-1250	23	3.083657	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.134072	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.536288	N
hsa-mir-1254-2	7	0.938504	N
hsa-mir-1255a	4	0.536288	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	212541	28495.808103	N
hsa-mir-125b-1	67239	9014.870736	N
hsa-mir-125b-2	66840	8961.375987	N
hsa-mir-126	93279	12506.106982	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	22	2.949585	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	2.145153	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.134072	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	390	52.288100	N
hsa-mir-1270	879	117.849334	N
hsa-mir-1271	2161	289.729705	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.268144	N
hsa-mir-1276	2	0.268144	N
hsa-mir-1277	11	1.474793	N
hsa-mir-1278	11	1.474793	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4534	607.882686	N
hsa-mir-128-2	2615	350.598417	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	20	2.681441	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	58	7.776179	N
hsa-mir-1288	1	0.134072	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.938504	N
hsa-mir-129-2	13	1.742937	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	38	5.094738	N
hsa-mir-1292	46	6.167314	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	6	0.804432	N
hsa-mir-1295a	66	8.848755	N
hsa-mir-1295b	1	0.134072	N
hsa-mir-1296	183	24.535186	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	13	1.742937	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1055	141.446015	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.938504	N
hsa-mir-1304	22	2.949585	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	169	22.658177	N
hsa-mir-1307	1437	192.661539	N
hsa-mir-130a	579	77.627718	N
hsa-mir-130b	954	127.904738	N
hsa-mir-132	1307	175.232173	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	195	26.144050	Y
hsa-mir-133a-2	207	27.752915	N
hsa-mir-133b	5	0.670360	Y
hsa-mir-134	33	4.424378	N
hsa-mir-1343	17	2.279225	N
hsa-mir-135a-1	42	5.631026	N
hsa-mir-135a-2	59	7.910251	N
hsa-mir-135b	189	25.339618	N
hsa-mir-136	40	5.362882	N
hsa-mir-137	1	0.134072	N
hsa-mir-138-1	11	1.474793	N
hsa-mir-138-2	6	0.804432	N
hsa-mir-139	6316	846.799083	N
hsa-mir-140	40007	5363.820603	N
hsa-mir-141	20	2.681441	N
hsa-mir-142	2871	384.920863	N
hsa-mir-143	210221	28184.760941	N
hsa-mir-144	1277	171.210011	N
hsa-mir-145	32983	4422.098506	N
hsa-mir-1468	140	18.770087	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	13594	1822.575481	N
hsa-mir-146b	13263	1778.197632	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	8	1.072576	N
hsa-mir-148a	13556	1817.480743	N
hsa-mir-148b	2727	365.614487	N
hsa-mir-149	124	16.624935	N
hsa-mir-150	4822	646.495437	N
hsa-mir-151a	29494	3954.321115	N
hsa-mir-151b	260	34.858734	N
hsa-mir-152	1086	145.602249	N
hsa-mir-153-1	2	0.268144	N
hsa-mir-153-2	1	0.134072	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.134072	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	45	6.033242	N
hsa-mir-155	20998	2815.244958	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1636	219.341878	N
hsa-mir-15b	14288	1915.621486	N
hsa-mir-16-1	21003	2815.915318	N
hsa-mir-16-2	23903	3204.724270	N
hsa-mir-17	3593	481.720885	Y
hsa-mir-181a-1	28008	3755.090045	Y
hsa-mir-181a-2	28163	3775.871214	N
hsa-mir-181b-1	6471	867.580252	N
hsa-mir-181b-2	8142	1091.614651	N
hsa-mir-181c	362	48.534083	Y
hsa-mir-181d	174	23.328537	N
hsa-mir-182	837	112.218308	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	487	65.293090	N
hsa-mir-184	2	0.268144	N
hsa-mir-185	3886	521.003996	N
hsa-mir-186	9163	1228.502217	N
hsa-mir-187	2	0.268144	N
hsa-mir-188	26	3.485873	N
hsa-mir-18a	230	30.836572	N
hsa-mir-18b	1	0.134072	N
hsa-mir-1908	13	1.742937	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1054	141.311943	N
hsa-mir-190b	32	4.290306	N
hsa-mir-191	52098	6984.885789	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	2	0.268144	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	53709	7200.875866	Y
hsa-mir-193a	3725	499.418395	N
hsa-mir-193b	1108	148.551834	N
hsa-mir-194-1	6563	879.914880	N
hsa-mir-194-2	27423	3676.657895	N
