miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	373609	20542.032682	N
hsa-let-7a-2	369459	20313.854465	Y
hsa-let-7a-3	369918	20339.091525	N
hsa-let-7b	103409	5685.706334	N
hsa-let-7c	61131	3361.147617	Y
hsa-let-7d	66273	3643.868675	N
hsa-let-7e	33512	1842.580343	N
hsa-let-7f-1	377801	20772.520173	N
hsa-let-7f-2	400277	22008.311405	N
hsa-let-7g	394126	21670.112799	N
hsa-let-7i	117955	6485.484731	N
hsa-mir-1-1	2764	151.972191	N
hsa-mir-1-2	2879	158.295202	N
hsa-mir-100	74335	4087.139227	Y
hsa-mir-101-1	108135	5945.554588	N
hsa-mir-101-2	114840	6314.213612	N
hsa-mir-103a-1	135343	7441.523971	Y
hsa-mir-103a-2	139289	7658.485717	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	682	37.498203	Y
hsa-mir-106b	24912	1369.729097	N
hsa-mir-107	10533	579.132811	Y
hsa-mir-10a	302197	16615.607896	N
hsa-mir-10b	675565	37144.389746	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.329896	N
hsa-mir-1180	1141	62.735264	N
hsa-mir-1181	6	0.329896	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.329896	N
hsa-mir-1185-2	10	0.549827	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	13	0.714775	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3163	173.910290	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	30	1.649481	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	96	5.278339	N
hsa-mir-1229	21	1.154637	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.054983	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	4	0.219931	N
hsa-mir-124-1	52	2.859101	N
hsa-mir-124-2	57	3.134014	N
hsa-mir-124-3	49	2.694152	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	27	1.484533	N
hsa-mir-1248	15	0.824741	N
hsa-mir-1249	246	13.525745	N
hsa-mir-1250	54	2.969066	N
hsa-mir-1251	3	0.164948	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.329896	N
hsa-mir-1254-2	9	0.494844	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.109965	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	456262	25086.518032	N
hsa-mir-125b-1	89757	4935.082472	N
hsa-mir-125b-2	91551	5033.721442	N
hsa-mir-126	460661	25328.386943	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	31	1.704464	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	47	2.584187	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.054983	N
hsa-mir-1267	2	0.109965	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.054983	N
hsa-mir-1269b	1	0.054983	N
hsa-mir-127	707	38.872771	N
hsa-mir-1270	1209	66.474088	N
hsa-mir-1271	5184	285.030332	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.164948	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.054983	N
hsa-mir-1275	1	0.054983	N
hsa-mir-1276	14	0.769758	N
hsa-mir-1277	28	1.539516	N
hsa-mir-1278	26	1.429550	N
hsa-mir-1279	0	0.000000	N
