miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	157818	16978.133625	N
hsa-let-7a-2	152273	16381.599954	Y
hsa-let-7a-3	152810	16439.370663	N
hsa-let-7b	37917	4079.128443	N
hsa-let-7c	18053	1942.150112	Y
hsa-let-7d	44615	4799.702389	N
hsa-let-7e	18304	1969.152808	N
hsa-let-7f-1	226875	24407.317709	N
hsa-let-7f-2	241779	26010.696941	N
hsa-let-7g	253923	27317.154092	N
hsa-let-7i	107432	11557.584380	N
hsa-mir-1-1	1451	156.099253	N
hsa-mir-1-2	1685	181.273081	N
hsa-mir-100	237834	25586.292011	Y
hsa-mir-101-1	26756	2878.422888	N
hsa-mir-101-2	28215	3035.382784	N
hsa-mir-103a-1	94080	10121.170028	Y
hsa-mir-103a-2	97738	10514.699364	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.322741	N
hsa-mir-105-2	4	0.430322	N
hsa-mir-106a	543	58.416192	Y
hsa-mir-106b	20703	2227.238341	N
hsa-mir-107	12026	1293.762657	Y
hsa-mir-10a	49796	5357.076772	N
hsa-mir-10b	375043	40347.299859	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.968224	N
hsa-mir-1180	829	89.184204	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	3	0.322741	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.753063	N
hsa-mir-1185-2	12	1.290966	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.430322	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4642	499.388513	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	54	5.809345	N
hsa-mir-1227	1	0.107580	N
hsa-mir-1228	79	8.498857	N
hsa-mir-1229	37	3.980477	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.753063	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	0.430322	N
hsa-mir-124-2	6	0.645483	N
hsa-mir-124-3	3	0.322741	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.107580	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	0.537902	N
hsa-mir-1248	25	2.689512	N
hsa-mir-1249	346	37.222840	N
hsa-mir-1250	46	4.948701	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	20	2.151609	N
hsa-mir-1254-2	10	1.075805	N
hsa-mir-1255a	4	0.430322	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	6	0.645483	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	201271	21652.827516	N
hsa-mir-125b-1	73683	7926.851309	N
hsa-mir-125b-2	73734	7932.337913	N
hsa-mir-126	145013	15600.565787	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	46	4.948701	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.645483	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2482	267.014711	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	677	72.831974	N
hsa-mir-1270	69	7.423052	N
hsa-mir-1271	1355	145.771528	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.215161	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	0.537902	N
hsa-mir-1278	1	0.107580	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4539	488.307725	N
hsa-mir-128-2	3324	357.597461	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	19	2.044029	N
hsa-mir-1285-1	2	0.215161	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	52	5.594184	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	9	0.968224	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	0.645483	N
hsa-mir-129-2	9	0.968224	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	41	4.410799	N
hsa-mir-1292	53	5.701765	N
hsa-mir-1293	6	0.645483	N
hsa-mir-1294	2	0.215161	N
hsa-mir-1295a	71	7.638213	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	377	40.557835	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1357	145.986689	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	15	1.613707	N
hsa-mir-1304	22	2.366770	N
hsa-mir-1305	2	0.215161	N
hsa-mir-1306	87	9.359500	N
