miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	271943	27292.583322	N
hsa-let-7a-2	265091	26604.906930	Y
hsa-let-7a-3	265785	26674.557750	N
hsa-let-7b	99242	9960.067198	N
hsa-let-7c	37723	3785.933525	Y
hsa-let-7d	53513	5370.640212	N
hsa-let-7e	31445	3155.864584	N
hsa-let-7f-1	249276	25017.691208	N
hsa-let-7f-2	266562	26752.538567	N
hsa-let-7g	233036	23387.821885	N
hsa-let-7i	57187	5739.368038	N
hsa-mir-1-1	5773	579.386428	N
hsa-mir-1-2	6110	613.208224	N
hsa-mir-100	59999	6021.584327	Y
hsa-mir-101-1	30359	3046.872091	N
hsa-mir-101-2	32986	3310.521519	N
hsa-mir-103a-1	104095	10447.121128	Y
hsa-mir-103a-2	108507	10889.915675	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.100361	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	616	61.822629	Y
hsa-mir-106b	16171	1622.944385	N
hsa-mir-107	13368	1341.631349	Y
hsa-mir-10a	60174	6039.147574	N
hsa-mir-10b	317240	31838.654178	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.903253	N
hsa-mir-1180	1083	108.691409	N
hsa-mir-1181	2	0.200723	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.204337	N
hsa-mir-1185-2	7	0.702530	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.100361	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	11592	1163.389482	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	70	7.025299	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	47	4.716986	N
hsa-mir-1229	38	3.813734	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.401446	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.200723	N
hsa-mir-1238	1	0.100361	N
hsa-mir-124-1	23	2.308312	N
hsa-mir-124-2	28	2.810120	N
hsa-mir-124-3	29	2.910481	N
hsa-mir-1243	6	0.602168	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.401446	N
hsa-mir-1245b	3	0.301084	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	84	8.430359	N
hsa-mir-1248	29	2.910481	N
hsa-mir-1249	247	24.789269	N
hsa-mir-1250	25	2.509035	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	12	1.204337	N
hsa-mir-1254-2	7	0.702530	N
hsa-mir-1255a	32	3.211565	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.200723	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	248350	24924.756541	N
hsa-mir-125b-1	68469	6871.645483	N
hsa-mir-125b-2	68716	6896.434751	N
hsa-mir-126	83337	8363.818948	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	20	2.007228	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.602168	N
hsa-mir-1263	6	0.602168	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1109	111.300805	N
hsa-mir-1270	499	50.080344	N
hsa-mir-1271	2229	223.705586	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.401446	N
hsa-mir-1275	6	0.602168	N
hsa-mir-1276	5	0.501807	N
hsa-mir-1277	10	1.003614	N
hsa-mir-1278	14	1.405060	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4823	484.043088	N
hsa-mir-128-2	3164	317.543506	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.100361	N
hsa-mir-1283-2	3	0.301084	N
hsa-mir-1284	12	1.204337	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.200723	N
hsa-mir-1287	64	6.423130	N
hsa-mir-1288	1	0.100361	N
hsa-mir-1289-1	3	0.301084	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	11	1.103976	N
hsa-mir-129-2	9	0.903253	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	39	3.914095	N
hsa-mir-1292	82	8.229636	N
hsa-mir-1293	4	0.401446	N
hsa-mir-1294	13	1.304698	N
hsa-mir-1295a	45	4.516264	N
hsa-mir-1295b	6	0.602168	N
hsa-mir-1296	155	15.556019	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.100361	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1527	153.251875	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	6	0.602168	N
hsa-mir-1304	21	2.107590	N
hsa-mir-1305	1	0.100361	N
hsa-mir-1306	197	19.771198	N
hsa-mir-1307	1674	168.005003	N
hsa-mir-130a	511	51.284681	N
hsa-mir-130b	981	98.454545	N
