miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	188034	16734.305237	N
hsa-let-7a-2	183975	16373.069796	Y
hsa-let-7a-3	184890	16454.501288	N
hsa-let-7b	69588	6193.065258	N
hsa-let-7c	22942	2041.750060	Y
hsa-let-7d	29115	2591.123398	N
hsa-let-7e	13939	1240.517570	N
hsa-let-7f-1	176412	15699.991786	N
hsa-let-7f-2	185591	16516.887601	N
hsa-let-7g	221836	19742.553668	N
hsa-let-7i	90490	8053.263138	N
hsa-mir-1-1	3023	269.035412	N
hsa-mir-1-2	3314	294.933297	N
hsa-mir-100	100726	8964.227902	Y
hsa-mir-101-1	18911	1683.006511	N
hsa-mir-101-2	19998	1779.745345	N
hsa-mir-103a-1	65607	5838.771518	Y
hsa-mir-103a-2	69254	6163.340539	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.088996	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	353	31.415647	Y
hsa-mir-106b	17124	1523.970361	N
hsa-mir-107	9922	883.019967	Y
hsa-mir-10a	79104	7039.952782	N
hsa-mir-10b	159935	14233.601945	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	18	1.601931	N
hsa-mir-1180	764	67.993071	N
hsa-mir-1181	5	0.444981	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.800966	N
hsa-mir-1185-2	1	0.088996	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	9	0.800966	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1584	140.969928	N
hsa-mir-1224	2	0.177992	N
