miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	88206	6179.035678	N
hsa-let-7a-2	85036	5956.969797	Y
hsa-let-7a-3	85901	6017.565061	N
hsa-let-7b	48401	3390.602746	N
hsa-let-7c	11956	837.545638	Y
hsa-let-7d	21519	1507.456055	N
hsa-let-7e	5290	370.576817	N
hsa-let-7f-1	164633	11532.924980	N
hsa-let-7f-2	173696	12167.809232	N
hsa-let-7g	292335	20478.747420	N
hsa-let-7i	79905	5597.531300	N
hsa-mir-1-1	2737	191.733223	N
hsa-mir-1-2	2981	208.825991	N
hsa-mir-100	74569	5223.732076	Y
hsa-mir-101-1	31112	2179.468041	N
hsa-mir-101-2	31998	2241.534404	N
hsa-mir-103a-1	100714	7055.250201	Y
hsa-mir-103a-2	104221	7300.923717	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	444	31.103234	Y
hsa-mir-106b	16301	1141.923005	N
hsa-mir-107	7713	540.313609	Y
hsa-mir-10a	201889	14142.794526	N
hsa-mir-10b	143004	10017.763169	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	24	1.681256	N
hsa-mir-1180	660	46.234537	N
hsa-mir-1181	2	0.140105	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	29	2.031518	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.070052	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.140105	N
hsa-mir-1226	72	5.043768	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	57	3.992983	N
hsa-mir-1229	9	0.630471	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.210157	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.490366	N
hsa-mir-124-2	14	0.980733	N
hsa-mir-124-3	8	0.560419	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.280209	N
hsa-mir-1245b	5	0.350262	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	163	11.418530	N
hsa-mir-1248	27	1.891413	N
hsa-mir-1249	298	20.875594	N
hsa-mir-1250	2	0.140105	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	1.120837	N
hsa-mir-1254-2	16	1.120837	N
hsa-mir-1255a	26	1.821361	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.350262	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	111497	7810.624458	N
hsa-mir-125b-1	62203	4357.464983	N
hsa-mir-125b-2	63370	4439.216050	N
hsa-mir-126	45739	3204.123448	N
hsa-mir-1260a	1	0.070052	N
hsa-mir-1260b	26	1.821361	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.420314	N
hsa-mir-1263	1	0.070052	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.280209	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2016	141.225494	N
hsa-mir-1270	94	6.584919	N
hsa-mir-1271	1245	87.215149	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	5	0.350262	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	5	0.350262	N
hsa-mir-1277	1	0.070052	N
hsa-mir-1278	6	0.420314	N
hsa-mir-1279	0	0.000000	N
