miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	211875	22700.874210	N
hsa-let-7a-2	201402	21578.767989	Y
hsa-let-7a-3	201905	21632.660802	N
hsa-let-7b	65489	7016.672808	N
hsa-let-7c	22691	2431.176574	Y
hsa-let-7d	29265	3135.533139	N
hsa-let-7e	14720	1577.141562	N
hsa-let-7f-1	183766	19689.198112	N
hsa-let-7f-2	197029	21110.232659	N
hsa-let-7g	203010	21751.053562	N
hsa-let-7i	66145	7086.958464	N
hsa-mir-1-1	3984	426.856792	N
hsa-mir-1-2	4057	434.678214	N
hsa-mir-100	47971	5139.745778	Y
hsa-mir-101-1	30899	3310.604423	N
hsa-mir-101-2	32662	3499.497125	N
hsa-mir-103a-1	69031	7396.172496	Y
hsa-mir-103a-2	72127	7727.886509	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.107143	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	295	31.607117	Y
hsa-mir-106b	15532	1664.141490	N
hsa-mir-107	9959	1067.034838	Y
hsa-mir-10a	98892	10595.562725	N
hsa-mir-10b	215226	23059.909629	N
hsa-mir-1178	1	0.107143	N
hsa-mir-1179	8	0.857142	N
hsa-mir-1180	433	46.392819	N
hsa-mir-1181	4	0.428571	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.749999	N
hsa-mir-1185-2	2	0.214286	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.214286	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1672	179.142710	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	27	2.892855	N
hsa-mir-1227	1	0.107143	N
hsa-mir-1228	18	1.928570	N
hsa-mir-1229	9	0.964285	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
