miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	244982	19550.164740	N
hsa-let-7a-2	241395	19263.913338	Y
hsa-let-7a-3	241570	19277.878768	N
hsa-let-7b	67353	5374.934672	N
hsa-let-7c	42472	3389.369818	Y
hsa-let-7d	44038	3514.340461	N
hsa-let-7e	25698	2050.763458	N
hsa-let-7f-1	283775	22645.941331	N
hsa-let-7f-2	302648	24152.053042	N
hsa-let-7g	259934	20743.371030	N
hsa-let-7i	79438	6339.347326	N
hsa-mir-1-1	1953	155.854192	N
hsa-mir-1-2	2109	168.303375	N
hsa-mir-100	55209	4405.813673	Y
hsa-mir-101-1	97691	7795.981516	N
hsa-mir-101-2	103433	8254.207205	N
hsa-mir-103a-1	86352	6891.101492	Y
hsa-mir-103a-2	88291	7045.838450	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.079802	N
hsa-mir-105-2	1	0.079802	N
hsa-mir-106a	366	29.207698	Y
hsa-mir-106b	15722	1254.654179	N
hsa-mir-107	7118	568.033866	Y
hsa-mir-10a	250321	19976.230041	N
hsa-mir-10b	470239	37526.226079	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	1.356642	N
hsa-mir-1180	901	71.902011	N
hsa-mir-1181	3	0.239407	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	17	1.356642	N
hsa-mir-1185-2	2	0.159605	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.319210	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2976	237.492103	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	36	2.872888	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	49	3.910320	N
hsa-mir-1229	4	0.319210	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.478815	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	27	2.154666	N
hsa-mir-124-2	23	1.835456	N
hsa-mir-124-3	25	1.995061	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	0.558617	N
hsa-mir-1248	9	0.718222	N
hsa-mir-1249	162	12.927998	N
hsa-mir-1250	35	2.793086	N
hsa-mir-1251	8	0.638420	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.319210	N
hsa-mir-1254-2	3	0.239407	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.159605	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	299945	23936.347009	N
hsa-mir-125b-1	62255	4968.101762	N
hsa-mir-125b-2	62371	4977.358847	N
hsa-mir-126	348040	27774.446025	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	1.436444	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	27	2.154666	N
hsa-mir-1263	2	0.159605	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.079802	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	0.558617	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	677	54.026261	N
hsa-mir-1270	660	52.669620	N
hsa-mir-1271	2458	196.154431	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.239407	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	6	0.478815	N
hsa-mir-1277	16	1.276839	N
hsa-mir-1278	18	1.436444	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	21420	1709.368561	N
hsa-mir-128-2	10830	864.260575	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	20	1.596049	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
