miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	171477	14468.899086	N
hsa-let-7a-2	169589	14309.593281	Y
hsa-let-7a-3	170148	14356.760624	N
hsa-let-7b	43572	3676.521463	N
hsa-let-7c	14606	1232.426157	Y
hsa-let-7d	32765	2764.647612	N
hsa-let-7e	15611	1317.226121	N
hsa-let-7f-1	208831	17620.757681	N
hsa-let-7f-2	218470	18434.077942	N
hsa-let-7g	264036	22278.849286	N
hsa-let-7i	79665	6721.979307	N
hsa-mir-1-1	2338	197.275938	N
hsa-mir-1-2	2510	211.788967	N
hsa-mir-100	137341	11588.569133	Y
hsa-mir-101-1	37283	3145.867753	N
hsa-mir-101-2	39551	3337.237226	N
hsa-mir-103a-1	64256	5421.797557	Y
hsa-mir-103a-2	66844	5640.168014	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	296	24.975910	Y
hsa-mir-106b	19172	1617.696445	N
hsa-mir-107	7513	633.932474	Y
hsa-mir-10a	199860	16863.801975	N
hsa-mir-10b	410486	34636.018300	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	1.434427	N
hsa-mir-1180	648	54.676992	N
hsa-mir-1181	3	0.253134	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.337512	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7123	601.025025	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	20	1.687561	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	67	5.653331	N
hsa-mir-1229	1	0.084378	N
hsa-mir-1231	2	0.168756	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.084378	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	0.337512	N
hsa-mir-124-2	3	0.253134	N
hsa-mir-124-3	4	0.337512	N
hsa-mir-1243	9	0.759403	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.337512	N
hsa-mir-1245b	4	0.337512	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	83	7.003380	N
hsa-mir-1248	9	0.759403	N
hsa-mir-1249	268	22.613324	N
hsa-mir-1250	14	1.181293	N
hsa-mir-1251	4	0.337512	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	21	1.771940	N
hsa-mir-1254-2	15	1.265671	N
hsa-mir-1255a	10	0.843781	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	290340	24498.330158	N
hsa-mir-125b-1	71183	6006.284479	N
hsa-mir-125b-2	72709	6135.045421	N
hsa-mir-126	95984	8098.945105	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	35	2.953233	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.181293	N
hsa-mir-1263	7	0.590647	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.337512	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	362	30.544863	N
hsa-mir-1269b	1	0.084378	N
hsa-mir-127	623	52.567540	N
hsa-mir-1270	188	15.863078	N
hsa-mir-1271	7576	639.248293	N
hsa-mir-1272	1	0.084378	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.168756	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	17	1.434427	N
hsa-mir-1276	7	0.590647	N
hsa-mir-1277	6	0.506268	N
hsa-mir-1278	8	0.675025	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	16349	1379.497140	N
hsa-mir-128-2	8748	738.139396	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	17	1.434427	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	65	5.484575	N
hsa-mir-1288	1	0.084378	N
hsa-mir-1289-1	5	0.421890	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	0.421890	N
hsa-mir-129-2	11	0.928159	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	68	5.737709	N
hsa-mir-1292	33	2.784476	N
hsa-mir-1293	6	0.506268	N
hsa-mir-1294	9	0.759403	N
hsa-mir-1295a	83	7.003380	N
hsa-mir-1295b	4	0.337512	N
hsa-mir-1296	296	24.975910	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	50	4.218904	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	749	63.199178	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.337512	N
hsa-mir-1304	9	0.759403	N
hsa-mir-1305	4	0.337512	N
hsa-mir-1306	111	9.365966	N
hsa-mir-1307	1425	120.238756	N
hsa-mir-130a	578	48.770527	N
hsa-mir-130b	743	62.692909	N
hsa-mir-132	1176	99.228616	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.084378	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	412	34.763767	Y
hsa-mir-133a-2	360	30.376107	Y
hsa-mir-133b	3	0.253134	Y
hsa-mir-134	32	2.700098	N
