miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	196834	28414.802941	N
hsa-let-7a-2	197611	28526.970056	Y
hsa-let-7a-3	197126	28456.955834	N
hsa-let-7b	194543	28084.075965	N
hsa-let-7c	298243	43054.127201	Y
hsa-let-7d	5689	821.259609	N
hsa-let-7e	26812	3870.559438	N
hsa-let-7f-1	79881	11531.558947	N
hsa-let-7f-2	82289	11879.175951	N
hsa-let-7g	4985	719.630718	N
hsa-let-7i	5482	791.377250	N
hsa-mir-1-1	4	0.577437	N
hsa-mir-1-2	15	2.165388	N
hsa-mir-100	470205	67878.427593	Y
hsa-mir-101-1	23776	3432.284843	N
hsa-mir-101-2	24282	3505.330609	N
hsa-mir-103a-1	179174	25865.419095	Y
hsa-mir-103a-2	178612	25784.289213	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.577437	N
hsa-mir-105-2	5	0.721796	N
hsa-mir-106a	52	7.506680	Y
hsa-mir-106b	6836	986.839636	N
hsa-mir-107	1147	165.580027	Y
hsa-mir-10a	64597	9325.172610	N
hsa-mir-10b	124535	17977.775609	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.721796	N
hsa-mir-1180	174	25.118504	N
hsa-mir-1181	2	0.288718	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.876670	N
hsa-mir-1185-2	6	0.866155	N
hsa-mir-1193	1	0.144359	N
hsa-mir-1197	3	0.433078	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	1	0.144359	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.721796	N
hsa-mir-1225	14	2.021029	N
hsa-mir-1226	10	1.443592	N
hsa-mir-1227	1	0.144359	N
