miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	262369	19631.115882	N
hsa-let-7a-2	257501	19266.879741	Y
hsa-let-7a-3	257582	19272.940367	N
hsa-let-7b	61877	4629.794516	N
hsa-let-7c	19087	1428.137885	Y
hsa-let-7d	50437	3773.824620	N
hsa-let-7e	27869	2085.229461	N
hsa-let-7f-1	309603	23165.283896	N
hsa-let-7f-2	330220	24707.900273	N
hsa-let-7g	303197	22685.970683	N
hsa-let-7i	105035	7858.985843	N
hsa-mir-1-1	4764	356.454597	N
hsa-mir-1-2	5138	384.438228	N
hsa-mir-100	67269	5033.237670	Y
hsa-mir-101-1	97463	7292.429545	N
hsa-mir-101-2	104215	7797.631358	N
hsa-mir-103a-1	89914	6727.594165	Y
hsa-mir-103a-2	92703	6936.274238	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.299290	N
hsa-mir-105-2	3	0.224468	N
hsa-mir-106a	443	33.146387	Y
hsa-mir-106b	22092	1652.979628	N
hsa-mir-107	7894	590.649157	Y
hsa-mir-10a	215138	16097.172336	N
hsa-mir-10b	792203	59274.643328	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	0.897871	N
hsa-mir-1180	607	45.417284	N
hsa-mir-1181	11	0.823048	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	25	1.870564	N
hsa-mir-1185-2	3	0.224468	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	12	0.897871	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3232	241.826460	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	2.095031	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	23	1.720918	N
hsa-mir-1229	8	0.598580	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	0.673403	N
hsa-mir-1236	4	0.299290	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	27	2.020209	N
hsa-mir-124-2	27	2.020209	N
hsa-mir-124-3	17	1.271983	N
hsa-mir-1243	3	0.224468	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.523758	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	847	63.374694	N
hsa-mir-1248	34	2.543966	N
hsa-mir-1249	137	10.250688	N
hsa-mir-1250	39	2.918079	N
hsa-mir-1251	5	0.374113	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	1.047516	N
hsa-mir-1254-2	5	0.374113	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.149645	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	298478	22332.883101	N
hsa-mir-125b-1	50527	3780.558649	N
hsa-mir-125b-2	50970	3813.705036	N
hsa-mir-126	419366	31378.030725	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	40	2.992902	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	40	2.992902	N
hsa-mir-1263	6	0.448935	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	11	0.823048	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	260	19.453861	N
hsa-mir-1269b	188	14.066638	N
hsa-mir-127	1945	145.529847	N
hsa-mir-1270	1392	104.152980	N
hsa-mir-1271	2330	174.336526	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.224468	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.224468	N
hsa-mir-1277	9	0.673403	N
hsa-mir-1278	28	2.095031	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5102	381.744616	N
hsa-mir-128-2	3140	234.942786	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.074823	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	12	0.897871	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	57	4.264885	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.074823	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	21	1.571273	N
hsa-mir-129-2	43	3.217369	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	48	3.591482	N
hsa-mir-1292	59	4.414530	N
hsa-mir-1293	1	0.074823	N
hsa-mir-1294	5	0.374113	N
hsa-mir-1295a	118	8.829060	N
hsa-mir-1295b	1	0.074823	N
hsa-mir-1296	406	30.377953	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	7	0.523758	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	841	62.925759	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	2	0.149645	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.149645	N
hsa-mir-1304	41	3.067724	N
hsa-mir-1305	3	0.224468	N
hsa-mir-1306	122	9.128350	N
hsa-mir-1307	1409	105.424964	N
hsa-mir-130a	1139	85.222877	N
hsa-mir-130b	851	63.673984	N
hsa-mir-132	1791	134.007175	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	11	0.823048	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	513	38.383965	Y
hsa-mir-133a-2	542	40.553819	Y
hsa-mir-133b	8	0.598580	Y
hsa-mir-134	115	8.604592	N
hsa-mir-1343	12	0.897871	N
