miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	274402	24964.870662	N
hsa-let-7a-2	262659	23896.502078	Y
hsa-let-7a-3	264429	24057.535237	N
hsa-let-7b	66784	6075.953974	N
hsa-let-7c	35880	3264.333202	Y
hsa-let-7d	44032	4005.995528	N
hsa-let-7e	19670	1789.560593	N
hsa-let-7f-1	259164	23578.529822	N
hsa-let-7f-2	279420	25421.404218	N
hsa-let-7g	226914	20644.451066	N
hsa-let-7i	78161	7111.024175	N
hsa-mir-1-1	818	74.420974	N
hsa-mir-1-2	855	77.787204	N
hsa-mir-100	113741	10348.063622	Y
hsa-mir-101-1	74308	6760.481371	N
hsa-mir-101-2	82283	7486.040381	N
hsa-mir-103a-1	86671	7885.257050	Y
hsa-mir-103a-2	89840	8173.570092	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.090979	N
hsa-mir-105-2	1	0.090979	N
hsa-mir-106a	530	48.218969	Y
hsa-mir-106b	22551	2051.671629	N
hsa-mir-107	10154	923.802657	Y
hsa-mir-10a	154540	14059.923441	N
hsa-mir-10b	319218	29042.193872	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.818813	N
hsa-mir-1180	532	48.400927	N
hsa-mir-1181	1	0.090979	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.090979	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4644	422.507341	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	30	2.729376	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	1.091750	N
hsa-mir-1229	12	1.091750	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	28	2.547417	N
hsa-mir-124-2	37	3.366230	N
hsa-mir-124-3	35	3.184272	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.545875	N
hsa-mir-1245b	1	0.090979	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	0.454896	N
hsa-mir-1248	46	4.185043	N
hsa-mir-1249	121	11.008482	N
hsa-mir-1250	28	2.547417	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	21	1.910563	N
hsa-mir-1254-2	18	1.637625	N
hsa-mir-1255a	20	1.819584	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.272938	N
hsa-mir-125a	210121	19116.637591	N
hsa-mir-125b-1	57832	5261.508298	N
hsa-mir-125b-2	57832	5261.508298	N
hsa-mir-126	103601	9425.534673	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	0.818813	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	37	3.366230	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.181958	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.272938	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.181958	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	103	9.370856	N
hsa-mir-1270	901	81.972247	N
hsa-mir-1271	1755	159.668472	N
hsa-mir-1272	2	0.181958	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.090979	N
hsa-mir-1275	1	0.090979	N
hsa-mir-1276	2	0.181958	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	13	1.182729	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4246	386.297625	N
hsa-mir-128-2	2674	243.278344	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	15	1.364688	N
hsa-mir-1285-1	1	0.090979	N
hsa-mir-1285-2	1	0.090979	N
hsa-mir-1286	1	0.090979	N
hsa-mir-1287	45	4.094063	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	3	0.272938	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	14	1.273709	N
hsa-mir-129-2	8	0.727833	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	51	4.639938	N
hsa-mir-1292	42	3.821126	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.181958	N
hsa-mir-1295a	149	13.555899	N
hsa-mir-1295b	3	0.272938	N
hsa-mir-1296	139	12.646107	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	31	2.820355	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1149	104.535085	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	6	0.545875	N
hsa-mir-1304	26	2.365459	N
hsa-mir-1305	7	0.636854	N
hsa-mir-1306	97	8.824981	N
hsa-mir-1307	1291	117.454129	N
hsa-mir-130a	804	73.147266	N
hsa-mir-130b	1035	94.163458	N
hsa-mir-132	2060	187.417124	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	110	10.007710	N
hsa-mir-133a-2	100	9.097919	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	12	1.091750	N
hsa-mir-1343	18	1.637625	N
hsa-mir-135a-1	42	3.821126	N
hsa-mir-135a-2	57	5.185814	N
hsa-mir-135b	2141	194.786438	N
hsa-mir-136	22	2.001542	N
hsa-mir-137	2	0.181958	N
hsa-mir-138-1	23	2.092521	N
hsa-mir-138-2	20	1.819584	N
hsa-mir-139	1653	150.388595	N
hsa-mir-140	64325	5852.236155	N
hsa-mir-141	11	1.000771	N
hsa-mir-142	3187	289.950667	N
hsa-mir-143	242636	22074.825832	N
hsa-mir-144	549	49.947573	N
hsa-mir-145	38477	3500.606149	N
hsa-mir-1468	111	10.098690	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	5884	535.321532	N
hsa-mir-146b	43551	3962.234540	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	20	1.819584	N
hsa-mir-148a	27796	2528.857461	N
hsa-mir-148b	5864	533.501948	N
hsa-mir-149	193	17.558983	N
