miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	209427	29608.354870	N
hsa-let-7a-2	200912	28404.521832	Y
hsa-let-7a-3	201157	28439.159423	N
hsa-let-7b	57353	8108.448179	N
hsa-let-7c	13681	1934.191403	Y
hsa-let-7d	42812	6052.671760	N
hsa-let-7e	22306	3153.576013	N
hsa-let-7f-1	189731	26823.775243	N
hsa-let-7f-2	207480	29333.092048	N
hsa-let-7g	159384	22533.379328	N
hsa-let-7i	54133	7653.211258	N
hsa-mir-1-1	1241	175.450006	N
hsa-mir-1-2	1260	178.136187	N
hsa-mir-100	36538	5165.666653	Y
hsa-mir-101-1	40877	5779.105474	N
hsa-mir-101-2	44640	6311.110608	N
hsa-mir-103a-1	71570	10118.418151	Y
hsa-mir-103a-2	73552	10398.629200	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.565512	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	471	66.589003	Y
hsa-mir-106b	13011	1839.468193	N
hsa-mir-107	7405	1046.903541	Y
hsa-mir-10a	143252	20252.670629	N
hsa-mir-10b	393089	55574.107481	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.413779	N
hsa-mir-1180	474	67.013137	N
hsa-mir-1181	3	0.424134	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.706890	N
hsa-mir-1185-2	6	0.848268	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.424134	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3291	465.274754	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	27	3.817204	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.272401	N
hsa-mir-1229	13	1.837913	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.141378	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.424134	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	8	1.131023	N
hsa-mir-124-2	3	0.424134	N
hsa-mir-124-3	4	0.565512	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	73	10.320589	N
hsa-mir-1248	23	3.251692	N
hsa-mir-1249	125	17.672241	N
hsa-mir-1250	48	6.786140	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.989645	N
hsa-mir-1254-2	5	0.706890	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.141378	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	203592	28783.414673	N
hsa-mir-125b-1	33346	4714.388314	N
hsa-mir-125b-2	33666	4759.629251	N
hsa-mir-126	208961	29542.472756	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	10	1.413779	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	34	4.806849	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	2	0.282756	N
hsa-mir-1266	9	1.272401	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	25	3.534448	N
hsa-mir-1269b	12	1.696535	N
hsa-mir-127	489	69.133806	N
hsa-mir-1270	1036	146.467531	N
hsa-mir-1271	966	136.571076	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	4	0.565512	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.141378	N
hsa-mir-1275	1	0.141378	N
hsa-mir-1276	3	0.424134	N
hsa-mir-1277	2	0.282756	N
hsa-mir-1278	17	2.403425	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2835	400.806420	N
hsa-mir-128-2	1828	258.438848	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.989645	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	38	5.372361	N
hsa-mir-1288	1	0.141378	N
hsa-mir-1289-1	1	0.141378	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	1.131023	N
hsa-mir-129-2	4	0.565512	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	29	4.099960	N
hsa-mir-1292	47	6.644763	N
hsa-mir-1293	1	0.141378	N
hsa-mir-1294	3	0.424134	N
hsa-mir-1295a	124	17.530863	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	235	33.223813	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.141378	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	653	92.319786	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.424134	N
hsa-mir-1304	16	2.262047	N
hsa-mir-1305	2	0.282756	N
hsa-mir-1306	80	11.310234	N
hsa-mir-1307	994	140.529658	N
hsa-mir-130a	763	107.871357	N
hsa-mir-130b	477	67.437271	N
hsa-mir-132	1272	179.832722	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	240	33.930702	Y
hsa-mir-133a-2	246	34.778970	Y
hsa-mir-133b	3	0.424134	Y
hsa-mir-134	26	3.675826	N
hsa-mir-1343	14	1.979291	N
hsa-mir-135a-1	267	37.747906	N
hsa-mir-135a-2	416	58.813217	N
hsa-mir-135b	179	25.306649	N
hsa-mir-136	95	13.430903	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	9	1.272401	N
hsa-mir-138-2	1	0.141378	N
hsa-mir-139	10519	1487.154402	N
hsa-mir-140	38564	5452.098331	N
hsa-mir-141	18	2.544803	N
hsa-mir-142	943	133.319384	N
hsa-mir-143	343696	48591.027591	N
hsa-mir-144	749	105.892066	N
hsa-mir-145	50632	7158.247140	N
hsa-mir-1468	184	26.013538	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6756	955.149267	N
hsa-mir-146b	6842	967.307768	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.706890	N
hsa-mir-148a	13711	1938.432741	N
hsa-mir-148b	3504	495.388252	N
hsa-mir-149	108	15.268816	N
hsa-mir-150	2238	316.403798	N
hsa-mir-151a	28908	4086.953079	N
hsa-mir-151b	281	39.727197	N
hsa-mir-152	3147	444.916333	N
hsa-mir-153-1	1	0.141378	N
hsa-mir-153-2	6	0.848268	N
hsa-mir-1537	8	1.131023	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	46	6.503385	N
hsa-mir-155	7624	1077.865306	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2127	300.710848	N
hsa-mir-15b	12174	1721.134869	N
hsa-mir-16-1	21913	3098.014488	N
hsa-mir-16-2	23321	3297.074608	N
hsa-mir-17	2692	380.589376	Y
hsa-mir-181a-1	44825	6337.265525	N
hsa-mir-181a-2	45570	6442.592079	N
hsa-mir-181b-1	7545	1066.696450	N
hsa-mir-181b-2	9172	1296.718336	N
hsa-mir-181c	1402	198.211852	N
hsa-mir-181d	424	59.944241	N
hsa-mir-182	2146	303.397029	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1584	223.942634	N
hsa-mir-184	4	0.565512	N
hsa-mir-185	2681	379.034219	N
hsa-mir-186	8786	1242.146456	N
hsa-mir-187	22	3.110314	N
hsa-mir-188	19	2.686181	N
hsa-mir-18a	254	35.909993	Y
hsa-mir-18b	5	0.706890	Y
hsa-mir-1908	3	0.424134	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	680	96.136990	N
hsa-mir-190b	25	3.534448	N
hsa-mir-191	52584	7434.216851	N
hsa-mir-1910	6	0.848268	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.141378	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	35068	4957.841103	Y
hsa-mir-193a	3124	441.664640	N
hsa-mir-193b	259	36.616883	N
hsa-mir-194-1	6001	848.408933	N
hsa-mir-194-2	25067	3543.920466	N
hsa-mir-195	13044	1844.133664	N
hsa-mir-196a-1	3766	532.429269	N
hsa-mir-196a-2	11483	1623.442722	N
hsa-mir-196b	2753	389.213430	N
hsa-mir-197	3214	454.388654	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	15	2.120669	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	6721	950.201039	Y
hsa-mir-199a-2	11807	1669.249170	Y
hsa-mir-199b	16056	2269.963977	Y
hsa-mir-19a	757	107.023090	N
hsa-mir-19b-1	2168	306.507343	N
hsa-mir-19b-2	2306	326.017497	N
