miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	252182	18788.570727	N
hsa-let-7a-2	249689	18602.832225	Y
hsa-let-7a-3	248814	18537.641215	N
hsa-let-7b	69881	5206.414855	N
hsa-let-7c	11448	852.921928	Y
hsa-let-7d	43036	3206.354656	N
hsa-let-7e	16148	1203.090784	N
hsa-let-7f-1	300018	22352.544640	N
hsa-let-7f-2	324699	24191.378157	N
hsa-let-7g	258762	19278.807125	N
hsa-let-7i	90350	6731.437474	N
hsa-mir-1-1	1186	88.361758	N
hsa-mir-1-2	1315	97.972776	N
hsa-mir-100	105432	7855.106982	Y
hsa-mir-101-1	151128	11259.642309	N
hsa-mir-101-2	164099	12226.033847	N
hsa-mir-103a-1	72992	5438.196836	Y
hsa-mir-103a-2	75287	5609.183543	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	458	34.122837	Y
hsa-mir-106b	19684	1466.536970	N
hsa-mir-107	6525	486.138678	Y
hsa-mir-10a	286737	21363.056858	N
hsa-mir-10b	384221	28626.005953	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.521528	N
hsa-mir-1180	833	62.061842	N
hsa-mir-1181	2	0.149008	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	986	73.460956	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.149008	N
hsa-mir-1226	27	2.011608	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	82	6.109329	N
hsa-mir-1229	15	1.117560	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.372520	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.521528	N
hsa-mir-124-2	2	0.149008	N
hsa-mir-124-3	11	0.819544	N
hsa-mir-1243	8	0.596032	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	152	11.324610	N
hsa-mir-1248	8	0.596032	N
hsa-mir-1249	382	28.460533	N
hsa-mir-1250	20	1.490080	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.149008	N
hsa-mir-1254-2	7	0.521528	N
hsa-mir-1255a	15	1.117560	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	264286	19690.367287	N
hsa-mir-125b-1	60071	4475.530498	N
hsa-mir-125b-2	60027	4472.252322	N
hsa-mir-126	187169	13944.841402	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.298016	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	56	4.172225	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.372520	N
hsa-mir-1267	1	0.074504	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.149008	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	648	48.278600	N
hsa-mir-1270	1180	87.914734	N
hsa-mir-1271	7686	572.637835	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.074504	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.149008	N
hsa-mir-1276	5	0.372520	N
hsa-mir-1277	14	1.043056	N
hsa-mir-1278	35	2.607640	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5028	374.606172	N
hsa-mir-128-2	3075	229.099837	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	14	1.043056	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	74	5.513297	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	9	0.670536	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	0.670536	N
hsa-mir-129-2	9	0.670536	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	168	12.516674	N
hsa-mir-1292	48	3.576193	N
hsa-mir-1293	4	0.298016	N
hsa-mir-1294	5	0.372520	N
hsa-mir-1295a	218	16.241875	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	429	31.962221	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	862	64.222458	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	10	0.745040	N
hsa-mir-1304	45	3.352681	N
hsa-mir-1305	3	0.223512	N
hsa-mir-1306	113	8.418953	N
hsa-mir-1307	1114	82.997469	N
hsa-mir-130a	1304	97.153232	N
hsa-mir-130b	1122	83.593501	N
hsa-mir-132	1538	114.587170	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	179	13.336218	N
hsa-mir-133a-2	204	15.198818	Y
hsa-mir-133b	1	0.074504	Y
hsa-mir-134	11	0.819544	N
hsa-mir-1343	31	2.309624	N
hsa-mir-135a-1	20	1.490080	N
hsa-mir-135a-2	21	1.564584	N
hsa-mir-135b	3423	255.027233	N
hsa-mir-136	74	5.513297	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	9	0.670536	N
hsa-mir-138-2	3	0.223512	N
hsa-mir-139	7497	558.556577	N
hsa-mir-140	57978	4319.593601	N
hsa-mir-141	9	0.670536	N
hsa-mir-142	5005	372.892580	N
hsa-mir-143	430821	32097.892907	N
hsa-mir-144	5665	422.065227	N
hsa-mir-145	38805	2891.128181	N
hsa-mir-1468	247	18.402491	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	7393	550.808160	N
hsa-mir-146b	34019	2534.551981	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	35	2.607640	N
hsa-mir-148a	36814	2742.790694	N
hsa-mir-148b	8088	602.588448	N
hsa-mir-149	115	8.567961	N
hsa-mir-150	1830	136.342342	N
hsa-mir-151a	46102	3434.783956	N
hsa-mir-151b	489	36.432462	N
hsa-mir-152	2569	191.400807	N
hsa-mir-153-1	21	1.564584	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	1	0.074504	N
hsa-mir-1538	12	0.894048	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	30	2.235120	N
hsa-mir-155	11192	833.848901	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3236	241.094982	N
hsa-mir-15b	20150	1501.255840	N
hsa-mir-16-1	47815	3562.409329	N
hsa-mir-16-2	51375	3827.643611	N
hsa-mir-17	4429	329.978269	Y
hsa-mir-181a-1	34829	2594.900230	N
hsa-mir-181a-2	35355	2634.089340	N
hsa-mir-181b-1	6037	449.780720	N
hsa-mir-181b-2	7053	525.476796	N
hsa-mir-181c	228	16.986915	N
hsa-mir-181d	148	11.026594	N
hsa-mir-182	1412	105.199665	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1214	90.447870	N
hsa-mir-184	1	0.074504	N
hsa-mir-185	5178	385.781774	N
hsa-mir-186	17709	1319.391547	N
hsa-mir-187	5	0.372520	N
hsa-mir-188	28	2.086112	N
hsa-mir-18a	255	18.998523	N
hsa-mir-18b	5	0.372520	N
hsa-mir-1908	20	1.490080	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1451	108.105321	N
hsa-mir-190b	39	2.905656	N
hsa-mir-191	52226	3891.046525	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	2	0.149008	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	142963	10651.317052	Y
hsa-mir-193a	3620	269.704523	N
hsa-mir-193b	1064	79.272269	N
hsa-mir-194-1	28448	2119.490130	N
hsa-mir-194-2	94931	7072.740353	N
hsa-mir-195	41693	3106.295768	N
hsa-mir-196a-1	3422	254.952729	N
hsa-mir-196a-2	8579	639.169918	N
hsa-mir-196b	5814	433.166325	N
hsa-mir-197	4208	313.512882	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	21	1.564584	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	7728	575.767004	Y
hsa-mir-199a-2	13196	983.154941	Y
hsa-mir-199b	17410	1297.114847	Y
hsa-mir-19a	1987	148.039472	N
hsa-mir-19b-1	4681	348.753280	N
hsa-mir-19b-2	4733	352.627488	N
hsa-mir-200a	21470	1599.601135	N
hsa-mir-200b	75038	5590.632044	N
hsa-mir-200c	371	27.640988	N
hsa-mir-202	13	0.968552	N
hsa-mir-203a	489	36.432462	N
hsa-mir-203b	1	0.074504	N
hsa-mir-204	49292	3672.451754	N
hsa-mir-205	20	1.490080	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.074504	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	22107	1647.060191	N
hsa-mir-20b	197	14.677290	N
hsa-mir-21	3741347	278745.361380	N
hsa-mir-210	9168	683.052781	N
hsa-mir-211	274	20.414099	N
hsa-mir-2110	356	26.523428	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	68	5.066273	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	92	6.854369	N
hsa-mir-214	1129	84.115029	N
hsa-mir-215	366	27.268468	Y
hsa-mir-216a	5	0.372520	N
hsa-mir-216b	2	0.149008	N
hsa-mir-217	10	0.745040	N
hsa-mir-218-1	1031	76.813636	N
hsa-mir-218-2	953	71.002323	N
hsa-mir-219a-1	6	0.447024	N
hsa-mir-219a-2	2	0.149008	N
hsa-mir-219b	9	0.670536	N
