miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	194548	19883.022647	N
hsa-let-7a-2	185971	19006.443678	Y
hsa-let-7a-3	187424	19154.941899	N
hsa-let-7b	63049	6443.678140	N
hsa-let-7c	6921	707.333921	Y
hsa-let-7d	28125	2874.406378	N
hsa-let-7e	25903	2647.315499	N
hsa-let-7f-1	200740	20515.851955	N
hsa-let-7f-2	214908	21963.837362	N
hsa-let-7g	278005	28412.421156	N
hsa-let-7i	93586	9564.593609	N
hsa-mir-1-1	408	41.698055	N
hsa-mir-1-2	461	47.114714	N
hsa-mir-100	31272	3196.033289	N
hsa-mir-101-1	15774	1612.120398	N
hsa-mir-101-2	17097	1747.332474	N
hsa-mir-103a-1	80463	8223.408368	Y
hsa-mir-103a-2	83684	8552.598162	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	456	46.603709	Y
hsa-mir-106b	12903	1318.700995	N
hsa-mir-107	6925	707.742726	Y
hsa-mir-10a	88041	8997.888423	N
hsa-mir-10b	269172	27509.678701	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.613207	N
hsa-mir-1180	1182	120.801719	N
hsa-mir-1181	3	0.306603	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.613207	N
hsa-mir-1185-2	10	1.022011	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.715408	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	530	54.166591	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	39	3.985844	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	20	2.044022	N
hsa-mir-1229	12	1.226413	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.102201	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9	0.919810	N
hsa-mir-124-2	10	1.022011	N
hsa-mir-124-3	5	0.511006	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.102201	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.511006	N
hsa-mir-1245b	2	0.204402	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	25	2.555028	N
hsa-mir-1248	13	1.328615	N
hsa-mir-1249	55	5.621061	N
hsa-mir-1250	28	2.861631	N
hsa-mir-1251	3	0.306603	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	1.635218	N
hsa-mir-1254-2	15	1.533017	N
hsa-mir-1255a	6	0.613207	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.102201	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	145407	14860.757623	N
hsa-mir-125b-1	16746	1711.459883	N
hsa-mir-125b-2	16998	1737.214564	N
hsa-mir-126	85923	8781.426460	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	22	2.248425	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.306603	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.408804	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	991	101.281306	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	477	48.749932	N
hsa-mir-1270	236	24.119463	N
hsa-mir-1271	592	60.503060	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.204402	N
hsa-mir-1276	4	0.408804	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	13	1.328615	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5719	584.488180	N
hsa-mir-128-2	3957	404.409815	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	12	1.226413	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	48	4.905654	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.408804	N
hsa-mir-129-2	3	0.306603	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	18	1.839620	N
hsa-mir-1292	48	4.905654	N
hsa-mir-1293	25	2.555028	N
hsa-mir-1294	8	0.817609	N
hsa-mir-1295a	89	9.095899	N
hsa-mir-1295b	1	0.102201	N
hsa-mir-1296	178	18.191799	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	906	92.594211	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.102201	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.408804	N
hsa-mir-1304	13	1.328615	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	70	7.154078	N
hsa-mir-1307	1013	103.529730	N
hsa-mir-130a	242	24.732670	N
hsa-mir-130b	2358	240.990231	N
hsa-mir-132	3958	404.512016	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
