miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	316601	44054.246943	N
hsa-let-7a-2	307244	42752.243510	Y
hsa-let-7a-3	306893	42703.402728	N
hsa-let-7b	136435	18984.593168	N
hsa-let-7c	28628	3983.515470	Y
hsa-let-7d	56016	7794.488005	N
hsa-let-7e	31712	4412.646451	N
hsa-let-7f-1	193810	26968.182665	N
hsa-let-7f-2	210166	29244.079655	N
hsa-let-7g	164480	22886.985629	N
hsa-let-7i	44476	6188.725516	N
hsa-mir-1-1	260	36.178358	N
hsa-mir-1-2	311	43.274882	N
hsa-mir-100	44154	6143.920011	Y
hsa-mir-101-1	30243	4208.238730	N
hsa-mir-101-2	33243	4625.681318	N
hsa-mir-103a-1	65898	9169.543890	Y
hsa-mir-103a-2	68603	9545.937957	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	245	34.091145	Y
hsa-mir-106b	10851	1509.889841	N
hsa-mir-107	8834	1229.229274	Y
hsa-mir-10a	51315	7140.355469	N
hsa-mir-10b	277377	38596.324251	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.974033	N
hsa-mir-1180	406	56.493897	N
hsa-mir-1181	10	1.391475	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.974033	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
