miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	211356	19974.430431	N
hsa-let-7a-2	204994	19373.182648	Y
hsa-let-7a-3	206004	19468.633805	N
hsa-let-7b	58849	5561.589245	N
hsa-let-7c	29695	2806.358521	Y
hsa-let-7d	43645	4124.718561	N
hsa-let-7e	21044	1988.786285	N
hsa-let-7f-1	239786	22661.238741	N
hsa-let-7f-2	259620	24535.672649	N
hsa-let-7g	210041	19850.154914	N
hsa-let-7i	68274	6452.309200	N
hsa-mir-1-1	364	34.400219	N
hsa-mir-1-2	434	41.015646	N
hsa-mir-100	38383	3627.427484	Y
hsa-mir-101-1	83872	7926.415285	N
hsa-mir-101-2	89736	8480.599033	N
hsa-mir-103a-1	87941	8310.960590	Y
hsa-mir-103a-2	90852	8586.067836	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.094506	N
hsa-mir-106a	820	77.494999	Y
hsa-mir-106b	19171	1811.776367	N
hsa-mir-107	19946	1885.018591	Y
hsa-mir-10a	122031	11532.673404	N
hsa-mir-10b	420295	39720.439627	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.661543	N
hsa-mir-1180	1160	109.627071	N
hsa-mir-1181	5	0.472530	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.756049	N
hsa-mir-1185-2	8	0.756049	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	0.756049	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2404	227.192655	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	5	0.472530	N
hsa-mir-1226	42	3.969256	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	37	3.496726	N
hsa-mir-1229	19	1.795616	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.189012	N
hsa-mir-1236	1	0.094506	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	23	2.173640	N
hsa-mir-124-2	31	2.929689	N
hsa-mir-124-3	23	2.173640	N
hsa-mir-1243	5	0.472530	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.094506	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	36	3.402219	N
hsa-mir-1248	13	1.228579	N
hsa-mir-1249	202	19.090231	N
hsa-mir-1250	27	2.551665	N
hsa-mir-1251	37	3.496726	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.283518	N
hsa-mir-1254-2	1	0.094506	N
hsa-mir-1255a	16	1.512098	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.189012	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	276450	26126.210245	N
hsa-mir-125b-1	58550	5533.331922	N
hsa-mir-125b-2	59170	5591.925702	N
hsa-mir-126	253808	23986.403219	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	33	3.118701	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	24	2.268146	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.189012	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	912	86.189560	N
hsa-mir-1270	1092	103.200657	N
hsa-mir-1271	2377	224.640990	N
hsa-mir-1272	3	0.283518	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.189012	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.283518	N
hsa-mir-1277	23	2.173640	N
hsa-mir-1278	24	2.268146	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5879	555.601339	N
hsa-mir-128-2	3134	296.182105	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	14	1.323085	N
hsa-mir-1285-1	1	0.094506	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.283518	N
hsa-mir-1287	98	9.261597	N
hsa-mir-1288	1	0.094506	N
hsa-mir-1289-1	4	0.378024	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.094506	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	48	4.536293	N
hsa-mir-1292	34	3.213207	N
hsa-mir-1293	2	0.189012	N
hsa-mir-1294	3	0.283518	N
hsa-mir-1295a	80	7.560488	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	357	33.738676	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	834	78.818084	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	2	0.189012	N
