miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	238725	22019.335139	N
hsa-let-7a-2	229529	21171.121479	Y
hsa-let-7a-3	228321	21059.698893	N
hsa-let-7b	64023	5905.304822	N
hsa-let-7c	21608	1993.062284	Y
hsa-let-7d	39858	3676.391915	N
hsa-let-7e	20169	1860.332895	N
hsa-let-7f-1	240445	22177.983192	N
hsa-let-7f-2	261231	24095.226465	N
hsa-let-7g	236789	21840.763842	N
hsa-let-7i	105632	9743.204145	N
hsa-mir-1-1	1872	172.668113	N
hsa-mir-1-2	2014	185.765802	N
hsa-mir-100	71975	6638.775355	Y
hsa-mir-101-1	71269	6573.655864	N
hsa-mir-101-2	75121	6928.953712	N
hsa-mir-103a-1	61846	5704.504350	Y
hsa-mir-103a-2	63898	5893.775167	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.276712	N
hsa-mir-105-2	1	0.092237	N
hsa-mir-106a	566	52.206278	Y
hsa-mir-106b	20519	1892.615929	N
hsa-mir-107	4924	454.176170	Y
hsa-mir-10a	107952	9957.194542	N
hsa-mir-10b	437558	40359.142297	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	22	2.029219	N
hsa-mir-1180	391	36.064761	N
hsa-mir-1181	1	0.092237	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.092237	N
hsa-mir-1185-2	1	0.092237	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.092237	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1769	163.167678	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	1.291321	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	38	3.505015	N
hsa-mir-1229	5	0.461186	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
