miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	88841	9145.486227	N
hsa-let-7a-2	88477	9108.015274	N
hsa-let-7a-3	89045	9166.486432	N
hsa-let-7b	45849	4719.796018	N
hsa-let-7c	38755	3989.524192	N
hsa-let-7d	1397	143.810226	N
hsa-let-7e	41925	4315.850903	N
hsa-let-7f-1	34065	3506.725367	N
hsa-let-7f-2	35316	3635.506034	N
hsa-let-7g	6058	623.623727	N
hsa-let-7i	2342	241.090586	N
hsa-mir-1-1	88	9.058912	N
hsa-mir-1-2	108	11.117755	N
hsa-mir-100	27005	2779.953575	N
hsa-mir-101-1	105377	10847.738118	N
hsa-mir-101-2	106991	11013.886797	N
hsa-mir-103a-1	392222	40376.187785	Y
hsa-mir-103a-2	393361	40493.438929	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4953	509.872618	N
hsa-mir-105-2	4955	510.078503	N
hsa-mir-106a	254	26.147314	Y
hsa-mir-106b	21282	2190.815478	N
hsa-mir-107	3246	334.150317	Y
hsa-mir-10a	32766	3373.003475	N
hsa-mir-10b	3055994	314590.684906	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	387	39.838624	N
hsa-mir-1180	3092	318.297221	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	1	0.102942	N
hsa-mir-1185-1	28	2.882381	N
hsa-mir-1185-2	11	1.132364	N
hsa-mir-1193	2	0.205884	N
hsa-mir-1197	38	3.911803	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
