miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	308495	31350.413776	N
hsa-let-7a-2	294737	29952.274446	Y
hsa-let-7a-3	296419	30123.205566	N
hsa-let-7b	95970	9752.829738	N
hsa-let-7c	40273	4092.692634	Y
hsa-let-7d	57429	5836.149412	N
hsa-let-7e	27434	2787.945515	N
hsa-let-7f-1	264133	26842.181695	N
hsa-let-7f-2	282813	28740.513043	N
hsa-let-7g	303179	30810.182007	N
hsa-let-7i	79068	8035.185389	N
hsa-mir-1-1	1949	198.064657	N
hsa-mir-1-2	2026	205.889685	N
hsa-mir-100	60460	6144.170949	Y
hsa-mir-101-1	17547	1783.191658	N
hsa-mir-101-2	19246	1955.850382	N
hsa-mir-103a-1	102155	10381.372532	Y
hsa-mir-103a-2	106779	10851.280678	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	476	48.372897	Y
hsa-mir-106b	17437	1772.013047	N
hsa-mir-107	10723	1089.711298	Y
hsa-mir-10a	75739	7696.879979	N
hsa-mir-10b	302508	30741.992482	N
hsa-mir-1178	1	0.101624	N
hsa-mir-1179	13	1.321109	N
hsa-mir-1180	1166	118.493274	N
hsa-mir-1181	1	0.101624	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.304871	N
hsa-mir-1185-2	1	0.101624	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.304871	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3923	398.669908	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.203247	N
hsa-mir-1226	37	3.760078	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	35	3.556831	N
hsa-mir-1229	16	1.625980	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.508119	N
hsa-mir-1236	2	0.203247	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.304871	N
hsa-mir-124-2	4	0.406495	N
hsa-mir-124-3	7	0.711366	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.609742	N
hsa-mir-1245b	2	0.203247	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	53	5.386058	N
hsa-mir-1248	16	1.625980	N
hsa-mir-1249	228	23.170211	N
hsa-mir-1250	16	1.625980	N
hsa-mir-1251	6	0.609742	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	1.016237	N
hsa-mir-1254-2	7	0.711366	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.101624	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.101624	N
hsa-mir-125a	177199	18007.624016	N
hsa-mir-125b-1	65235	6629.424278	N
hsa-mir-125b-2	65790	6685.825450	N
hsa-mir-126	111544	11335.517769	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	1.829227	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	0.812990	N
hsa-mir-1263	4	0.406495	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.609742	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3467	352.329485	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	754	76.624295	N
hsa-mir-1270	672	68.291149	N
hsa-mir-1271	2326	236.376805	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.101624	N
