miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	151586	14781.791442	N
hsa-let-7a-2	147904	14422.744062	Y
hsa-let-7a-3	148530	14483.787967	N
hsa-let-7b	48211	4701.258343	N
hsa-let-7c	18787	1831.999761	Y
hsa-let-7d	28442	2773.499612	N
hsa-let-7e	15131	1475.487752	N
hsa-let-7f-1	169449	16523.688058	N
hsa-let-7f-2	181397	17688.788029	N
hsa-let-7g	205804	20068.817739	N
hsa-let-7i	68112	6641.888952	N
hsa-mir-1-1	5361	522.773765	N
hsa-mir-1-2	5704	556.221144	N
hsa-mir-100	54783	5342.121835	Y
hsa-mir-101-1	67429	6575.286736	N
hsa-mir-101-2	71023	6925.752863	N
hsa-mir-103a-1	75857	7397.136631	Y
hsa-mir-103a-2	78725	7676.807431	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	653	63.676789	Y
hsa-mir-106b	21803	2126.102666	N
hsa-mir-107	9787	954.371729	Y
hsa-mir-10a	140317	13682.903630	N
hsa-mir-10b	422353	41185.425836	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	1.365199	N
hsa-mir-1180	415	40.468404	N
hsa-mir-1181	3	0.292543	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.585085	N
hsa-mir-1185-2	6	0.585085	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2418	235.789398	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	24	2.340341	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.780114	N
hsa-mir-1229	6	0.585085	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.097514	N
hsa-mir-1236	1	0.097514	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	10	0.975142	N
hsa-mir-124-2	30	2.925427	N
hsa-mir-124-3	10	0.975142	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.097514	N
hsa-mir-1245b	7	0.682600	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	34	3.315484	N
hsa-mir-1248	23	2.242827	N
hsa-mir-1249	80	7.801138	N
hsa-mir-1250	17	1.657742	N
hsa-mir-1251	7	0.682600	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	0.877628	N
hsa-mir-1254-2	2	0.195028	N
hsa-mir-1255a	19	1.852770	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.195028	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.195028	N
hsa-mir-125a	205419	20031.274763	N
hsa-mir-125b-1	51736	5044.995989	N
hsa-mir-125b-2	52040	5074.640314	N
hsa-mir-126	180523	17603.560595	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.390057	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	1.560228	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.195028	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.195028	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	785	76.548667	N
hsa-mir-1270	383	37.347949	N
hsa-mir-1271	1507	146.953938	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	6	0.585085	N
hsa-mir-1275	2	0.195028	N
hsa-mir-1276	3	0.292543	N
hsa-mir-1277	7	0.682600	N
hsa-mir-1278	11	1.072656	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2556	249.246361	N
hsa-mir-128-2	1658	161.678586	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.487571	N
hsa-mir-1285-1	1	0.097514	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	39	3.803055	N
hsa-mir-1288	1	0.097514	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	18	1.755256	N
hsa-mir-129-2	19	1.852770	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	73	7.118538	N
hsa-mir-1292	50	4.875711	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	7	0.682600	N
hsa-mir-1295a	31	3.022941	N
hsa-mir-1295b	2	0.195028	N
hsa-mir-1296	242	23.598443	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.292543	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	609	59.386164	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.390057	N
hsa-mir-1304	15	1.462713	N
hsa-mir-1305	3	0.292543	N
hsa-mir-1306	83	8.093681	N
hsa-mir-1307	920	89.713088	N
hsa-mir-130a	1153	112.433902	N
hsa-mir-130b	623	60.751363	N
hsa-mir-132	1763	171.917580	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	6	0.585085	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	752	73.330698	Y
hsa-mir-133a-2	724	70.600300	Y
hsa-mir-133b	16	1.560228	Y
hsa-mir-134	46	4.485654	N
hsa-mir-1343	17	1.657742	N
hsa-mir-135a-1	2510	244.760707	N
hsa-mir-135a-2	2849	277.818029	N
hsa-mir-135b	757	73.818269	N
hsa-mir-136	185	18.040132	N
hsa-mir-137	4	0.390057	N
hsa-mir-138-1	17	1.657742	N
hsa-mir-138-2	1	0.097514	N
hsa-mir-139	4933	481.037676	N
hsa-mir-140	58288	5683.909197	N
hsa-mir-141	86	8.386223	N
hsa-mir-142	10337	1008.004553	N
hsa-mir-143	1007227	98218.961173	N
hsa-mir-144	6134	598.152261	N
hsa-mir-145	88636	8643.270924	N
hsa-mir-1468	169	16.479904	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6970	679.674154	N
hsa-mir-146b	21483	2094.898114	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	0.585085	N
hsa-mir-148a	21430	2089.729860	N
hsa-mir-148b	4808	468.848398	N
hsa-mir-149	258	25.158670	N
hsa-mir-150	15662	1527.267805	N
hsa-mir-151a	24766	2415.037318	N
hsa-mir-151b	237	23.110872	N
hsa-mir-152	4999	487.473615	N
hsa-mir-153-1	3	0.292543	N
hsa-mir-153-2	5	0.487571	N
hsa-mir-1537	4	0.390057	N
hsa-mir-1538	1	0.097514	N
hsa-mir-1539	1	0.097514	N
hsa-mir-154	45	4.388140	N
hsa-mir-155	10783	1051.495897	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	4249	414.337946	N
hsa-mir-15b	17253	1682.412939	N
hsa-mir-16-1	43815	4272.585806	N
hsa-mir-16-2	45905	4476.390538	N
hsa-mir-17	3630	353.976640	Y
hsa-mir-181a-1	48281	4708.084339	N
hsa-mir-181a-2	48358	4715.592934	N
hsa-mir-181b-1	7904	770.752441	N
hsa-mir-181b-2	9522	928.530459	N
hsa-mir-181c	1391	135.642288	N
hsa-mir-181d	420	40.955975	N
hsa-mir-182	2114	206.145073	N
hsa-mir-1825	1	0.097514	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1522	148.416652	N
hsa-mir-184	4	0.390057	N
hsa-mir-185	4346	423.796826	N
hsa-mir-186	17033	1660.959809	N
hsa-mir-187	28	2.730398	N
hsa-mir-188	42	4.095597	N
hsa-mir-18a	504	49.147170	Y
hsa-mir-18b	16	1.560228	Y
hsa-mir-1908	2	0.195028	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	976	95.173884	N
hsa-mir-190b	31	3.022941	N
hsa-mir-191	58085	5664.113809	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	4	0.390057	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	29926	2918.210723	Y
hsa-mir-193a	2165	211.118299	N
hsa-mir-193b	530	51.682540	N
hsa-mir-194-1	6181	602.735430	N
hsa-mir-194-2	20688	2017.374305	N
hsa-mir-195	18577	1811.521774	N
hsa-mir-196a-1	2206	215.116382	N
hsa-mir-196a-2	6488	632.672297	N
hsa-mir-196b	4960	483.670560	N
hsa-mir-197	3312	322.967116	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	25	2.437856	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	27063	2639.027495	Y
hsa-mir-199a-2	44839	4372.440373	Y
hsa-mir-199b	57145	5572.450437	Y
hsa-mir-19a	1273	124.135610	N
hsa-mir-19b-1	3668	357.682180	N
hsa-mir-19b-2	3836	374.064570	N
hsa-mir-200a	9513	927.652831	N
hsa-mir-200b	19543	1905.720516	N
hsa-mir-200c	1407	137.202516	N
hsa-mir-202	9	0.877628	N
hsa-mir-203a	885	86.300090	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	24215	2361.306979	N
hsa-mir-205	104	10.141479	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	13274	1294.403834	N
hsa-mir-20b	381	37.152920	N
hsa-mir-21	2050993	200000.994645	N
hsa-mir-210	2144	209.070500	N
hsa-mir-211	137	13.359449	N
hsa-mir-2110	148	14.432105	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	9	0.877628	N
hsa-mir-2115	1	0.097514	N
hsa-mir-2116	28	2.730398	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	208	20.282959	N
hsa-mir-214	3936	383.815993	N
hsa-mir-215	38	3.705541	Y
hsa-mir-216a	41	3.998083	N
hsa-mir-216b	23	2.242827	N
hsa-mir-217	116	11.311650	N
hsa-mir-218-1	1358	132.424319	N
hsa-mir-218-2	1148	111.946331	N
hsa-mir-219a-1	3	0.292543	N
hsa-mir-219a-2	24	2.340341	N
hsa-mir-219b	3	0.292543	N
hsa-mir-22	18214	1776.124110	N
hsa-mir-221	19486	1900.162205	N
hsa-mir-222	8697	848.081222	N
hsa-mir-223	13268	1293.818749	N
hsa-mir-224	8196	799.226595	N
hsa-mir-2276	1	0.097514	N
hsa-mir-2277	37	3.608026	N
hsa-mir-2278	1	0.097514	N
hsa-mir-2355	392	38.225577	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	295593	28824.522565	Y
hsa-mir-23b	98664	9621.143581	Y
hsa-mir-23c	14	1.365199	N
hsa-mir-24-1	46100	4495.405812	N
hsa-mir-24-2	47193	4601.988861	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	19473	1898.894520	N
hsa-mir-2681	8	0.780114	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	404902	39483.705080	N
hsa-mir-26a-2	415770	40543.489687	N
hsa-mir-26b	183089	17853.782099	N
hsa-mir-27a	51784	5049.676672	Y
hsa-mir-27b	191960	18718.830797	Y
hsa-mir-28	14399	1404.107338	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	22	2.145313	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	16	1.560228	N
hsa-mir-29a	105698	10307.058645	N
hsa-mir-29b-1	1630	158.948188	Y
hsa-mir-29b-2	1927	187.909913	Y
hsa-mir-29c	11348	1106.591435	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	168	16.382390	N
hsa-mir-301b	3	0.292543	N
hsa-mir-302a	5	0.487571	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	22	2.145313	N
hsa-mir-3065	49	4.778197	N
hsa-mir-3074	17	1.657742	N
hsa-mir-30a	557446	54358.915150	Y
hsa-mir-30b	22189	2163.743158	Y
hsa-mir-30c-1	44587	4347.866789	Y
hsa-mir-30c-2	46677	4551.671521	Y
hsa-mir-30d	204700	19961.162034	N
hsa-mir-30e	46062	4491.700272	Y
hsa-mir-31	706	68.845043	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	5	0.487571	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	6	0.585085	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	1	0.097514	N
hsa-mir-3126	2	0.195028	N
hsa-mir-3127	3	0.292543	N
hsa-mir-3128	2	0.195028	N
hsa-mir-3129	13	1.267685	N
hsa-mir-3130-1	2	0.195028	N
hsa-mir-3130-2	2	0.195028	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	1	0.097514	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	1	0.097514	N
hsa-mir-3140	18	1.755256	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	6	0.585085	N
hsa-mir-3144	10	0.975142	N
hsa-mir-3145	9	0.877628	N
hsa-mir-3146	1	0.097514	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	2	0.195028	N
hsa-mir-3149	9	0.877628	N
hsa-mir-3150a	3	0.292543	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.097514	N
hsa-mir-3155a	4	0.390057	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	13	1.267685	N
hsa-mir-3158-1	8	0.780114	N
hsa-mir-3158-2	7	0.682600	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	1	0.097514	N
hsa-mir-3161	2	0.195028	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	1	0.097514	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	8	0.780114	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	42	4.095597	N
hsa-mir-3174	0	0.000000	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	2	0.195028	N
hsa-mir-3177	2	0.195028	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	1	0.097514	N
hsa-mir-3188	2	0.195028	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	0	0.000000	N
hsa-mir-3191	5	0.487571	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	1	0.097514	N
hsa-mir-3194	3	0.292543	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	8	0.780114	N
hsa-mir-3199-2	4	0.390057	N
hsa-mir-32	655	63.871818	N
hsa-mir-3200	27	2.632884	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	1	0.097514	N
hsa-mir-320a	23010	2243.802337	Y
hsa-mir-320b-1	146	14.237077	Y
hsa-mir-320b-2	223	21.745672	Y
hsa-mir-320c-1	4	0.390057	N
hsa-mir-320c-2	13	1.267685	N
hsa-mir-320d-1	10	0.975142	N
hsa-mir-320d-2	7	0.682600	N
hsa-mir-320e	9	0.877628	N
hsa-mir-323a	56	5.460797	Y
hsa-mir-323b	6	0.585085	Y
hsa-mir-324	481	46.904343	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	22	2.145313	N
hsa-mir-328	885	86.300090	N
hsa-mir-329-1	37	3.608026	N
hsa-mir-329-2	58	5.655825	N
hsa-mir-330	673	65.627074	N
hsa-mir-331	685	66.797245	N
hsa-mir-335	3340	325.697514	N
hsa-mir-337	127	12.384307	N
hsa-mir-338	365	35.592692	N
hsa-mir-339	3353	326.965199	N
hsa-mir-33a	48	4.680683	N
hsa-mir-33b	10	0.975142	N
hsa-mir-340	9221	899.178677	N
hsa-mir-342	16057	1565.785925	N
hsa-mir-345	403	39.298233	N
hsa-mir-346	8	0.780114	N
hsa-mir-34a	5708	556.611201	N
hsa-mir-34b	12	1.170171	N
hsa-mir-34c	78	7.606110	N
hsa-mir-3529	2	0.195028	N
hsa-mir-3591	116	11.311650	N
hsa-mir-3605	120	11.701707	N
