miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	486148	21065.263240	N
hsa-let-7a-2	481654	20870.533872	Y
hsa-let-7a-3	480823	20834.525838	N
hsa-let-7b	157881	6841.136497	N
hsa-let-7c	36753	1592.543052	Y
hsa-let-7d	82336	3567.698549	N
hsa-let-7e	40306	1746.497980	N
hsa-let-7f-1	544562	23596.398382	N
hsa-let-7f-2	571511	24764.124628	N
hsa-let-7g	561336	24323.232033	N
hsa-let-7i	163107	7067.584133	N
hsa-mir-1-1	2871	124.403208	N
hsa-mir-1-2	3269	141.648933	N
hsa-mir-100	196835	8529.051009	Y
hsa-mir-101-1	45486	1970.952393	N
hsa-mir-101-2	49022	2124.170694	N
hsa-mir-103a-1	145743	6315.185212	Y
hsa-mir-103a-2	149899	6495.268713	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	468	20.278893	Y
hsa-mir-106b	19702	853.706724	N
hsa-mir-107	11561	500.949317	Y
hsa-mir-10a	511217	22151.527267	N
hsa-mir-10b	1961084	84975.667278	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	15	0.649965	N
hsa-mir-1180	913	39.561173	N
hsa-mir-1181	1	0.043331	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.259986	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.043331	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1975	85.578661	N
hsa-mir-1224	7	0.303317	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	57	2.469865	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	57	2.469865	N
hsa-mir-1229	19	0.823288	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.259986	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.216655	N
hsa-mir-124-2	8	0.346648	N
hsa-mir-124-3	7	0.303317	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	7	0.303317	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	29	1.256598	N
hsa-mir-1248	18	0.779957	N
hsa-mir-1249	555	24.048687	N
hsa-mir-1250	28	1.213267	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	0.476641	N
hsa-mir-1254-2	11	0.476641	N
hsa-mir-1255a	26	1.126605	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	7	0.303317	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	682800	29586.384682	N
hsa-mir-125b-1	108805	4714.625930	N
hsa-mir-125b-2	109989	4765.929796	N
hsa-mir-126	435466	18869.163140	N
hsa-mir-1260a	3	0.129993	N
hsa-mir-1260b	39	1.689908	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	45	1.949894	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.216655	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2940	127.393045	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1007	43.634284	N
hsa-mir-1270	566	24.525328	N
hsa-mir-1271	8074	349.854232	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	4	0.173324	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.129993	N
hsa-mir-1275	8	0.346648	N
hsa-mir-1276	7	0.303317	N
hsa-mir-1277	1	0.043331	N
hsa-mir-1278	42	1.819901	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	10715	464.291318	N
hsa-mir-128-2	7379	319.739210	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	19	0.823288	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	4	0.173324	N
hsa-mir-1287	96	4.159773	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.043331	N
hsa-mir-1289-2	1	0.043331	N
hsa-mir-129-1	60	2.599858	N
hsa-mir-129-2	139	6.023004	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	82	3.553139	N
hsa-mir-1292	63	2.729851	N
hsa-mir-1293	3	0.129993	N
hsa-mir-1294	18	0.779957	N
hsa-mir-1295a	162	7.019617	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	865	37.481287	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2103	91.125025	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	19	0.823288	N
hsa-mir-1304	43	1.863232	N
hsa-mir-1305	0	0.000000	N
