miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	498158	37181.924807	N
hsa-let-7a-2	486161	36286.482895	Y
hsa-let-7a-3	487136	36359.255743	N
hsa-let-7b	56868	4244.560360	N
hsa-let-7c	154757	11550.879716	Y
hsa-let-7d	14686	1096.145696	N
hsa-let-7e	15624	1166.156908	N
hsa-let-7f-1	113423	8465.758770	N
hsa-let-7f-2	122489	9142.434303	N
hsa-let-7g	152987	11418.769006	N
hsa-let-7i	45418	3389.945882	N
hsa-mir-1-1	37	2.761636	N
hsa-mir-1-2	56	4.179774	N
hsa-mir-100	180363	13462.081315	Y
hsa-mir-101-1	35308	2635.347422	N
hsa-mir-101-2	39207	2926.364177	N
hsa-mir-103a-1	83933	6264.659997	Y
hsa-mir-103a-2	87404	6523.731338	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.074639	N
hsa-mir-105-2	1	0.074639	N
hsa-mir-106a	1251	93.373163	Y
hsa-mir-106b	32590	2432.479112	N
hsa-mir-107	11611	866.631328	Y
hsa-mir-10a	10541	786.767791	N
hsa-mir-10b	962332	71827.323988	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.223916	N
hsa-mir-1180	1354	101.060961	N
hsa-mir-1181	5	0.373194	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.671749	N
hsa-mir-1185-2	7	0.522472	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.298555	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.298555	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	35	2.612359	N
hsa-mir-1227	1	0.074639	N
hsa-mir-1228	25	1.865970	N
hsa-mir-1229	11	0.821027	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.373194	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.074639	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	195	14.554570	N
hsa-mir-124-2	188	14.032098	N
hsa-mir-124-3	219	16.345901	N
hsa-mir-1243	6	0.447833	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	1.268860	N
hsa-mir-1245b	9	0.671749	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	266	19.853926	N
hsa-mir-1248	89	6.642855	N
hsa-mir-1249	45	3.358747	N
hsa-mir-1250	78	5.821828	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	34	2.537720	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	39	2.910914	N
hsa-mir-1254-2	46	3.433386	N
hsa-mir-1255a	9	0.671749	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.149278	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.298555	N
hsa-mir-125a	237338	17714.628029	N
hsa-mir-125b-1	413259	30845.163711	N
hsa-mir-125b-2	411897	30743.505639	N
hsa-mir-126	14226	1061.811839	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.149278	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	60	4.478329	N
hsa-mir-1263	3	0.223916	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	15	1.119582	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3173	236.828973	N
hsa-mir-1269b	3	0.223916	N
hsa-mir-127	2868	214.064133	N
hsa-mir-1270	102	7.613160	N
hsa-mir-1271	1403	104.718263	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	13	0.970305	N
hsa-mir-1277	3	0.223916	N
hsa-mir-1278	8	0.597111	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	11458	855.211588	N
hsa-mir-128-2	6752	503.961306	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.074639	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	19	1.418138	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.074639	N
hsa-mir-1287	161	12.016850	N
hsa-mir-1288	5	0.373194	N
hsa-mir-1289-1	4	0.298555	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	20	1.492776	N
hsa-mir-129-2	18	1.343499	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	61	4.552968	N
hsa-mir-1292	83	6.195022	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	8	0.597111	N
hsa-mir-1295a	17	1.268860	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	1074	80.162092	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1376	102.703015	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.223916	N
hsa-mir-1304	152	11.345100	N
hsa-mir-1305	10	0.746388	N
hsa-mir-1306	169	12.613960	N
hsa-mir-1307	1503	112.182145	N
hsa-mir-130a	2891	215.780826	N
hsa-mir-130b	8726	651.298335	N
hsa-mir-132	2317	172.938144	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.074639	N
hsa-mir-1323	1	0.074639	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	26	1.940609	Y
hsa-mir-133a-2	16	1.194221	Y
hsa-mir-133b	3	0.223916	Y
hsa-mir-134	127	9.479130	N
hsa-mir-1343	36	2.686997	N
hsa-mir-135a-1	884	65.980716	N
hsa-mir-135a-2	972	72.548932	N
hsa-mir-135b	24808	1851.639822	N
hsa-mir-136	432	32.243970	N
hsa-mir-137	590	44.036903	N
hsa-mir-138-1	2	0.149278	N
hsa-mir-138-2	1	0.074639	N
hsa-mir-139	144	10.747990	N
hsa-mir-140	13924	1039.270916	N
hsa-mir-141	4106	306.466991	N
hsa-mir-142	356	26.571420	N
hsa-mir-143	8626	643.834453	N
hsa-mir-144	144	10.747990	N
hsa-mir-145	1299	96.955826	N
hsa-mir-1468	279	20.824231	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	775	57.845085	N
hsa-mir-146b	184377	13761.681535	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	11	0.821027	N
