miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	110412	17524.103737	N
hsa-let-7a-2	106795	16950.029513	Y
hsa-let-7a-3	107025	16986.534095	N
hsa-let-7b	23744	3768.542542	N
hsa-let-7c	12699	2015.529049	Y
hsa-let-7d	24409	3874.088397	N
hsa-let-7e	7120	1130.054873	N
hsa-let-7f-1	138017	21905.447103	N
hsa-let-7f-2	146320	23223.262497	N
hsa-let-7g	138575	21994.010392	N
hsa-let-7i	57705	9158.682083	N
hsa-mir-1-1	518	82.214666	N
hsa-mir-1-2	557	88.404574	N
hsa-mir-100	9034	1433.836478	Y
hsa-mir-101-1	20453	3246.209594	N
hsa-mir-101-2	21600	3428.256355	N
hsa-mir-103a-1	62308	9889.249861	Y
hsa-mir-103a-2	64804	10285.403929	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	376	59.677055	Y
hsa-mir-106b	15355	2437.077608	N
hsa-mir-107	10372	1646.197913	Y
hsa-mir-10a	21966	3486.346255	N
hsa-mir-10b	54990	8727.769305	N
hsa-mir-1178	4	0.634862	N
hsa-mir-1179	5	0.793578	N
hsa-mir-1180	688	109.196314	N
hsa-mir-1181	1	0.158716	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.476147	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.317431	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3740	593.596239	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	23	3.650458	N
hsa-mir-1227	0	0.000000	N
