miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	126401	16124.655871	N
hsa-let-7a-2	124184	15841.838788	Y
hsa-let-7a-3	124035	15822.831235	N
hsa-let-7b	51963	6628.788483	N
hsa-let-7c	12748	1626.230117	Y
hsa-let-7d	32054	4089.047708	N
hsa-let-7e	9573	1221.203398	N
hsa-let-7f-1	150048	19141.243852	N
hsa-let-7f-2	158784	20255.673276	N
hsa-let-7g	170936	21805.873181	N
hsa-let-7i	45602	5817.331801	N
hsa-mir-1-1	1044	133.180439	N
hsa-mir-1-2	1094	139.558813	N
hsa-mir-100	79937	10197.360910	Y
hsa-mir-101-1	30777	3926.144047	N
hsa-mir-101-2	32853	4190.974117	N
hsa-mir-103a-1	94856	12100.540006	Y
hsa-mir-103a-2	98051	12508.118075	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	620	79.091832	Y
hsa-mir-106b	12802	1633.118761	N
hsa-mir-107	11879	1515.373985	Y
hsa-mir-10a	25003	3189.569471	N
hsa-mir-10b	239463	30547.689249	N
hsa-mir-1178	4	0.510270	N
hsa-mir-1179	7	0.892972	N
hsa-mir-1180	654	83.429126	N
hsa-mir-1181	5	0.637837	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	1.403242	N
hsa-mir-1185-2	7	0.892972	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5701	727.262151	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	45	5.740536	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	72	9.184858	N
hsa-mir-1229	1	0.127567	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.637837	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	17	2.168647	N
hsa-mir-124-2	14	1.785945	N
hsa-mir-124-3	15	1.913512	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	30	3.827024	N
hsa-mir-1248	17	2.168647	N
hsa-mir-1249	543	69.269137	N
hsa-mir-1250	11	1.403242	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	15	1.913512	N
hsa-mir-1254-2	17	2.168647	N
hsa-mir-1255a	3	0.382702	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	130534	16651.892227	N
hsa-mir-125b-1	42398	5408.605625	N
hsa-mir-125b-2	42969	5481.446651	N
hsa-mir-126	86583	11045.174320	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	37	4.719996	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	1.148107	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	1.530810	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	551	70.289676	N
hsa-mir-1269b	1232	157.163124	N
hsa-mir-127	582	74.244268	N
hsa-mir-1270	716	91.338309	N
hsa-mir-1271	5935	757.112939	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.127567	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	12	1.530810	N
hsa-mir-1277	2	0.255135	N
hsa-mir-1278	18	2.296214	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4734	603.904407	N
hsa-mir-128-2	2963	377.982416	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	11	1.403242	N
hsa-mir-1285-1	11	1.403242	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	54	6.888643	N
hsa-mir-1288	3	0.382702	N
hsa-mir-1289-1	5	0.637837	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	26	3.316754	N
hsa-mir-129-2	38	4.847564	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	69	8.802155	N
hsa-mir-1292	63	8.036751	N
hsa-mir-1293	3	0.382702	N
hsa-mir-1294	3	0.382702	N
hsa-mir-1295a	181	23.089712	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	247	31.509165	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1156	147.467996	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	13	1.658377	N
hsa-mir-1304	17	2.168647	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	64	8.164318	N
hsa-mir-1307	1493	190.458234	N
hsa-mir-130a	541	69.014002	N
hsa-mir-130b	536	68.376164	N
hsa-mir-132	986	125.781526	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	279	35.591324	Y
hsa-mir-133a-2	259	33.039975	N
hsa-mir-133b	6	0.765405	Y
hsa-mir-134	64	8.164318	N
hsa-mir-1343	43	5.485401	N
hsa-mir-135a-1	150	19.135121	N
hsa-mir-135a-2	142	18.114581	N
hsa-mir-135b	2305	294.043020	N
hsa-mir-136	29	3.699457	N
hsa-mir-137	15	1.913512	N
hsa-mir-138-1	18	2.296214	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	4326	551.856878	N
hsa-mir-140	50478	6439.350789	N
hsa-mir-141	14	1.785945	N
hsa-mir-142	9045	1153.847773	N
hsa-mir-143	264729	33770.808965	N
hsa-mir-144	8760	1117.491044	N
hsa-mir-145	28868	3682.617746	N
hsa-mir-1468	126	16.073501	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	26508	3381.558515	N
hsa-mir-146b	108470	13837.243553	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	1	0.127567	N
hsa-mir-147b	19	2.423782	N
hsa-mir-148a	18434	2351.578756	N
hsa-mir-148b	5519	704.044871	N
hsa-mir-149	186	23.727550	N
hsa-mir-150	23225	2962.754508	N
hsa-mir-151a	26233	3346.477460	N
hsa-mir-151b	440	56.129687	N
hsa-mir-152	3334	425.309947	N
hsa-mir-153-1	11	1.403242	N
hsa-mir-153-2	2	0.255135	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	41	5.230266	N
hsa-mir-155	22631	2886.979431	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3107	396.352132	N
hsa-mir-15b	21027	2682.361208	N
hsa-mir-16-1	48268	6157.426678	N
hsa-mir-16-2	51178	6528.648018	N
hsa-mir-17	3859	492.282870	Y
hsa-mir-181a-1	33608	4287.287557	N
hsa-mir-181a-2	33677	4296.089713	N
hsa-mir-181b-1	4802	612.578995	N
hsa-mir-181b-2	5898	752.392943	N
hsa-mir-181c	248	31.636733	N
hsa-mir-181d	93	11.863775	N
hsa-mir-182	3339	425.947785	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	2486	317.132732	N
hsa-mir-184	10	1.275675	N
hsa-mir-185	8090	1032.020838	N
hsa-mir-186	13459	1716.930589	N
hsa-mir-187	36	4.592429	N
hsa-mir-188	75	9.567560	N
hsa-mir-18a	360	45.924289	Y
hsa-mir-18b	14	1.785945	Y
hsa-mir-1908	8	1.020540	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	682	87.001015	N
hsa-mir-190b	9	1.148107	N
hsa-mir-191	57596	7347.376046	N
hsa-mir-1910	10	1.275675	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	4	0.510270	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	65301	8330.283408	Y
hsa-mir-193a	3459	441.255881	N
hsa-mir-193b	536	68.376164	N
hsa-mir-194-1	16346	2085.217877	N
hsa-mir-194-2	43628	5565.513614	N
hsa-mir-195	5853	746.652406	N
hsa-mir-196a-1	3572	455.671006	N
hsa-mir-196a-2	8944	1140.963458	N
hsa-mir-196b	296	37.759971	N
hsa-mir-197	4660	594.464414	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	76	9.695128	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	7818	997.322486	Y
hsa-mir-199a-2	13557	1729.432201	Y
hsa-mir-199b	17585	2243.273973	Y
hsa-mir-19a	519	66.207517	N
hsa-mir-19b-1	1943	247.863596	N
hsa-mir-19b-2	1977	252.200890	N
hsa-mir-200a	10161	1296.213070	N
hsa-mir-200b	35543	4534.130613	N
hsa-mir-200c	306	39.035646	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	1405	179.232296	N
hsa-mir-203b	24	3.061619	N
hsa-mir-204	31393	4004.725609	N
hsa-mir-205	2	0.255135	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	9211	1175.023973	N
hsa-mir-20b	416	53.068068	N
hsa-mir-21	1853888	236495.803222	N
hsa-mir-210	3684	469.958562	N
hsa-mir-211	596	76.030213	N
hsa-mir-2110	285	36.356729	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	42	5.357834	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	105	13.394584	N
hsa-mir-214	1765	225.156586	N
hsa-mir-215	120	15.308096	Y
hsa-mir-216a	3	0.382702	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	9	1.148107	N
hsa-mir-218-1	336	42.862670	N
hsa-mir-218-2	288	36.739432	N
hsa-mir-219a-1	6	0.765405	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	7	0.892972	N
hsa-mir-22	17708	2258.964772	N
hsa-mir-221	12551	1601.099325	N
hsa-mir-222	9353	1193.138554	N
hsa-mir-223	6782	865.162587	N
hsa-mir-224	2357	300.676529	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	45	5.740536	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	340	43.372940	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	200995	25640.423784	Y
hsa-mir-23b	78834	10056.653989	Y
hsa-mir-23c	1	0.127567	N
hsa-mir-24-1	33501	4273.637838	N
hsa-mir-24-2	34081	4347.626971	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	24639	3143.134912	N
hsa-mir-2681	6	0.765405	N
hsa-mir-2682	4	0.510270	N
hsa-mir-26a-1	219461	27996.084699	N
hsa-mir-26a-2	222499	28383.634675	N
hsa-mir-26b	125616	16024.515406	N
hsa-mir-27a	31561	4026.156944	Y
hsa-mir-27b	121522	15502.254181	Y
hsa-mir-28	11953	1524.813978	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	17	2.168647	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	30	3.827024	N
hsa-mir-29a	76867	9805.728774	N
hsa-mir-29b-1	1326	169.154466	Y
hsa-mir-29b-2	1851	236.127388	Y
hsa-mir-29c	3838	489.603953	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	91	11.608640	N
hsa-mir-301b	13	1.658377	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
