miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	324389	19775.280817	N
hsa-let-7a-2	320324	19527.471808	Y
hsa-let-7a-3	320651	19547.406260	N
hsa-let-7b	81045	4940.634959	N
hsa-let-7c	21348	1301.408787	Y
hsa-let-7d	62201	3791.874084	N
hsa-let-7e	33523	2043.616580	N
hsa-let-7f-1	388568	23687.736996	N
hsa-let-7f-2	417277	25437.884310	N
hsa-let-7g	391537	23868.732063	N
hsa-let-7i	131912	8041.569976	N
hsa-mir-1-1	5958	363.209366	N
hsa-mir-1-2	6264	381.863624	N
hsa-mir-100	74498	4541.519195	Y
hsa-mir-101-1	158753	9677.840973	N
hsa-mir-101-2	166123	10127.128155	N
hsa-mir-103a-1	103780	6326.597521	Y
hsa-mir-103a-2	107050	6525.942037	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	848	51.695459	Y
hsa-mir-106b	27237	1660.411801	N
hsa-mir-107	10483	639.060723	Y
hsa-mir-10a	279647	17047.735757	N
hsa-mir-10b	923742	56312.814097	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	15	0.914424	N
hsa-mir-1180	1046	63.765861	N
hsa-mir-1181	11	0.670578	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	26	1.585002	N
hsa-mir-1185-2	12	0.731540	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	22	1.341156	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6698	408.320969	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	4	0.243847	N
hsa-mir-1226	26	1.585002	N
hsa-mir-1227	2	0.121923	N
hsa-mir-1228	66	4.023467	N
hsa-mir-1229	16	0.975386	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.121923	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	35	2.133657	N
hsa-mir-124-2	28	1.706926	N
hsa-mir-124-3	31	1.889810	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.060962	N
hsa-mir-1245b	5	0.304808	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	431	26.274461	N
hsa-mir-1248	52	3.170005	N
hsa-mir-1249	254	15.484253	N
hsa-mir-1250	63	3.840582	N
hsa-mir-1251	10	0.609616	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.060962	N
hsa-mir-1254-2	2	0.121923	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.304808	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	388160	23662.864653	N
hsa-mir-125b-1	60082	3662.696399	N
hsa-mir-125b-2	60786	3705.613383	N
hsa-mir-126	560814	34188.133186	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	37	2.255580	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	33	2.011734	N
hsa-mir-1263	12	0.731540	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.182885	N
