miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	481194	37246.023191	N
hsa-let-7a-2	472190	36549.083510	Y
hsa-let-7a-3	475943	36839.578248	N
hsa-let-7b	122360	9471.072785	N
hsa-let-7c	138014	10682.744682	Y
hsa-let-7d	28451	2202.202450	N
hsa-let-7e	65304	5054.747770	N
hsa-let-7f-1	129329	10010.496667	N
hsa-let-7f-2	137595	10650.312682	N
hsa-let-7g	179458	13890.648740	N
hsa-let-7i	74003	5728.079432	N
hsa-mir-1-1	2983	230.894166	N
hsa-mir-1-2	3072	237.783063	N
hsa-mir-100	205173	15881.075649	Y
hsa-mir-101-1	24117	1866.736371	N
hsa-mir-101-2	25964	2009.700341	N
hsa-mir-103a-1	97967	7582.973092	Y
hsa-mir-103a-2	100589	7785.924651	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	882	68.269747	Y
hsa-mir-106b	37954	2937.766398	N
hsa-mir-107	11862	918.158429	Y
hsa-mir-10a	368523	28524.911375	N
hsa-mir-10b	587245	45454.724890	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.696630	N
hsa-mir-1180	2235	172.996467	N
hsa-mir-1181	4	0.309613	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	81	6.269671	N
hsa-mir-1185-2	48	3.715360	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	36	2.786520	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	38	2.941327	N
hsa-mir-1224	1	0.077403	N
hsa-mir-1225	1	0.077403	N
