miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	269167	22449.347246	N
hsa-let-7a-2	256861	21422.989382	Y
hsa-let-7a-3	258079	21524.574290	N
hsa-let-7b	66815	5572.574410	N
hsa-let-7c	37834	3155.470781	Y
hsa-let-7d	56759	4733.873396	N
hsa-let-7e	25168	2099.087821	N
hsa-let-7f-1	332557	27736.266229	N
hsa-let-7f-2	354370	29555.536836	N
hsa-let-7g	258231	21537.251553	N
hsa-let-7i	78187	6521.033831	N
hsa-mir-1-1	384	32.026769	N
hsa-mir-1-2	432	36.030115	N
hsa-mir-100	85010	7090.092803	Y
hsa-mir-101-1	77589	6471.158810	N
hsa-mir-101-2	83537	6967.240118	N
hsa-mir-103a-1	118384	9873.586006	Y
hsa-mir-103a-2	123293	10283.011550	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.166806	N
hsa-mir-105-2	1	0.083403	N
hsa-mir-106a	416	34.695666	Y
hsa-mir-106b	18328	1528.610997	N
hsa-mir-107	15534	1295.582891	Y
hsa-mir-10a	210973	17595.790482	N
hsa-mir-10b	609423	50827.733514	N
hsa-mir-1178	1	0.083403	N
hsa-mir-1179	7	0.583821	N
hsa-mir-1180	720	60.050192	N
hsa-mir-1181	3	0.250209	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	0.917433	N
hsa-mir-1185-2	4	0.333612	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.417015	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1734	144.620879	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	40	3.336122	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	31	2.585494	N
hsa-mir-1229	30	2.502091	N
hsa-mir-1231	1	0.083403	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.333612	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	46	3.836540	N
hsa-mir-124-2	40	3.336122	N
hsa-mir-124-3	44	3.669734	N
hsa-mir-1243	4	0.333612	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	97	8.090095	N
hsa-mir-1248	16	1.334449	N
hsa-mir-1249	147	12.260248	N
hsa-mir-1250	20	1.668061	N
hsa-mir-1251	19	1.584658	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	15	1.251046	N
hsa-mir-1254-2	6	0.500418	N
hsa-mir-1255a	42	3.502928	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.166806	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	239565	19980.450326	N
hsa-mir-125b-1	68073	5677.495440	N
hsa-mir-125b-2	69157	5767.904340	N
hsa-mir-126	201805	16831.151371	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	35	2.919107	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.417015	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.583821	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1279	106.672494	N
hsa-mir-1270	1565	130.525764	N
hsa-mir-1271	3683	307.173412	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.083403	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	8	0.667224	N
hsa-mir-1277	7	0.583821	N
hsa-mir-1278	22	1.834867	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	14684	1224.690304	N
hsa-mir-128-2	9078	757.132837	N
hsa-mir-1281	1	0.083403	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	31	2.585494	N
hsa-mir-1285-1	1	0.083403	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	57	4.753974	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	2	0.166806	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.583821	N
hsa-mir-129-2	8	0.667224	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	42	3.502928	N
hsa-mir-1292	59	4.920780	N
hsa-mir-1293	1	0.083403	N
hsa-mir-1294	6	0.500418	N
hsa-mir-1295a	100	8.340304	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	125	10.425381	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.166806	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1824	152.127153	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	19	1.584658	N
hsa-mir-1304	33	2.752300	N
hsa-mir-1305	6	0.500418	N
hsa-mir-1306	118	9.841559	N
hsa-mir-1307	1529	127.523255	N
hsa-mir-130a	774	64.553956	N
hsa-mir-130b	697	58.131922	N
hsa-mir-132	1524	127.106240	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	61	5.087586	N
hsa-mir-133a-2	56	4.670570	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	62	5.170989	N
hsa-mir-1343	28	2.335285	N
hsa-mir-135a-1	1882	156.964530	N
hsa-mir-135a-2	2852	237.865483	N
hsa-mir-135b	3162	263.720426	N
hsa-mir-136	246	20.517149	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	21	1.751464	N
hsa-mir-138-2	14	1.167643	N
hsa-mir-139	8475	706.840801	N
hsa-mir-140	51507	4295.840607	N
hsa-mir-141	24	2.001673	N
hsa-mir-142	2386	198.999664	N
hsa-mir-143	307030	25607.236715	N
hsa-mir-144	2158	179.983770	N
hsa-mir-145	38915	3245.629472	N
hsa-mir-1468	173	14.428727	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6540	545.455910	N
hsa-mir-146b	54072	4509.769416	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	26	2.168479	N
hsa-mir-148a	59297	4945.550322	N
hsa-mir-148b	7581	632.278479	N
hsa-mir-149	212	17.681445	N
hsa-mir-150	2523	210.425881	N
hsa-mir-151a	44071	3675.655569	N
hsa-mir-151b	717	59.799983	N
hsa-mir-152	5632	469.725946	N
hsa-mir-153-1	12	1.000837	N
hsa-mir-153-2	1	0.083403	N
hsa-mir-1537	1	0.083403	N
hsa-mir-1538	1	0.083403	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	56	4.670570	N
hsa-mir-155	11713	976.899859	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3978	331.777311	N
hsa-mir-15b	17348	1446.876014	N
hsa-mir-16-1	37614	3137.122111	N
hsa-mir-16-2	39477	3292.501983	N
hsa-mir-17	3326	277.398526	Y
hsa-mir-181a-1	53677	4476.825213	Y
hsa-mir-181a-2	53807	4487.667609	N
hsa-mir-181b-1	14652	1222.021406	N
hsa-mir-181b-2	16481	1374.565574	N
hsa-mir-181c	325	27.105989	Y
hsa-mir-181d	187	15.596369	N
hsa-mir-182	4886	407.507275	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3614	301.418602	N
hsa-mir-184	3	0.250209	N
hsa-mir-185	5413	451.460679	N
hsa-mir-186	17181	1432.947705	N
hsa-mir-187	111	9.257738	N
hsa-mir-188	81	6.755647	N
hsa-mir-18a	429	35.779906	N
hsa-mir-18b	9	0.750627	N
hsa-mir-1908	5	0.417015	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	3404	283.903963	N
hsa-mir-190b	33	2.752300	N
hsa-mir-191	63115	5263.983146	N
hsa-mir-1910	2	0.166806	N
hsa-mir-1911	2	0.166806	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	3	0.250209	N
hsa-mir-1914	3	0.250209	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	144230	12029.221091	Y
hsa-mir-193a	3458	288.407727	N
hsa-mir-193b	373	31.109336	N
hsa-mir-194-1	25405	2118.854342	N
hsa-mir-194-2	93595	7806.107939	N
hsa-mir-195	12661	1055.965945	N
hsa-mir-196a-1	9202	767.474814	N
hsa-mir-196a-2	19799	1651.296876	N
hsa-mir-196b	7698	642.036636	N
hsa-mir-197	3025	252.294209	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	29	2.418688	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	3973	331.360295	Y
hsa-mir-199a-2	6827	569.392584	Y
hsa-mir-199b	8803	734.197000	Y
hsa-mir-19a	1018	84.904299	N
hsa-mir-19b-1	3511	292.828089	N
hsa-mir-19b-2	3435	286.489457	N
hsa-mir-200a	33181	2767.396416	N
hsa-mir-200b	72654	6059.564786	N
hsa-mir-200c	921	76.814204	N
hsa-mir-202	17	1.417852	N
hsa-mir-203a	80	6.672244	N
hsa-mir-203b	1	0.083403	N
hsa-mir-204	82532	6883.420059	N
hsa-mir-205	290	24.186883	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	5	0.417015	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	12402	1034.364556	N
hsa-mir-20b	188	15.679772	N
hsa-mir-21	1559614	130076.555654	N
hsa-mir-210	6706	559.300816	N
hsa-mir-211	18	1.501255	N
hsa-mir-2110	292	24.353689	N
hsa-mir-2113	1	0.083403	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	18	1.501255	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	97	8.090095	N
hsa-mir-214	738	61.551447	N
hsa-mir-215	479	39.950058	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	3	0.250209	N
hsa-mir-218-1	340	28.357035	N
hsa-mir-218-2	289	24.103480	N
hsa-mir-219a-1	12	1.000837	N
hsa-mir-219a-2	1	0.083403	N
hsa-mir-219b	2	0.166806	N
