miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	187562	23548.761525	N
hsa-let-7a-2	180074	22608.629055	Y
hsa-let-7a-3	180427	22652.948868	N
hsa-let-7b	74799	9391.154996	N
hsa-let-7c	35184	4417.417310	Y
hsa-let-7d	38184	4794.072947	N
hsa-let-7e	19969	2507.145471	N
hsa-let-7f-1	162341	20382.217585	N
hsa-let-7f-2	173404	21771.198022	N
hsa-let-7g	131816	16549.746479	N
hsa-let-7i	74563	9361.524752	N
hsa-mir-1-1	600	75.331127	N
hsa-mir-1-2	605	75.958887	N
hsa-mir-100	38182	4793.821843	Y
hsa-mir-101-1	30703	3854.819340	N
hsa-mir-101-2	33481	4203.602460	N
hsa-mir-103a-1	76118	9556.757924	Y
hsa-mir-103a-2	78146	9811.377135	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.125552	N
hsa-mir-105-2	3	0.376656	N
hsa-mir-106a	424	53.233997	Y
hsa-mir-106b	12028	1510.138000	N
hsa-mir-107	9140	1147.544174	Y
hsa-mir-10a	114344	14356.104050	N
hsa-mir-10b	356882	44807.205673	N
hsa-mir-1178	2	0.251104	N
hsa-mir-1179	5	0.627759	N
hsa-mir-1180	476	59.762694	N
hsa-mir-1181	6	0.753311	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.376656	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.376656	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1031	129.443987	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	37	4.645420	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	42	5.273179	N
hsa-mir-1229	17	2.134382	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.251104	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	10	1.255519	N
hsa-mir-124-2	8	1.004415	N
hsa-mir-124-3	10	1.255519	N
