miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	181021	16635.546793	N
hsa-let-7a-2	177610	16322.081228	Y
hsa-let-7a-3	178728	16424.823679	N
hsa-let-7b	47272	4344.222869	N
hsa-let-7c	14388	1322.234698	Y
hsa-let-7d	30881	2837.915604	N
hsa-let-7e	16309	1498.771594	N
hsa-let-7f-1	163040	14983.121014	N
hsa-let-7f-2	170727	15689.544292	N
hsa-let-7g	206415	18969.215678	N
hsa-let-7i	69735	6408.537438	N
hsa-mir-1-1	1230	113.035076	N
hsa-mir-1-2	1460	134.171717	N
hsa-mir-100	63675	5851.632916	Y
hsa-mir-101-1	91759	8432.508594	N
hsa-mir-101-2	97889	8995.846007	N
hsa-mir-103a-1	70057	6438.128735	Y
hsa-mir-103a-2	72862	6695.903848	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	431	39.608226	Y
hsa-mir-106b	17812	1636.894943	N
hsa-mir-107	9379	861.915432	Y
hsa-mir-10a	248524	22838.966922	N
hsa-mir-10b	577778	53096.894586	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.102781	N
hsa-mir-1180	649	59.642085	N
hsa-mir-1181	3	0.275695	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.091898	N
hsa-mir-1185-2	3	0.275695	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2316	212.836778	N
hsa-mir-1224	1	0.091898	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	37	3.400242	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	45	4.135430	N
hsa-mir-1229	20	1.837969	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.183797	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	37	3.400242	N
hsa-mir-124-2	45	4.135430	N
hsa-mir-124-3	36	3.308344	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.091898	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	0.551391	N
hsa-mir-1248	16	1.470375	N
hsa-mir-1249	162	14.887547	N
hsa-mir-1250	31	2.848852	N
hsa-mir-1251	8	0.735187	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.643289	N
hsa-mir-1254-2	8	0.735187	N
hsa-mir-1255a	10	0.918984	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.367594	N
hsa-mir-1257	1	0.091898	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	263698	24233.433791	N
hsa-mir-125b-1	34823	3200.179239	N
hsa-mir-125b-2	35618	3273.238495	N
hsa-mir-126	163295	15006.555115	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	20	1.837969	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.010883	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.183797	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	171	15.714633	N
hsa-mir-1270	563	51.738819	N
hsa-mir-1271	6931	636.948060	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.275695	N
hsa-mir-1275	3	0.275695	N
hsa-mir-1276	3	0.275695	N
hsa-mir-1277	5	0.459492	N
hsa-mir-1278	24	2.205562	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4341	398.931111	N
hsa-mir-128-2	2892	265.770277	N
