miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	249061	26318.776098	N
hsa-let-7a-2	237526	25099.849481	Y
hsa-let-7a-3	237679	25116.017298	N
hsa-let-7b	85906	9077.859559	N
hsa-let-7c	33208	3509.156057	Y
hsa-let-7d	31652	3344.730412	N
hsa-let-7e	19970	2110.270009	N
hsa-let-7f-1	224650	23739.216700	N
hsa-let-7f-2	243760	25758.608782	N
hsa-let-7g	222088	23468.485014	N
hsa-let-7i	66699	7048.217292	N
hsa-mir-1-1	4061	429.134026	N
hsa-mir-1-2	4382	463.054741	N
hsa-mir-100	54038	5710.303993	Y
hsa-mir-101-1	19993	2112.700465	N
hsa-mir-101-2	22295	2355.957429	N
hsa-mir-103a-1	69229	7315.567473	Y
hsa-mir-103a-2	72364	7646.849220	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.105672	N
hsa-mir-106a	459	48.503452	Y
hsa-mir-106b	12041	1272.396654	N
hsa-mir-107	8250	871.794070	Y
hsa-mir-10a	187970	19863.167430	N
hsa-mir-10b	598943	63291.509761	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.422688	N
hsa-mir-1180	488	51.567940	N
hsa-mir-1181	7	0.739704	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.317016	N
hsa-mir-1185-2	14	1.479408	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3005	317.544385	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.585080	N
hsa-mir-1227	1	0.105672	N
hsa-mir-1228	10	1.056720	N
hsa-mir-1229	4	0.422688	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.528360	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	0.422688	N
hsa-mir-124-2	7	0.739704	N
hsa-mir-124-3	5	0.528360	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.105672	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.211344	N
hsa-mir-1245b	2	0.211344	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	72	7.608385	N
hsa-mir-1248	27	2.853144	N
hsa-mir-1249	245	25.889642	N
hsa-mir-1250	12	1.268064	N
hsa-mir-1251	3	0.317016	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.528360	N
hsa-mir-1254-2	7	0.739704	N
hsa-mir-1255a	18	1.902096	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.105672	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.105672	N
hsa-mir-125a	195487	20657.503917	N
hsa-mir-125b-1	64791	6846.595100	N
hsa-mir-125b-2	64713	6838.352683	N
hsa-mir-126	133471	14104.148641	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	11	1.162392	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	1.796424	N
hsa-mir-1263	8	0.845376	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.317016	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	0.739704	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1179	124.587298	N
hsa-mir-1270	242	25.572626	N
hsa-mir-1271	949	100.282736	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.211344	N
hsa-mir-1275	3	0.317016	N
hsa-mir-1276	1	0.105672	N
hsa-mir-1277	4	0.422688	N
hsa-mir-1278	11	1.162392	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3484	368.161277	N
hsa-mir-128-2	2039	215.465225	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	13	1.373736	N
hsa-mir-1285-1	1	0.105672	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.211344	N
hsa-mir-1287	42	4.438224	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.105672	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	29	3.064488	N
hsa-mir-129-2	22	2.324784	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	28	2.958816	N
hsa-mir-1292	45	4.755240	N
hsa-mir-1293	1	0.105672	N
hsa-mir-1294	13	1.373736	N
hsa-mir-1295a	24	2.536128	N
hsa-mir-1295b	12	1.268064	N
hsa-mir-1296	365	38.570283	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	575	60.761405	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	3	0.317016	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.739704	N
hsa-mir-1304	10	1.056720	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	104	10.989889	N
hsa-mir-1307	1293	136.633907	N
hsa-mir-130a	965	101.973488	N
hsa-mir-130b	592	62.557829	N
hsa-mir-132	3251	343.539699	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	730	77.140566	Y
hsa-mir-133a-2	683	72.173982	Y
hsa-mir-133b	22	2.324784	Y
hsa-mir-134	74	7.819729	N
hsa-mir-1343	19	2.007768	N
hsa-mir-135a-1	699	73.864734	N
hsa-mir-135a-2	885	93.519727	N
hsa-mir-135b	1735	183.340935	N
hsa-mir-136	135	14.265721	N
hsa-mir-137	8	0.845376	N
hsa-mir-138-1	169	17.858569	N
hsa-mir-138-2	46	4.860912	N
hsa-mir-139	5306	560.695677	N
hsa-mir-140	94887	10026.899866	N
hsa-mir-141	53	5.600616	N
hsa-mir-142	3177	335.719971	N
hsa-mir-143	529981	56004.156714	N
hsa-mir-144	1336	141.177803	N
hsa-mir-145	126126	13327.987739	N
hsa-mir-1468	162	17.118865	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	13313	1406.811449	N
hsa-mir-146b	41978	4435.899571	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	8	0.845376	N
hsa-mir-148a	12884	1361.478157	N
hsa-mir-148b	3737	394.896296	N
hsa-mir-149	366	38.675955	N
hsa-mir-150	8256	872.428102	N
hsa-mir-151a	27767	2934.194659	N
hsa-mir-151b	266	28.108754	N
hsa-mir-152	2845	300.636864	N
hsa-mir-153-1	7	0.739704	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	1	0.105672	N
hsa-mir-1538	6	0.634032	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	94	9.933169	N
hsa-mir-155	13865	1465.142397	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1875	198.135016	N
hsa-mir-15b	12012	1269.332166	N
hsa-mir-16-1	20783	2196.181352	N
hsa-mir-16-2	21842	2308.088009	N
hsa-mir-17	2940	310.675705	Y
hsa-mir-181a-1	48240	5097.617688	N
hsa-mir-181a-2	48573	5132.806467	N
hsa-mir-181b-1	9230	975.352638	N
hsa-mir-181b-2	11297	1193.776680	N
hsa-mir-181c	806	85.171639	N
hsa-mir-181d	407	43.008507	N
hsa-mir-182	4022	425.012818	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	2491	263.228973	N
hsa-mir-184	44	4.649568	N
hsa-mir-185	3081	325.575458	N
hsa-mir-186	9782	1033.683587	N
hsa-mir-187	28	2.958816	N
hsa-mir-188	48	5.072256	N
hsa-mir-18a	170	17.964241	N
hsa-mir-18b	7	0.739704	N
hsa-mir-1908	2	0.211344	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	394	41.634771	N
hsa-mir-190b	36	3.804192	N
hsa-mir-191	50296	5314.879337	N
hsa-mir-1910	1	0.105672	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.105672	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	26618	2812.777521	Y
hsa-mir-193a	3336	352.521820	N
hsa-mir-193b	841	88.870159	N
hsa-mir-194-1	4866	514.199993	N
hsa-mir-194-2	19899	2102.767296	N
hsa-mir-195	15512	1639.184195	N
hsa-mir-196a-1	3586	378.939822	N
hsa-mir-196a-2	9270	979.579518	N
hsa-mir-196b	2194	231.844387	N
hsa-mir-197	4314	455.869044	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	17	1.796424	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	29051	3069.877518	Y
hsa-mir-199a-2	50087	5292.793888	Y
hsa-mir-199b	65194	6889.180919	Y
hsa-mir-19a	220	23.247842	N
hsa-mir-19b-1	1451	153.330084	N
hsa-mir-19b-2	1461	154.386804	N
hsa-mir-200a	12170	1286.028343	N
hsa-mir-200b	36757	3884.186015	N
hsa-mir-200c	5705	602.858808	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	659	69.637854	N
hsa-mir-203b	2	0.211344	N
hsa-mir-204	40526	4282.463815	N
hsa-mir-205	165	17.435881	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.317016	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	8736	923.150666	N
hsa-mir-20b	252	26.629346	N
hsa-mir-21	1158303	122400.204412	N
hsa-mir-210	2512	265.448085	N
hsa-mir-211	33	3.487176	N
hsa-mir-2110	204	21.557090	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	20	2.113440	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	345	36.456843	N
hsa-mir-214	5593	591.023543	N
hsa-mir-215	43	4.543896	Y
hsa-mir-216a	9	0.951048	N
hsa-mir-216b	124	13.103329	N
hsa-mir-217	93	9.827497	N
hsa-mir-218-1	1030	108.842169	N
hsa-mir-218-2	983	103.875584	N
hsa-mir-219a-1	5	0.528360	N
hsa-mir-219a-2	1	0.105672	N
hsa-mir-219b	1	0.105672	N
hsa-mir-22	9476	1001.347952	N
hsa-mir-221	26113	2759.413157	N
hsa-mir-222	10227	1080.707630	N
hsa-mir-223	9128	964.574093	N
hsa-mir-224	4249	449.000364	N
hsa-mir-2276	3	0.317016	N
hsa-mir-2277	31	3.275832	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	376	39.732675	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	298008	31491.103896	Y
hsa-mir-23b	106433	11246.988876	Y
hsa-mir-23c	8	0.845376	N
hsa-mir-24-1	22607	2388.927095	N
hsa-mir-24-2	23323	2464.588253	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	20267	2141.654595	N
hsa-mir-2681	7	0.739704	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	545367	57630.026236	N
hsa-mir-26a-2	563929	59591.510057	N
hsa-mir-26b	195495	20658.349293	N
hsa-mir-27a	36362	3842.445572	Y
hsa-mir-27b	154251	16300.012977	Y
hsa-mir-28	12705	1342.562867	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	52	5.494944	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	1	0.105672	N
hsa-mir-299	42	4.438224	N
hsa-mir-29a	69468	7340.823084	N
hsa-mir-29b-1	899	94.999136	Y
hsa-mir-29b-2	1395	147.412452	Y
hsa-mir-29c	4348	459.461893	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	46	4.860912	N
hsa-mir-301b	4	0.422688	N
hsa-mir-302a	2	0.211344	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	26	2.747472	N
hsa-mir-3065	119	12.574969	N
hsa-mir-3074	4	0.422688	N
hsa-mir-30a	478273	50540.068501	Y
hsa-mir-30b	33743	3565.690581	Y
hsa-mir-30c-1	51409	5432.492283	Y
hsa-mir-30c-2	54810	5791.882784	Y
hsa-mir-30d	289635	30606.312169	N
hsa-mir-30e	20194	2133.940539	Y
hsa-mir-31	1782	188.307519	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	3	0.317016	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	1	0.105672	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	1	0.105672	N
hsa-mir-3125	2	0.211344	N
hsa-mir-3126	5	0.528360	N
hsa-mir-3127	4	0.422688	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	8	0.845376	N
hsa-mir-3130-1	4	0.422688	N
hsa-mir-3130-2	7	0.739704	N
hsa-mir-3131	3	0.317016	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	1	0.105672	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	1	0.105672	N
hsa-mir-3140	10	1.056720	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	2	0.211344	N
hsa-mir-3144	14	1.479408	N
hsa-mir-3145	8	0.845376	N
hsa-mir-3146	3	0.317016	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	2	0.211344	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	2	0.211344	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	5	0.528360	N
hsa-mir-3155a	1	0.105672	N
