miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	324754	16968.345947	N
hsa-let-7a-2	320976	16770.946035	Y
hsa-let-7a-3	321073	16776.014270	N
hsa-let-7b	100680	5260.514328	N
hsa-let-7c	25748	1345.328992	Y
hsa-let-7d	49946	2609.670725	N
hsa-let-7e	26786	1399.564330	N
hsa-let-7f-1	318326	16632.483948	N
hsa-let-7f-2	331981	17345.955572	N
hsa-let-7g	375101	19598.968860	N
hsa-let-7i	141536	7395.233968	N
hsa-mir-1-1	12166	635.671606	N
hsa-mir-1-2	13138	686.458455	N
hsa-mir-100	159260	8321.310209	Y
hsa-mir-101-1	75051	3921.403067	N
hsa-mir-101-2	80257	4193.415757	N
hsa-mir-103a-1	97345	5086.261097	Y
hsa-mir-103a-2	101413	5298.813464	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.052250	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	428	22.362933	Y
hsa-mir-106b	22512	1176.248496	N
hsa-mir-107	10017	523.386691	Y
hsa-mir-10a	139274	7277.044820	N
hsa-mir-10b	757120	39559.402143	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	0.679248	N
hsa-mir-1180	958	50.055351	N
hsa-mir-1181	2	0.104500	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	14	0.731498	N
hsa-mir-1185-2	12	0.626998	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.156750	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5102	266.578706	N
hsa-mir-1224	2	0.104500	N
