miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	267101	17338.522710	N
hsa-let-7a-2	262938	17068.286844	Y
hsa-let-7a-3	264052	17140.600742	N
hsa-let-7b	112718	7316.946035	N
hsa-let-7c	31148	2021.932922	Y
hsa-let-7d	47745	3099.306131	N
hsa-let-7e	17911	1162.669852	N
hsa-let-7f-1	294385	19109.628972	N
hsa-let-7f-2	306832	19917.610193	N
hsa-let-7g	380572	24704.348785	N
hsa-let-7i	193069	12532.829308	N
hsa-mir-1-1	4023	261.147944	N
hsa-mir-1-2	4217	273.741208	N
hsa-mir-100	275309	17871.334622	Y
hsa-mir-101-1	38262	2483.729211	N
hsa-mir-101-2	40703	2642.183630	N
hsa-mir-103a-1	103194	6698.707652	Y
hsa-mir-103a-2	107898	7004.061847	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.064914	N
hsa-mir-106a	892	57.903049	Y
hsa-mir-106b	30613	1987.204075	N
hsa-mir-107	12283	797.335369	Y
hsa-mir-10a	105635	6857.162072	N
hsa-mir-10b	404047	26228.198642	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	23	1.493016	N
hsa-mir-1180	1687	109.509466	N
hsa-mir-1181	2	0.129827	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	0.714051	N
hsa-mir-1185-2	12	0.778965	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7481	485.619629	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	0.908792	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	125	8.114216	N
hsa-mir-1229	20	1.298275	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.194741	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	7	0.454396	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	105	6.815942	N
hsa-mir-124-2	110	7.140511	N
hsa-mir-124-3	115	7.465079	N
hsa-mir-1243	6	0.389482	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.519310	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	3	0.194741	N
hsa-mir-1248	84	5.452753	N
hsa-mir-1249	508	32.976176	N
hsa-mir-1250	22	1.428102	N
hsa-mir-1251	2	0.129827	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	55	3.570255	N
hsa-mir-1254-2	53	3.440428	N
hsa-mir-1255a	43	2.791290	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	4	0.259655	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	238366	15473.226623	N
hsa-mir-125b-1	99288	6445.154615	N
hsa-mir-125b-2	101119	6564.011658	N
hsa-mir-126	70000	4543.961235	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	27	1.752671	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	48	3.115859	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	24	1.557930	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8	0.519310	N
hsa-mir-1269b	5	0.324569	N
hsa-mir-127	811	52.645037	N
hsa-mir-1270	1242	80.622855	N
hsa-mir-1271	7135	463.159477	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.324569	N
hsa-mir-1276	14	0.908792	N
hsa-mir-1277	10	0.649137	N
hsa-mir-1278	27	1.752671	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8695	564.424899	N
hsa-mir-128-2	6466	419.732191	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	78	5.063271	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	94	6.101891	N
hsa-mir-1288	1	0.064914	N
hsa-mir-1289-1	4	0.259655	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	27	1.752671	N
hsa-mir-129-2	27	1.752671	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	134	8.698440	N
hsa-mir-1292	59	3.829910	N
hsa-mir-1293	38	2.466722	N
hsa-mir-1294	22	1.428102	N
hsa-mir-1295a	212	13.761711	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	487	31.612987	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.129827	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2330	151.248995	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	3	0.194741	N
hsa-mir-1302-5	2	0.129827	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	6	0.389482	N
hsa-mir-1304	68	4.414134	N
hsa-mir-1305	4	0.259655	N
hsa-mir-1306	180	11.684472	N
hsa-mir-1307	2582	167.607256	N
hsa-mir-130a	739	47.971248	N
hsa-mir-130b	2123	137.811853	N
hsa-mir-132	3812	247.451146	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	812	52.709950	Y
hsa-mir-133a-2	820	53.229260	Y
hsa-mir-133b	10	0.649137	Y
hsa-mir-134	44	2.856204	N
hsa-mir-1343	67	4.349220	N
hsa-mir-135a-1	99	6.426459	N
hsa-mir-135a-2	113	7.335252	N
hsa-mir-135b	7492	486.333680	N
hsa-mir-136	56	3.635169	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	438	28.432215	N
hsa-mir-138-2	189	12.268695	N
hsa-mir-139	2059	133.657374	N
hsa-mir-140	95108	6173.815216	N
hsa-mir-141	78	5.063271	N
hsa-mir-142	13144	853.226092	N
hsa-mir-143	334571	21718.252203	N
hsa-mir-144	3053	198.181624	N
hsa-mir-145	42067	2730.725961	N
hsa-mir-1468	151	9.801974	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	15436	1002.008366	N
hsa-mir-146b	164568	10682.723035	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	61	3.959738	N
hsa-mir-148a	108478	7041.711811	N
hsa-mir-148b	22119	1435.826836	N
hsa-mir-149	748	48.555471	N
hsa-mir-150	11393	739.562148	N
hsa-mir-151a	53875	3497.227307	N
hsa-mir-151b	359	23.304030	N
hsa-mir-152	18447	1197.463613	N
hsa-mir-153-1	24	1.557930	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	9	0.584224	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	21	1.363188	N
hsa-mir-155	55904	3628.937269	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2986	193.832404	N
hsa-mir-15b	38245	2482.625677	N
hsa-mir-16-1	48700	3161.298745	N
hsa-mir-16-2	52859	3431.274956	N
hsa-mir-17	4621	299.966355	Y
hsa-mir-181a-1	42009	2726.960964	N
hsa-mir-181a-2	43456	2820.891134	N
hsa-mir-181b-1	13595	882.502185	N
hsa-mir-181b-2	15702	1019.275419	N
hsa-mir-181c	375	24.342649	N
hsa-mir-181d	281	18.240759	N
hsa-mir-182	39878	2588.629802	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	28529	1851.923858	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	8914	578.641006	N
hsa-mir-186	30783	1998.239410	N
hsa-mir-187	50	3.245687	N
hsa-mir-188	72	4.673789	N
hsa-mir-18a	616	39.986859	N
hsa-mir-18b	30	1.947412	N
hsa-mir-1908	25	1.622843	N
hsa-mir-1909	1	0.064914	N
hsa-mir-190a	2493	161.829934	N
hsa-mir-190b	94	6.101891	N
hsa-mir-191	99364	6450.088059	N
hsa-mir-1910	15	0.973706	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	2	0.129827	N
hsa-mir-1914	1	0.064914	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	119115	7732.199178	Y
hsa-mir-193a	8092	525.281919	N
hsa-mir-193b	5327	345.795450	N
hsa-mir-194-1	22544	1463.415172	N
hsa-mir-194-2	66636	4325.591440	N
hsa-mir-195	31002	2012.455517	N
hsa-mir-196a-1	7873	511.065811	N
hsa-mir-196a-2	14354	931.771708	N
hsa-mir-196b	6190	401.816001	N
hsa-mir-197	6753	438.362432	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	124	8.049303	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	16170	1049.655045	Y
hsa-mir-199a-2	28284	1836.019994	Y
hsa-mir-199b	39216	2545.656911	Y
hsa-mir-19a	816	52.969605	N
