miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	247779	24039.052509	N
hsa-let-7a-2	237461	23038.019557	Y
hsa-let-7a-3	237844	23075.177497	N
hsa-let-7b	64080	6216.921066	N
hsa-let-7c	73461	7127.048040	Y
hsa-let-7d	64443	6252.138643	N
hsa-let-7e	23556	2285.358811	N
hsa-let-7f-1	258763	25104.699529	N
hsa-let-7f-2	279838	27149.356387	N
hsa-let-7g	192978	18722.362570	N
hsa-let-7i	65060	6311.998823	N
hsa-mir-1-1	405	39.292338	N
hsa-mir-1-2	475	46.083607	N
hsa-mir-100	69589	6751.393884	Y
hsa-mir-101-1	62809	6093.611037	N
hsa-mir-101-2	65977	6400.964438	N
hsa-mir-103a-1	115211	11177.554509	Y
hsa-mir-103a-2	118122	11459.974253	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	672	65.196176	Y
hsa-mir-106b	15912	1543.752310	N
hsa-mir-107	15617	1515.131965	Y
hsa-mir-10a	82518	8005.741144	N
hsa-mir-10b	426332	41361.928712	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	16	1.552290	N
hsa-mir-1180	1312	127.287772	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.097018	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7967	772.943354	N
hsa-mir-1224	1	0.097018	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	67	6.500214	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	92	8.925667	N
hsa-mir-1229	43	4.171779	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.291054	N
hsa-mir-1236	2	0.194036	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	13	1.261236	N
hsa-mir-124-2	15	1.455272	N
hsa-mir-124-3	13	1.261236	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.291054	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	39	3.783707	N
hsa-mir-1248	13	1.261236	N
hsa-mir-1249	185	17.948352	N
hsa-mir-1250	49	4.753888	N
hsa-mir-1251	22	2.134399	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	1.358254	N
hsa-mir-1254-2	17	1.649308	N
hsa-mir-1255a	31	3.007562	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	195966	19012.252709	N
hsa-mir-125b-1	84978	8244.405717	N
hsa-mir-125b-2	86381	8380.522138	N
hsa-mir-126	193261	18749.818697	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	1.746326	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	28	2.716507	N
hsa-mir-1263	1	0.097018	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.388072	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	207	20.082751	N
hsa-mir-1270	1523	147.758595	N
hsa-mir-1271	1455	141.161363	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
