miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	247748	20538.913950	N
hsa-let-7a-2	244298	20252.900528	Y
hsa-let-7a-3	245442	20347.740921	N
hsa-let-7b	67161	5567.810839	N
hsa-let-7c	18685	1549.032110	Y
hsa-let-7d	50548	4190.552587	N
hsa-let-7e	22345	1852.455044	N
hsa-let-7f-1	294464	24411.784383	N
hsa-let-7f-2	310928	25776.690171	N
hsa-let-7g	256581	21271.191211	N
hsa-let-7i	68445	5674.257573	N
hsa-mir-1-1	1499	124.270759	N
hsa-mir-1-2	1597	132.395198	N
hsa-mir-100	40469	3354.978884	Y
hsa-mir-101-1	77141	6395.177200	N
hsa-mir-101-2	82970	6878.415529	N
hsa-mir-103a-1	95466	7914.364431	Y
hsa-mir-103a-2	98065	8129.827875	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	638	52.891757	Y
hsa-mir-106b	19376	1606.317697	N
hsa-mir-107	6549	542.928086	Y
hsa-mir-10a	142413	11806.385328	N
hsa-mir-10b	537387	44550.694055	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.829024	N
hsa-mir-1180	844	69.969660	N
hsa-mir-1181	1	0.082902	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	0.911927	N
hsa-mir-1185-2	9	0.746122	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.165805	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8197	679.551309	N
hsa-mir-1224	1	0.082902	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	40	3.316098	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	68	5.637366	N
hsa-mir-1229	17	1.409341	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.165805	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.082902	N
hsa-mir-124-1	7	0.580317	N
hsa-mir-124-2	10	0.829024	N
hsa-mir-124-3	7	0.580317	N
hsa-mir-1243	1	0.082902	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.331610	N
hsa-mir-1245b	1	0.082902	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	27	2.238366	N
hsa-mir-1248	8	0.663220	N
hsa-mir-1249	270	22.383659	N
hsa-mir-1250	35	2.901585	N
hsa-mir-1251	7	0.580317	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.580317	N
hsa-mir-1254-2	12	0.994829	N
hsa-mir-1255a	18	1.492244	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	260348	21583.484706	N
hsa-mir-125b-1	32800	2719.200064	N
hsa-mir-125b-2	33259	2757.252285	N
hsa-mir-126	195183	16181.147139	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	25	2.072561	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	40	3.316098	N
hsa-mir-1263	7	0.580317	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.082902	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	961	79.669246	N
hsa-mir-1270	967	80.166660	N
hsa-mir-1271	6185	512.751598	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.165805	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.165805	N
hsa-mir-1277	21	1.740951	N
hsa-mir-1278	22	1.823854	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4763	394.864326	N
hsa-mir-128-2	3052	253.018250	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	19	1.575146	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	81	6.715098	N
hsa-mir-1288	8	0.663220	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.331610	N
hsa-mir-129-2	7	0.580317	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	25	2.072561	N
hsa-mir-1292	59	4.891244	N
hsa-mir-1293	4	0.331610	N
