miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	149220	15257.064981	N
hsa-let-7a-2	145642	14891.230787	Y
hsa-let-7a-3	145147	14840.619292	N
hsa-let-7b	54942	5617.569121	N
hsa-let-7c	13279	1357.717236	Y
hsa-let-7d	24018	2455.731046	N
hsa-let-7e	21047	2151.959836	N
hsa-let-7f-1	152172	15558.893528	N
hsa-let-7f-2	162000	16563.761741	N
hsa-let-7g	160859	16447.099690	N
hsa-let-7i	92513	9459.032654	N
hsa-mir-1-1	7357	752.219723	N
hsa-mir-1-2	7494	766.227349	N
hsa-mir-100	48775	4987.021475	Y
hsa-mir-101-1	26915	2751.936094	N
hsa-mir-101-2	28438	2907.655904	N
hsa-mir-103a-1	46894	4794.697797	Y
hsa-mir-103a-2	48825	4992.133747	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	208	21.267052	Y
hsa-mir-106b	7021	717.865254	N
hsa-mir-107	5013	512.556405	Y
hsa-mir-10a	177612	18160.017594	N
hsa-mir-10b	310659	31763.467028	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.408982	N
hsa-mir-1180	298	30.469142	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	27	2.760627	N
hsa-mir-1185-2	9	0.920209	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.204491	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	748	76.479591	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	19	1.942663	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	1.840418	N
hsa-mir-1229	4	0.408982	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.204491	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.102245	N
hsa-mir-124-3	1	0.102245	N
hsa-mir-1243	3	0.306736	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.102245	N
hsa-mir-1245b	1	0.102245	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	66	6.748199	N
hsa-mir-1248	19	1.942663	N
hsa-mir-1249	65	6.645954	N
hsa-mir-1250	11	1.124700	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.204491	N
hsa-mir-1254-2	10	1.022454	N
hsa-mir-1255a	9	0.920209	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	196473	20088.468892	N
hsa-mir-125b-1	54511	5573.501335	N
hsa-mir-125b-2	54303	5552.234283	N
hsa-mir-126	72523	7415.146251	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.408982	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.511227	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.511227	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1968	201.219032	N
hsa-mir-1270	153	15.643553	N
hsa-mir-1271	1023	104.597088	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.102245	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.102245	N
hsa-mir-1276	1	0.102245	N
hsa-mir-1277	9	0.920209	N
hsa-mir-1278	1	0.102245	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1939	198.253914	N
hsa-mir-128-2	1230	125.761895	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.204491	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	21	2.147154	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.102245	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	248	25.356870	N
hsa-mir-129-2	462	47.237395	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	11	1.124700	N
hsa-mir-1292	21	2.147154	N
hsa-mir-1293	13	1.329191	N
hsa-mir-1294	2	0.204491	N
hsa-mir-1295a	2	0.204491	N
hsa-mir-1295b	1	0.102245	N
hsa-mir-1296	161	16.461516	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	433	44.272277	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	9	0.920209	N
hsa-mir-1305	1	0.102245	N
hsa-mir-1306	59	6.032481	N
hsa-mir-1307	763	78.013273	N
hsa-mir-130a	763	78.013273	N
hsa-mir-130b	290	29.651178	N
hsa-mir-132	5680	580.754115	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.102245	N
hsa-mir-1323	1	0.102245	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1069	109.300378	Y
hsa-mir-133a-2	1052	107.562206	Y
hsa-mir-133b	13	1.329191	Y
hsa-mir-134	79	8.077390	N
hsa-mir-1343	6	0.613473	N
hsa-mir-135a-1	47	4.805536	N
hsa-mir-135a-2	51	5.214518	N
