miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	362018	33383.593739	N
hsa-let-7a-2	346377	31941.254436	Y
hsa-let-7a-3	347751	32067.958240	N
hsa-let-7b	105488	9727.606186	N
hsa-let-7c	56531	5213.022385	Y
hsa-let-7d	50968	4700.028744	N
hsa-let-7e	25604	2361.080206	N
hsa-let-7f-1	292912	27010.964121	N
hsa-let-7f-2	319145	29430.047743	N
hsa-let-7g	255638	23573.731516	N
hsa-let-7i	70156	6469.455669	N
hsa-mir-1-1	3688	340.089978	N
hsa-mir-1-2	3888	358.533036	N
hsa-mir-100	87934	8108.859040	Y
hsa-mir-101-1	26277	2423.141094	N
hsa-mir-101-2	28289	2608.678252	N
hsa-mir-103a-1	79050	7289.618431	Y
hsa-mir-103a-2	82770	7632.659298	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	467	43.064539	Y
hsa-mir-106b	15002	1383.413734	N
hsa-mir-107	13412	1236.791428	Y
hsa-mir-10a	443618	40908.361151	N
hsa-mir-10b	732241	67523.813906	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.645507	N
hsa-mir-1180	573	52.839359	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.092215	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.092215	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	450	41.496879	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	44	4.057473	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	33	3.043104	N
hsa-mir-1229	30	2.766459	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.092215	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.184431	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	38	3.504181	N
hsa-mir-124-2	30	2.766459	N
hsa-mir-124-3	33	3.043104	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.368861	N
hsa-mir-1245b	3	0.276646	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	17	1.567660	N
hsa-mir-1248	31	2.858674	N
hsa-mir-1249	427	39.375928	N
hsa-mir-1250	25	2.305382	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.645507	N
hsa-mir-1254-2	4	0.368861	N
hsa-mir-1255a	15	1.383229	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	356652	32888.766509	N
hsa-mir-125b-1	134049	12361.366996	N
hsa-mir-125b-2	133926	12350.024515	N
hsa-mir-126	184776	17039.171855	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	64	5.901778	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	0.922153	N
hsa-mir-1263	3	0.276646	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	6	0.553292	N
hsa-mir-1266	3	0.276646	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	718	66.210576	N
hsa-mir-1270	268	24.713697	N
hsa-mir-1271	3776	348.204923	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.092215	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.368861	N
hsa-mir-1275	3	0.276646	N
hsa-mir-1276	13	1.198799	N
hsa-mir-1277	4	0.368861	N
hsa-mir-1278	12	1.106583	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5994	552.738430	N
hsa-mir-128-2	3768	347.467201	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	20	1.844306	N
hsa-mir-1285-1	4	0.368861	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	80	7.377223	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	2	0.184431	N
hsa-mir-1289-2	7	0.645507	N
hsa-mir-129-1	9	0.829938	N
hsa-mir-129-2	10	0.922153	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	31	2.858674	N
hsa-mir-1292	54	4.979625	N
hsa-mir-1293	1	0.092215	N
hsa-mir-1294	7	0.645507	N
hsa-mir-1295a	42	3.873042	N
hsa-mir-1295b	7	0.645507	N
hsa-mir-1296	1060	97.748204	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1115	102.820045	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	11	1.014368	N
hsa-mir-1304	33	3.043104	N
hsa-mir-1305	11	1.014368	N
hsa-mir-1306	144	13.279001	N
hsa-mir-1307	1498	138.138500	N
hsa-mir-130a	800	73.772230	N
hsa-mir-130b	984	90.739842	N
hsa-mir-132	1677	154.645036	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1047	96.549405	Y
hsa-mir-133a-2	1055	97.287128	Y
hsa-mir-133b	5	0.461076	Y
hsa-mir-134	49	4.518549	N
hsa-mir-1343	29	2.674243	N
hsa-mir-135a-1	256	23.607113	N
hsa-mir-135a-2	289	26.650218	N
hsa-mir-135b	2413	222.515487	N
hsa-mir-136	57	5.256271	N
hsa-mir-137	3	0.276646	N
hsa-mir-138-1	19	1.752090	N
hsa-mir-138-2	4	0.368861	N
hsa-mir-139	4790	441.711224	N
hsa-mir-140	83027	7656.358627	N
hsa-mir-141	24	2.213167	N
hsa-mir-142	4971	458.402191	N
hsa-mir-143	374213	34508.159162	N
hsa-mir-144	405	37.347191	N
hsa-mir-145	95092	8768.936063	N
hsa-mir-1468	110	10.143682	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	9092	838.421389	N
hsa-mir-146b	20339	1875.566721	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	25	2.305382	N
hsa-mir-148a	24085	2221.005185	N
hsa-mir-148b	3798	350.233660	N
hsa-mir-149	809	74.602167	N
hsa-mir-150	15733	1450.823109	N
hsa-mir-151a	31015	2860.057124	N
hsa-mir-151b	365	33.658580	N
hsa-mir-152	2170	200.107173	N
hsa-mir-153-1	5	0.461076	N
hsa-mir-153-2	1	0.092215	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.276646	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	69	6.362855	N
hsa-mir-155	21055	1941.592866	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1952	180.004240	N
hsa-mir-15b	15824	1459.214700	N
hsa-mir-16-1	31160	2873.428340	N
hsa-mir-16-2	33586	3097.142626	N
hsa-mir-17	3441	317.312802	Y
hsa-mir-181a-1	39917	3680.957608	N
hsa-mir-181a-2	40913	3772.804034	N
hsa-mir-181b-1	9577	883.145803	N
hsa-mir-181b-2	12023	1108.704395	N
hsa-mir-181c	540	49.796255	N
hsa-mir-181d	351	32.367566	N
hsa-mir-182	2552	235.333412	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1575	145.239077	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	3141	289.648216	N
hsa-mir-186	16996	1567.291016	N
hsa-mir-187	36	3.319750	N
hsa-mir-188	51	4.702980	N
hsa-mir-18a	280	25.820280	N
hsa-mir-18b	3	0.276646	N
hsa-mir-1908	7	0.645507	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1641	151.325286	N
hsa-mir-190b	72	6.639501	N
hsa-mir-191	77076	7107.585454	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	2	0.184431	N
hsa-mir-192	71517	6594.960674	Y
hsa-mir-193a	3853	355.305500	N
hsa-mir-193b	1411	130.115770	N
hsa-mir-194-1	11281	1040.280652	N
hsa-mir-194-2	36593	3374.433994	N
hsa-mir-195	17988	1658.768581	N
hsa-mir-196a-1	5533	510.227183	N
hsa-mir-196a-2	9793	903.064305	N
hsa-mir-196b	3148	290.293723	N
hsa-mir-197	3714	342.487576	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	32	2.950889	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	24658	2273.844545	Y
hsa-mir-199a-2	43763	4035.617601	Y
hsa-mir-199b	59294	5467.813222	Y
hsa-mir-19a	453	41.773525	N
hsa-mir-19b-1	2185	201.490402	N
hsa-mir-19b-2	2250	207.484396	N
hsa-mir-200a	17463	1610.355555	N
hsa-mir-200b	59076	5447.710290	N
hsa-mir-200c	1671	154.091744	N
hsa-mir-202	10	0.922153	N
hsa-mir-203a	543	50.072901	N
hsa-mir-203b	5	0.461076	N
hsa-mir-204	82640	7620.671311	N
hsa-mir-205	66	6.086209	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	7	0.645507	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	11932	1100.312803	N
hsa-mir-20b	215	19.826287	N
hsa-mir-21	1300575	119932.896780	N
hsa-mir-210	1855	171.059357	N
hsa-mir-211	330	30.431045	N
hsa-mir-2110	300	27.664586	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	71	6.547285	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	263	24.252620	N
hsa-mir-214	4690	432.489696	N
hsa-mir-215	164	15.123307	Y
hsa-mir-216a	10	0.922153	N
hsa-mir-216b	4	0.368861	N
hsa-mir-217	21	1.936521	N
hsa-mir-218-1	1031	95.073961	N
hsa-mir-218-2	910	83.915911	N
hsa-mir-219a-1	10	0.922153	N
hsa-mir-219a-2	2	0.184431	N
hsa-mir-219b	10	0.922153	N
hsa-mir-22	10571	974.807798	N
hsa-mir-221	29821	2749.952071	N
hsa-mir-222	13180	1215.397482	N
hsa-mir-223	16297	1502.832531	N
hsa-mir-224	6040	556.980333	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	41	3.780827	N
hsa-mir-2278	1	0.092215	N
hsa-mir-2355	518	47.767519	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	260848	24054.173161	Y
hsa-mir-23b	91982	8482.146521	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	26377	2432.362623	N
hsa-mir-24-2	27503	2536.197036	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	14217	1311.024734	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	408564	37675.846483	N
hsa-mir-26a-2	422003	38915.127724	N
hsa-mir-26b	220909	20371.186817	N
hsa-mir-27a	38329	3534.519732	Y
hsa-mir-27b	149774	13811.452382	Y
hsa-mir-28	13539	1248.502770	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	19	1.752090	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	47	4.334118	N
hsa-mir-29a	69622	6420.212706	N
hsa-mir-29b-1	1415	130.484631	Y
hsa-mir-29b-2	1948	179.635379	Y
hsa-mir-29c	6122	564.541986	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	79	7.285008	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	2	0.184431	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	25	2.305382	N
hsa-mir-3065	68	6.270640	N
hsa-mir-3074	31	2.858674	N
hsa-mir-30a	307483	28354.633067	Y
hsa-mir-30b	29194	2692.133086	Y
hsa-mir-30c-1	60592	5587.508665	Y
hsa-mir-30c-2	62190	5734.868693	Y
hsa-mir-30d	294654	27171.603151	N
hsa-mir-30e	24167	2228.566839	Y
hsa-mir-31	548	50.533977	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	13	1.198799	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	5	0.461076	N
hsa-mir-3127	8	0.737722	N
hsa-mir-3128	7	0.645507	N
hsa-mir-3129	24	2.213167	N
hsa-mir-3130-1	6	0.553292	N
hsa-mir-3130-2	9	0.829938	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	1	0.092215	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	6	0.553292	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	10	0.922153	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
