miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	237023	35205.656837	N
hsa-let-7a-2	230967	34306.143043	Y
hsa-let-7a-3	231535	34390.509595	N
hsa-let-7b	127579	18949.648319	N
hsa-let-7c	41440	6155.193459	Y
hsa-let-7d	52656	7821.135782	N
hsa-let-7e	33340	4952.078908	N
hsa-let-7f-1	123154	18292.391296	N
hsa-let-7f-2	132453	19673.596507	N
hsa-let-7g	112363	16689.575354	N
hsa-let-7i	26555	3944.284805	N
hsa-mir-1-1	1501	222.947524	N
hsa-mir-1-2	1618	240.325845	N
hsa-mir-100	22777	3383.128413	Y
hsa-mir-101-1	15461	2296.463467	N
hsa-mir-101-2	17050	2532.481865	N
hsa-mir-103a-1	95540	14190.810403	Y
hsa-mir-103a-2	98018	14558.874336	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.148533	N
hsa-mir-105-2	2	0.297065	N
hsa-mir-106a	471	69.958883	Y
hsa-mir-106b	6936	1030.222535	N
hsa-mir-107	14076	2090.745732	Y
hsa-mir-10a	150645	22375.702671	N
hsa-mir-10b	383174	56913.853730	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.297065	N
hsa-mir-1180	785	116.598139	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.148533	N
hsa-mir-1185-2	2	0.297065	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	9334	1386.403855	N
hsa-mir-1224	2	0.297065	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	56	8.317829	N
hsa-mir-1227	1	0.148533	N
hsa-mir-1228	36	5.347176	N
hsa-mir-1229	11	1.633859	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.742663	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	6	0.891196	N
hsa-mir-124-2	10	1.485327	N
hsa-mir-124-3	6	0.891196	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	2	0.297065	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	215	31.934522	N
hsa-mir-1248	15	2.227990	N
hsa-mir-1249	209	31.043326	N
hsa-mir-1250	31	4.604512	N
