miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	48432	10797.528286	N
hsa-let-7a-2	48683	10853.486735	Y
hsa-let-7a-3	49767	11095.155893	N
hsa-let-7b	31997	7133.476061	N
hsa-let-7c	107833	24040.507675	Y
hsa-let-7d	7723	1721.781280	N
hsa-let-7e	24475	5456.506128	N
hsa-let-7f-1	32477	7240.488234	N
hsa-let-7f-2	32813	7315.396755	N
hsa-let-7g	4678	1042.922806	N
hsa-let-7i	4062	905.590517	N
hsa-mir-1-1	2	0.445884	N
hsa-mir-1-2	3	0.668826	N
hsa-mir-100	47698	10633.888838	Y
hsa-mir-101-1	21484	4789.686523	N
hsa-mir-101-2	21682	4833.829045	N
hsa-mir-103a-1	97352	21703.852282	Y
hsa-mir-103a-2	97839	21812.425050	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	117	26.084217	Y
hsa-mir-106b	7070	1576.200136	N
hsa-mir-107	627	139.784651	Y
hsa-mir-10a	106412	23723.707053	N
hsa-mir-10b	229991	51274.659896	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.891768	N
hsa-mir-1180	933	208.004912	N
hsa-mir-1181	5	1.114710	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	136	30.320116	N
hsa-mir-1185-2	51	11.370043	N
hsa-mir-1193	7	1.560594	N
hsa-mir-1197	358	79.813246	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.668826	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	54	12.038869	N
hsa-mir-1227	5	1.114710	N
hsa-mir-1228	10	2.229420	N
hsa-mir-1229	11	2.452362	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	3	0.668826	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	53	11.815927	N
hsa-mir-124-2	50	11.147101	N
hsa-mir-124-3	52	11.592985	N
hsa-mir-1243	24	5.350609	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	88	19.618898	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	100	22.294203	N
hsa-mir-1248	8	1.783536	N
hsa-mir-1249	5	1.114710	N
hsa-mir-1250	8	1.783536	N
hsa-mir-1251	5	1.114710	N
hsa-mir-1252	1	0.222942	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	2.006478	N
hsa-mir-1254-2	15	3.344130	N
hsa-mir-1255a	1	0.222942	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.891768	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	8673	1933.576206	N
hsa-mir-125b-1	11576	2580.776913	N
hsa-mir-125b-2	14542	3242.022967	N
hsa-mir-126	8604	1918.193206	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.668826	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	312	69.557913	N
hsa-mir-1269b	8	1.783536	N
hsa-mir-127	164150	36595.933850	N
hsa-mir-1270	24	5.350609	N
hsa-mir-1271	14	3.121188	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.222942	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.222942	N
hsa-mir-1276	8	1.783536	N
hsa-mir-1277	4	0.891768	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2532	564.489214	N
hsa-mir-128-2	2018	449.897012	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	1	0.222942	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.222942	N
hsa-mir-1287	8	1.783536	N
hsa-mir-1288	18	4.012956	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	42	9.363565	N
hsa-mir-129-2	38	8.471797	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.445884	N
hsa-mir-1292	7	1.560594	N
hsa-mir-1293	1	0.222942	N
hsa-mir-1294	1	0.222942	N
hsa-mir-1295a	6	1.337652	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	292	65.099072	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.222942	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	409	91.183289	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
