miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	244709	23514.104052	N
hsa-let-7a-2	233562	22442.988082	Y
hsa-let-7a-3	233686	22454.903250	N
hsa-let-7b	64802	6226.828481	N
hsa-let-7c	8702	836.175758	Y
hsa-let-7d	53072	5099.692003	N
hsa-let-7e	18687	1795.635070	N
hsa-let-7f-1	245359	23576.562595	N
hsa-let-7f-2	263551	25324.633082	N
hsa-let-7g	222020	21333.916536	N
hsa-let-7i	81320	7814.044197	N
hsa-mir-1-1	570	54.771338	N
hsa-mir-1-2	602	57.846220	N
hsa-mir-100	34755	3339.610257	N
hsa-mir-101-1	18224	1751.145370	N
hsa-mir-101-2	19884	1910.654880	N
hsa-mir-103a-1	112293	10790.241823	Y
hsa-mir-103a-2	117067	11248.975800	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.480450	N
hsa-mir-105-2	1	0.096090	N
hsa-mir-106a	1017	97.723598	Y
hsa-mir-106b	24081	2313.944888	N
hsa-mir-107	14060	1351.026333	Y
hsa-mir-10a	78991	7590.250433	N
hsa-mir-10b	299372	28766.675350	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.249171	N
hsa-mir-1180	425	40.838278	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.672630	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2639	253.581685	N
hsa-mir-1224	2	0.192180	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	2.690522	N
hsa-mir-1227	1	0.096090	N
hsa-mir-1228	18	1.729621	N
hsa-mir-1229	17	1.633531	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.096090	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.288270	N
hsa-mir-124-2	5	0.480450	N
hsa-mir-124-3	2	0.192180	N
hsa-mir-1243	3	0.288270	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.384360	N
hsa-mir-1245b	4	0.384360	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	36	3.459242	N
hsa-mir-1248	26	2.498342	N
hsa-mir-1249	226	21.716355	N
hsa-mir-1250	26	2.498342	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	19	1.825711	N
hsa-mir-1254-2	19	1.825711	N
hsa-mir-1255a	35	3.363152	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.288270	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	141349	13582.234792	N
