miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	210116	19035.829389	N
hsa-let-7a-2	206177	18678.968741	Y
hsa-let-7a-3	206363	18695.819739	N
hsa-let-7b	69995	6341.320404	N
hsa-let-7c	20084	1819.545382	Y
hsa-let-7d	23654	2142.975825	N
hsa-let-7e	15612	1414.396659	N
hsa-let-7f-1	163913	14849.987162	N
hsa-let-7f-2	172462	15624.498887	N
hsa-let-7g	330065	29902.820477	N
hsa-let-7i	75932	6879.193384	N
hsa-mir-1-1	8516	771.522031	N
hsa-mir-1-2	9139	827.963814	N
hsa-mir-100	103079	9338.623701	Y
hsa-mir-101-1	37363	3384.966844	N
hsa-mir-101-2	39889	3613.814267	N
hsa-mir-103a-1	54879	4971.859740	Y
hsa-mir-103a-2	56975	5161.750554	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	244	22.105610	Y
hsa-mir-106b	13572	1229.579263	N
hsa-mir-107	5924	536.695222	Y
hsa-mir-10a	76296	6912.170606	N
hsa-mir-10b	469416	42527.569954	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.087161	N
hsa-mir-1180	657	59.522073	N
hsa-mir-1181	6	0.543581	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.271790	N
hsa-mir-1185-2	5	0.452984	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8589	778.135595	N
hsa-mir-1224	2	0.181194	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	52	4.711032	N
hsa-mir-1227	1	0.090597	N
hsa-mir-1228	57	5.164015	N
hsa-mir-1229	6	0.543581	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.090597	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.181194	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	3	0.271790	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.090597	N
hsa-mir-1245b	1	0.090597	N
